'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/10/2021,3.1,18.6, ,14.9,10.7,42,37,3.82,4.24
FRIENDLY BEACHES,02/10/2021,3.2,11.0, ,14.0,12.3,43,39,3.66,7.40
FRIENDLY BEACHES,03/10/2021,3.5,2.2, ,18.4,11.1,46,29,2.52,14.63
FRIENDLY BEACHES,04/10/2021,3.3,0.2, ,19.0,10.6,55,29,2.42,12.55
FRIENDLY BEACHES,05/10/2021,3.2,6.0, ,17.7,8.0,57,32,1.79,18.36
FRIENDLY BEACHES,06/10/2021,4.3,0.6, ,18.7,8.9,53,29,3.60,20.15
FRIENDLY BEACHES,07/10/2021,4.0,9.0, ,15.9,7.1,61,34,4.93,19.18
FRIENDLY BEACHES,08/10/2021,4.0,0.0, ,20.2,7.0,58,26,2.98,18.00
FRIENDLY BEACHES,09/10/2021,5.3,0.0, ,22.8,10.3,46,23,4.24,19.06
FRIENDLY BEACHES,10/10/2021,3.6,0.2, ,17.2,7.3,65,32,3.24,17.53
FRIENDLY BEACHES,11/10/2021,3.5,1.2, ,15.4,3.6,77,36,3.68,21.71
FRIENDLY BEACHES,12/10/2021,3.4,0.0, ,15.8,5.7,64,35,2.75,19.53
FRIENDLY BEACHES,13/10/2021,4.0,0.0, ,17.0,9.7,48,35,4.75,11.97
FRIENDLY BEACHES,14/10/2021,3.7,2.8, ,13.4,10.3,48,41,6.49,6.63
FRIENDLY BEACHES,15/10/2021,5.2,59.6, ,21.6,11.1,44,25,4.34,17.59
FRIENDLY BEACHES,16/10/2021,5.0,0.4, ,16.3,11.0,49,34,7.64,15.06
FRIENDLY BEACHES,17/10/2021,4.2,0.0, ,17.8,7.4,58,30,3.31,22.39
FRIENDLY BEACHES,18/10/2021,3.4,0.0, ,18.4,8.3,55,29,2.42,14.46
FRIENDLY BEACHES,19/10/2021,3.5,14.0, ,15.0,8.3,72,37,5.22,13.28
FRIENDLY BEACHES,20/10/2021,3.3,0.2, ,16.4,4.5,72,35,3.25,15.53
FRIENDLY BEACHES,21/10/2021,5.2,1.2, ,19.7,8.4,44,27,5.25,18.50
FRIENDLY BEACHES,22/10/2021,4.8,0.2, ,18.4,13.6,39,30,5.22,10.11
FRIENDLY BEACHES,23/10/2021,2.8,9.8, ,13.9,12.9,51,38,3.18,5.08
FRIENDLY BEACHES,24/10/2021,3.4,42.8, ,12.4,9.1,57,44,6.79,7.28
FRIENDLY BEACHES,25/10/2021,2.7,10.6, ,10.7,7.7,57,50,5.58,5.93
FRIENDLY BEACHES,26/10/2021,3.7,7.6, ,16.6,8.0,62,33,3.23,17.67
FRIENDLY BEACHES,27/10/2021,4.6,0.2, ,19.7,4.9,70,28,3.16,25.69
FRIENDLY BEACHES,28/10/2021,4.2,0.0, ,18.6,10.4,48,30,4.01,12.65
FRIENDLY BEACHES,29/10/2021,3.1,25.8, ,10.9,10.1,61,44,7.43,4.95
FRIENDLY BEACHES,30/10/2021,3.5,17.0, ,16.6,5.0,69,34,3.34,16.47
FRIENDLY BEACHES,31/10/2021,4.7,0.0, ,20.7,6.9,61,26,2.98,24.09
Totals:,,119.4,241.2, ,,,,,, 
