'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for November 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 December 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/11/2021,4.9,0.0, ,20.1,8.1,56,28,3.38,24.70
FRIENDLY BEACHES,02/11/2021,6.0,0.0, ,20.4,10.7,47,27,5.23,25.62
FRIENDLY BEACHES,03/11/2021,4.8,0.0, ,20.1,14.6,37,26,4.65,7.67
FRIENDLY BEACHES,04/11/2021,4.9,6.4, ,19.2,11.4,52,28,3.53,22.84
FRIENDLY BEACHES,05/11/2021,3.3,0.0, ,16.7,8.6,54,33,2.16,14.37
FRIENDLY BEACHES,06/11/2021,5.7,1.8, ,22.2,13.3,40,25,4.43,18.41
FRIENDLY BEACHES,07/11/2021,4.0,1.2, ,17.3,11.7,45,33,3.63,12.38
FRIENDLY BEACHES,08/11/2021,4.8,0.0, ,19.5,10.6,47,28,2.84,23.54
FRIENDLY BEACHES,09/11/2021,4.5,0.0, ,20.1,9.8,50,28,2.58,20.96
FRIENDLY BEACHES,10/11/2021,2.3,0.0, ,14.6,9.3,55,38,1.89,6.12
FRIENDLY BEACHES,11/11/2021,5.1,4.8, ,18.4,8.1,56,31,5.85,19.70
FRIENDLY BEACHES,12/11/2021,3.3,0.0, ,15.3,9.8,55,37,3.18,11.18
FRIENDLY BEACHES,13/11/2021,2.7,7.8, ,13.3,7.9,59,41,2.36,10.93
FRIENDLY BEACHES,14/11/2021,3.8,1.8, ,17.8,5.5,69,31,3.45,15.74
FRIENDLY BEACHES,15/11/2021,3.8,3.2, ,13.5,4.7,71,42,6.00,20.70
FRIENDLY BEACHES,16/11/2021,4.1,2.4, ,17.5,4.6,75,37,3.66,22.29
FRIENDLY BEACHES,17/11/2021,4.5,0.0, ,19.5,7.5,87,39,2.99,27.00
FRIENDLY BEACHES,18/11/2021,1.6,0.0, ,16.0,8.2,92,58,1.71,5.71
FRIENDLY BEACHES,19/11/2021,4.1,1.8, ,19.2,9.4,92,46,3.59,23.23
FRIENDLY BEACHES,20/11/2021,2.6,2.0, ,17.8,8.7,93,66,3.04,14.73
FRIENDLY BEACHES,21/11/2021,4.1,0.6, ,19.2,8.7,89,49,2.57,25.14
FRIENDLY BEACHES,22/11/2021,4.7,0.0, ,21.1,10.6,88,52,3.22,27.95
FRIENDLY BEACHES,23/11/2021,5.1,0.0, ,22.7,11.6,82,54,5.62,26.60
FRIENDLY BEACHES,24/11/2021,4.2,0.0, ,23.8,13.1,91,54,2.38,22.23
FRIENDLY BEACHES,25/11/2021,3.9,0.0, ,21.3,13.8,91,56,3.65,19.72
FRIENDLY BEACHES,26/11/2021,3.4,5.2, ,16.6,9.5,83,52,4.57,17.05
FRIENDLY BEACHES,27/11/2021,4.5,0.4, ,18.6,7.8,79,39,2.51,27.47
FRIENDLY BEACHES,28/11/2021,4.9,0.0, ,20.0,5.9,87,42,3.67,30.85
FRIENDLY BEACHES,29/11/2021,5.0,0.0, ,21.3,7.8,90,49,3.69,30.96
FRIENDLY BEACHES,30/11/2021,5.5,0.0, ,21.7,11.5,82,52,6.13,31.07
Totals:,,126.1,39.4, ,,,,,, 
