'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for December 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 January 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/12/2021,5.0,0.0, ,24.7,12.2,90,56,3.78,27.10
FRIENDLY BEACHES,02/12/2021,5.3,0.0, ,27.4,13.2,93,45,4.21,22.18
FRIENDLY BEACHES,03/12/2021,3.5,4.8, ,20.0,10.9,91,52,3.53,16.68
FRIENDLY BEACHES,04/12/2021,4.9,0.0, ,17.6,9.2,72,33,5.30,24.03
FRIENDLY BEACHES,05/12/2021,5.1,0.0, ,19.6,5.4,81,41,4.86,30.98
FRIENDLY BEACHES,06/12/2021,4.5,0.0, ,22.2,10.6,82,48,5.28,19.48
FRIENDLY BEACHES,07/12/2021,2.3,0.0, ,21.7,14.6,91,51,3.31,4.06
FRIENDLY BEACHES,08/12/2021,4.4,9.2, ,19.0,7.1,92,46,3.02,27.71
FRIENDLY BEACHES,09/12/2021,4.7,0.0, ,20.2,7.3,91,38,3.00,27.43
FRIENDLY BEACHES,10/12/2021,3.8,0.0, ,19.0,11.3,86,48,3.92,18.19
FRIENDLY BEACHES,11/12/2021,3.8,3.4, ,19.0,9.9,92,46,4.85,17.41
FRIENDLY BEACHES,12/12/2021,3.6,0.0, ,19.3,11.1,73,44,3.14,14.73
FRIENDLY BEACHES,13/12/2021,5.6,0.0, ,21.4,12.2,74,44,5.77,27.87
FRIENDLY BEACHES,14/12/2021,3.5,0.0, ,20.9,13.7,89,56,2.47,17.42
FRIENDLY BEACHES,15/12/2021,4.4,0.0, ,23.8,10.9,93,58,2.99,23.88
FRIENDLY BEACHES,16/12/2021,5.0,6.2, ,21.2,11.3,93,42,3.45,28.19
FRIENDLY BEACHES,17/12/2021,5.1,0.0, ,22.0,9.9,90,48,4.02,29.05
FRIENDLY BEACHES,18/12/2021,7.9,0.0, ,33.3,15.3,87,21,4.60,25.17
FRIENDLY BEACHES,19/12/2021,5.1,0.0, ,23.8,12.6,86,26,3.91,19.52
FRIENDLY BEACHES,20/12/2021,7.4,0.6, ,25.2,10.1,58,27,6.32,29.04
FRIENDLY BEACHES,21/12/2021,6.9,0.0, ,26.3,12.7,59,27,3.73,31.35
FRIENDLY BEACHES,22/12/2021,6.0,0.0, ,23.1,10.9,71,23,3.66,28.46
FRIENDLY BEACHES,23/12/2021,4.0,1.0, ,20.3,9.9,91,42,2.85,21.03
FRIENDLY BEACHES,24/12/2021,4.6,0.0, ,23.6,9.8,88,46,2.73,23.55
FRIENDLY BEACHES,25/12/2021,5.6,0.0, ,24.4,16.0,79,46,3.76,27.46
FRIENDLY BEACHES,26/12/2021,6.0,0.0, ,22.1,10.9,67,29,4.93,26.28
FRIENDLY BEACHES,27/12/2021,5.7,0.0, ,19.9,7.9,76,31,4.47,31.87
FRIENDLY BEACHES,28/12/2021,5.1,0.0, ,21.3,8.0,90,46,2.55,32.05
FRIENDLY BEACHES,29/12/2021,5.3,0.0, ,23.4,8.8,92,50,3.19,31.27
FRIENDLY BEACHES,30/12/2021,5.3,0.0, ,24.0,13.9,86,53,3.00,29.55
FRIENDLY BEACHES,31/12/2021,6.1,0.0, ,29.2,12.0,92,42,2.73,30.46
Totals:,,155.5,25.2, ,,,,,, 
