'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for January 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 February 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/01/2022,6.8,0.0, ,32.4,14.1,92,28,2.81,29.02
FRIENDLY BEACHES,02/01/2022,4.3,0.0, ,26.2,16.8,90,41,3.45,14.65
FRIENDLY BEACHES,03/01/2022,3.5,1.0, ,22.6,13.2,90,51,3.01,14.62
FRIENDLY BEACHES,04/01/2022,2.8,0.0, ,20.5,14.0,80,52,2.51,9.41
FRIENDLY BEACHES,05/01/2022,3.4,0.0, ,20.7,12.9,78,50,4.93,9.18
FRIENDLY BEACHES,06/01/2022,1.8,0.0, ,17.7,14.6,94,68,7.36,0.95
FRIENDLY BEACHES,07/01/2022,2.4,101.2, ,23.3,14.8,95,84,5.15,12.58
FRIENDLY BEACHES,08/01/2022,3.4,8.2, ,20.7,15.6,93,62,4.46,16.53
FRIENDLY BEACHES,09/01/2022,4.4,0.0, ,21.0,12.1,82,54,3.23,24.32
FRIENDLY BEACHES,10/01/2022,4.2,0.0, ,25.4,14.3,93,55,3.46,19.07
FRIENDLY BEACHES,11/01/2022,3.7,0.8, ,22.4,13.4,90,50,2.46,17.36
FRIENDLY BEACHES,12/01/2022,3.3,0.0, ,21.7,13.9,83,49,3.30,11.88
FRIENDLY BEACHES,13/01/2022,3.9,2.4, ,22.7,12.6,93,57,2.91,20.06
FRIENDLY BEACHES,14/01/2022,2.8,0.4, ,22.8,15.6,93,69,4.71,10.65
FRIENDLY BEACHES,15/01/2022,3.3,1.2, ,23.7,17.1,93,72,1.48,16.98
FRIENDLY BEACHES,16/01/2022,2.0,1.0, ,20.6,16.4,93,78,2.79,8.34
FRIENDLY BEACHES,17/01/2022,5.0,0.0, ,24.6,14.3,88,53,3.15,26.38
FRIENDLY BEACHES,18/01/2022,3.1,1.4, ,22.4,12.9,92,49,3.56,9.66
FRIENDLY BEACHES,19/01/2022,4.2,0.0, ,20.9,12.4,81,46,4.16,18.79
FRIENDLY BEACHES,20/01/2022,4.6,0.0, ,21.7,9.9,86,48,2.50,26.70
FRIENDLY BEACHES,21/01/2022,5.7,0.0, ,25.0,12.0,84,46,3.69,30.08
FRIENDLY BEACHES,22/01/2022,5.6,0.0, ,25.3,12.4,92,51,4.60,29.96
FRIENDLY BEACHES,23/01/2022,5.9,0.0, ,24.8,15.8,82,52,6.02,29.42
FRIENDLY BEACHES,24/01/2022, ,0.0, , ,16.4,90,47,3.92,29.50
FRIENDLY BEACHES,25/01/2022,1.5, , ,20.8,15.4,92,74,2.15,4.25
FRIENDLY BEACHES,26/01/2022,1.7,0.0, ,20.6,15.6,90,69,2.61,4.60
FRIENDLY BEACHES,27/01/2022,2.6,0.0, ,23.2,17.1,92,70,5.90,7.27
FRIENDLY BEACHES,28/01/2022,4.2,2.6, ,31.0,17.4,92,54,3.73,13.52
FRIENDLY BEACHES,29/01/2022,3.0,14.6, ,21.4,15.6,93,69,3.07,14.82
FRIENDLY BEACHES,30/01/2022,3.2,0.4, ,21.3,14.3,92,62,1.88,17.02
FRIENDLY BEACHES,31/01/2022,4.0,0.2, ,23.3,15.2,91,67,3.10,22.31
Totals:,,110.3,135.4, ,,,,,, 
