'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for February 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 March 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/02/2022,6.9,0.0, ,31.9,16.1,91,23,5.47,17.44
FRIENDLY BEACHES,02/02/2022,5.1,0.4, ,21.4,10.2,68,34,4.53,21.93
FRIENDLY BEACHES,03/02/2022,4.6,0.0, ,21.7,10.3,79,43,4.28,21.69
FRIENDLY BEACHES,04/02/2022,4.9,0.2, ,23.0,9.3,82,41,3.15,26.71
FRIENDLY BEACHES,05/02/2022,3.6,0.0, ,23.2,12.2,90,54,2.76,16.99
FRIENDLY BEACHES,06/02/2022,4.9,0.0, ,21.9,12.4,75,40,2.86,26.46
FRIENDLY BEACHES,07/02/2022,3.6,0.0, ,22.7,12.0,84,50,2.08,17.79
FRIENDLY BEACHES,08/02/2022,3.7,0.2, ,23.5,15.7,90,55,3.89,16.11
FRIENDLY BEACHES,09/02/2022,4.4,0.4, ,25.4,13.9,92,52,2.51,23.00
FRIENDLY BEACHES,10/02/2022,4.0,0.0, ,25.7,15.7,89,42,2.96,15.83
FRIENDLY BEACHES,11/02/2022,5.2,0.8, ,23.2,13.4,89,33,4.34,24.15
FRIENDLY BEACHES,12/02/2022,4.2,0.0, ,22.7,11.8,84,39,3.08,19.41
FRIENDLY BEACHES,13/02/2022,4.7,0.0, ,25.6,13.9,76,46,4.89,15.51
FRIENDLY BEACHES,14/02/2022,1.9,0.0, ,21.9,16.4,86,70,2.59,5.77
FRIENDLY BEACHES,15/02/2022,2.7,0.0, ,23.6,16.3,90,57,2.57,10.03
FRIENDLY BEACHES,16/02/2022,2.0,0.4, ,21.5,15.4,91,62,2.45,5.53
FRIENDLY BEACHES,17/02/2022,5.4,2.2, ,25.8,15.5,88,32,3.92,22.87
FRIENDLY BEACHES,18/02/2022,4.5,0.8, ,21.5,11.9,84,34,4.45,18.79
FRIENDLY BEACHES,19/02/2022,5.1,0.0, ,25.6,8.5,81,45,4.32,24.08
FRIENDLY BEACHES,20/02/2022,3.5,0.0, ,22.7,12.9,74,35,2.86,11.42
FRIENDLY BEACHES,21/02/2022,5.3,0.0, ,23.5,9.2,66,25,4.24,20.98
FRIENDLY BEACHES,22/02/2022,4.3,0.0, ,21.1,8.1,91,40,3.70,23.49
FRIENDLY BEACHES,23/02/2022,3.2,1.0, ,24.1,13.2,91,66,5.37,13.51
FRIENDLY BEACHES,24/02/2022,1.6,0.2, ,23.6,18.6,92,76,3.30,3.22
FRIENDLY BEACHES,25/02/2022,1.9,1.8, ,17.1,14.4,92,61,3.58,4.71
FRIENDLY BEACHES,26/02/2022,3.0,0.4, ,21.6,13.4,88,52,3.07,12.21
FRIENDLY BEACHES,27/02/2022,1.9,9.2, ,21.6,14.7,94,79,3.60,8.37
FRIENDLY BEACHES,28/02/2022,1.1,11.4, ,20.3,15.9,95,90,5.73,3.23
Totals:,,107.2,29.4, ,,,,,, 
