'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for March 2022,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 April 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/03/2022,2.3,46.0, ,23.0,16.6,95,77,5.49,9.48
FRIENDLY BEACHES,02/03/2022,2.7,1.2, ,21.8,15.9,92,71,4.51,12.50
FRIENDLY BEACHES,03/03/2022,2.8,0.0, ,23.9,17.4,93,68,3.69,12.55
FRIENDLY BEACHES,04/03/2022,2.6,0.2, ,24.0,16.8,94,75,3.83,12.16
FRIENDLY BEACHES,05/03/2022,2.9,0.0, ,25.6,17.1,94,69,2.11,14.21
FRIENDLY BEACHES,06/03/2022,2.9,35.0, ,18.1,11.6,93,49,5.46,9.49
FRIENDLY BEACHES,07/03/2022,2.5,0.0, ,20.4,12.0,85,51,2.12,10.96
FRIENDLY BEACHES,08/03/2022,3.0,0.0, ,19.1,10.3,91,48,4.80,10.47
FRIENDLY BEACHES,09/03/2022,3.0,0.0, ,21.1,11.6,87,46,4.03,9.16
FRIENDLY BEACHES,10/03/2022,2.9,0.6, ,18.3,11.2,78,57,4.22,12.61
FRIENDLY BEACHES,11/03/2022,3.9,0.0, ,22.3,8.8,85,39,3.20,19.86
FRIENDLY BEACHES,12/03/2022,3.6,0.0, ,22.3,10.8,91,46,2.67,20.08
FRIENDLY BEACHES,13/03/2022,3.8,0.0, ,25.1,11.4,91,57,4.03,19.10
FRIENDLY BEACHES,14/03/2022,1.5,0.0, ,19.9,15.4,89,72,3.71,1.23
FRIENDLY BEACHES,15/03/2022,2.4,3.8, ,22.3,16.3,94,68,3.82,10.74
FRIENDLY BEACHES,16/03/2022,2.6,6.0, ,22.7,15.3,93,67,4.11,11.58
FRIENDLY BEACHES,17/03/2022,2.7,3.0, ,24.3,16.5,94,71,4.00,12.69
FRIENDLY BEACHES,18/03/2022,3.2,7.6, ,19.6,13.8,87,46,4.08,13.50
FRIENDLY BEACHES,19/03/2022,2.7,0.0, ,19.9,9.4,84,54,2.69,14.87
FRIENDLY BEACHES,20/03/2022,2.3,0.0, ,20.9,11.9,91,57,1.94,11.89
FRIENDLY BEACHES,21/03/2022,1.8,3.4, ,20.3,14.2,95,73,2.73,8.75
FRIENDLY BEACHES,22/03/2022,1.2,1.6, ,20.4,13.8,92,65,1.73,1.76
FRIENDLY BEACHES,23/03/2022,3.2,8.4, ,18.4,9.8,85,39,3.77,16.05
FRIENDLY BEACHES,24/03/2022,3.0,0.0, ,21.1,9.2,81,46,2.47,16.32
FRIENDLY BEACHES,25/03/2022,3.0,0.0, ,22.3,10.0,89,48,2.49,17.26
FRIENDLY BEACHES,26/03/2022,2.9,0.0, ,22.2,9.4,94,61,3.77,17.00
FRIENDLY BEACHES,27/03/2022,3.1,0.0, ,23.2,12.6,86,66,4.91,15.99
FRIENDLY BEACHES,28/03/2022,1.8,0.0, ,21.2,14.0,91,68,2.65,7.10
FRIENDLY BEACHES,29/03/2022,2.3,0.0, ,21.6,14.1,94,66,2.39,13.70
FRIENDLY BEACHES,30/03/2022,2.2,1.4, ,19.8,13.6,94,57,3.27,8.86
FRIENDLY BEACHES,31/03/2022,2.2,4.6, ,15.1,9.5,85,55,4.60,7.19
Totals:,,83,122.8, ,,,,,, 
