'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for April 2022,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/04/2022,1.8,0.4, ,15.0,9.9,92,55,4.13,4.90
FRIENDLY BEACHES,02/04/2022,1.5,1.4, ,15.8,12.1,93,74,3.97,6.48
FRIENDLY BEACHES,03/04/2022,1.1,3.0, ,15.9,12.1,95,81,3.17,3.92
FRIENDLY BEACHES,04/04/2022,2.0,18.2, ,21.3,13.5,95,72,2.65,12.26
FRIENDLY BEACHES,05/04/2022,1.7,0.0, ,16.4,13.1,89,60,3.17,5.39
FRIENDLY BEACHES,06/04/2022,1.6,0.0, ,16.6,10.8,91,51,1.98,6.16
FRIENDLY BEACHES,07/04/2022,2.4,0.0, ,19.8,5.5,93,49,2.67,14.42
FRIENDLY BEACHES,08/04/2022,2.3,0.2, ,19.8,6.7,93,55,3.17,12.55
FRIENDLY BEACHES,09/04/2022,2.5,0.0, ,22.6,11.1,90,64,4.55,10.74
FRIENDLY BEACHES,10/04/2022,2.6,0.8, ,24.8,16.9,93,55,3.75,9.32
FRIENDLY BEACHES,11/04/2022,2.5,0.0, ,17.7,10.0,81,42,2.96,12.51
FRIENDLY BEACHES,12/04/2022,2.0,0.0, ,17.9,7.8,86,48,2.41,9.05
FRIENDLY BEACHES,13/04/2022,2.3,0.0, ,20.6,7.7,93,51,2.73,13.38
FRIENDLY BEACHES,14/04/2022,1.7,0.2, ,19.7,10.1,94,62,2.02,9.09
FRIENDLY BEACHES,15/04/2022,1.4,1.0, ,17.8,13.4,90,54,2.27,0.80
FRIENDLY BEACHES,16/04/2022,1.3,2.4, ,18.9,11.9,93,68,1.92,4.97
FRIENDLY BEACHES,17/04/2022,2.1,0.2, ,22.2,12.0,91,49,2.67,7.18
FRIENDLY BEACHES,18/04/2022,1.1,0.0, ,14.9,14.8,93,67,1.94,3.63
FRIENDLY BEACHES,19/04/2022,0.7,0.8, ,15.5,10.8,95,91,1.89,3.11
FRIENDLY BEACHES,20/04/2022,1.9,9.4, ,19.6,8.5,93,49,2.22,9.77
FRIENDLY BEACHES,21/04/2022,2.0,0.0, ,15.1,7.2,86,45,3.24,11.05
FRIENDLY BEACHES,22/04/2022,2.0,0.0, ,16.8,5.9,85,42,2.65,11.80
FRIENDLY BEACHES,23/04/2022,1.9,0.0, ,18.6,5.8,90,47,2.35,11.69
FRIENDLY BEACHES,24/04/2022,1.7,0.2, ,18.2,6.9,93,56,2.43,11.53
FRIENDLY BEACHES,25/04/2022,1.4,0.2, ,18.4,6.5,95,67,2.01,11.31
FRIENDLY BEACHES,26/04/2022,1.1,0.0, ,17.2,10.4,94,69,1.69,4.52
FRIENDLY BEACHES,27/04/2022,1.1,0.0, ,17.7,9.8,95,73,2.80,3.13
FRIENDLY BEACHES,28/04/2022,0.9,122.0, ,19.2,11.5,96,89,3.21,4.68
FRIENDLY BEACHES,29/04/2022,1.7,0.2, ,23.2,14.3,95,65,2.50,8.18
FRIENDLY BEACHES,30/04/2022,2.1,0.6, ,17.1,11.6,83,42,3.18,8.32
Totals:,,52.4,161.2, ,,,,,, 
