'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 June 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/05/2022,2.3,0.2, ,20.3,11.3,76,48,3.35,6.63
FRIENDLY BEACHES,02/05/2022,2.4,0.0, ,21.1,15.0,71,50,3.44,9.04
FRIENDLY BEACHES,03/05/2022,2.2,0.0, ,20.5,14.4,78,47,3.22,6.35
FRIENDLY BEACHES,04/05/2022,1.6,0.0, ,16.3,13.3,81,52,2.70,1.84
FRIENDLY BEACHES,05/05/2022,1.1,0.0, ,14.9,7.8,94,70,3.32,4.22
FRIENDLY BEACHES,06/05/2022,1.4,15.0, ,14.7,8.2,93,62,4.01,6.79
FRIENDLY BEACHES,07/05/2022,1.5,3.6, ,14.1,7.7,92,63,4.68,4.91
FRIENDLY BEACHES,08/05/2022,1.5,14.8, ,16.1,9.1,92,59,3.33,8.91
FRIENDLY BEACHES,09/05/2022,1.0,0.2, ,15.3,4.7,93,72,2.51,6.83
FRIENDLY BEACHES,10/05/2022,1.4,0.2, ,17.5,6.0,94,52,2.40,9.40
FRIENDLY BEACHES,11/05/2022,1.2,0.2, ,18.4,8.1,90,65,2.16,7.77
FRIENDLY BEACHES,12/05/2022,0.7,1.2, ,15.9,12.8,96,87,1.36,2.96
FRIENDLY BEACHES,13/05/2022,1.2,9.0, ,17.8,11.4,96,64,2.20,9.07
FRIENDLY BEACHES,14/05/2022,1.3,1.2, ,17.5,11.9,95,64,3.25,2.89
FRIENDLY BEACHES,15/05/2022,1.6,0.4, ,20.0,14.2,87,53,2.55,7.25
FRIENDLY BEACHES,16/05/2022,2.7,0.4, ,14.5,10.6,72,43,6.52,8.79
FRIENDLY BEACHES,17/05/2022,2.2,0.0, ,15.6,7.2,66,49,4.60,8.60
FRIENDLY BEACHES,18/05/2022,1.9,0.0, ,13.7,8.3,72,50,4.31,6.52
FRIENDLY BEACHES,19/05/2022,1.7,0.0, ,15.1,6.1,80,46,3.57,7.63
FRIENDLY BEACHES,20/05/2022,1.1,0.0, ,14.5,4.8,91,57,2.65,8.44
FRIENDLY BEACHES,21/05/2022,0.9,0.2, ,13.9,4.1,93,63,2.39,7.70
FRIENDLY BEACHES,22/05/2022,1.0,0.0, ,13.2,6.9,89,57,2.31,6.72
FRIENDLY BEACHES,23/05/2022,1.1,0.0, ,16.1,6.2,93,59,2.54,7.10
FRIENDLY BEACHES,24/05/2022,1.0,0.2, ,15.1,5.1,94,60,2.57,7.93
FRIENDLY BEACHES,25/05/2022,0.9,0.2, ,17.2,3.5,95,67,2.35,7.75
FRIENDLY BEACHES,26/05/2022,0.7,10.4, ,16.3,8.4,95,86,3.30,3.92
FRIENDLY BEACHES,27/05/2022,0.9,19.0, ,17.5,10.7,93,52,1.56,7.45
FRIENDLY BEACHES,28/05/2022,0.8,8.0, ,15.0,5.0,96,70,2.12,6.87
FRIENDLY BEACHES,29/05/2022,0.7,0.2, ,13.7,7.6,94,76,2.34,4.73
FRIENDLY BEACHES,30/05/2022,0.9,0.2, ,13.0,5.3,95,57,2.45,7.41
FRIENDLY BEACHES,31/05/2022,0.7,0.2, ,9.8,3.8,91,79,2.73,3.53
Totals:,,41.6,85, ,,,,,, 
