'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for June 2022,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/06/2022,1.1,5.2, ,12.3,6.1,93,66,5.17,6.12
FRIENDLY BEACHES,02/06/2022,1.0,0.2, ,12.2,3.2,88,48,2.36,7.58
FRIENDLY BEACHES,03/06/2022,1.1,0.0, ,12.4,5.0,78,64,2.72,3.96
FRIENDLY BEACHES,04/06/2022,1.1,0.0, ,14.7,8.6,82,52,2.29,6.84
FRIENDLY BEACHES,05/06/2022,1.1,3.4, ,12.9,7.1,93,61,3.67,6.22
FRIENDLY BEACHES,06/06/2022,1.7,1.8, ,12.4,7.1,81,47,4.78,6.12
FRIENDLY BEACHES,07/06/2022,1.4,0.0, ,9.5,3.5,85,47,4.69,7.40
FRIENDLY BEACHES,08/06/2022,1.2,1.2, ,11.1,3.9,88,54,4.19,7.09
FRIENDLY BEACHES,09/06/2022,1.7,0.0, ,11.8,5.8,72,44,4.51,7.03
FRIENDLY BEACHES,10/06/2022,1.7,0.0, ,10.6,5.8,75,48,5.25,5.92
FRIENDLY BEACHES,11/06/2022,1.8,0.4, ,11.9,3.3,83,46,6.01,6.66
FRIENDLY BEACHES,12/06/2022,1.9,0.0, ,9.3,4.1,74,47,7.12,6.64
FRIENDLY BEACHES,13/06/2022,1.0,0.0, ,11.8,2.6,80,50,2.64,7.30
FRIENDLY BEACHES,14/06/2022,0.9,0.0, ,12.9,-0.5,91,46,1.98,7.11
FRIENDLY BEACHES,15/06/2022,0.8,0.2, ,12.7,3.3,93,68,2.15,3.71
FRIENDLY BEACHES,16/06/2022,0.5,7.2, ,13.6,6.0,96,77,2.10,7.00
FRIENDLY BEACHES,17/06/2022,0.7,0.0, ,13.8,6.7,91,65,1.88,5.45
FRIENDLY BEACHES,18/06/2022,0.6,0.2, ,12.9,5.8,95,78,1.98,4.60
FRIENDLY BEACHES,19/06/2022,1.0,7.8, ,15.8,6.8,96,71,4.36,5.29
FRIENDLY BEACHES,20/06/2022,1.1,0.0, ,14.2,11.1,89,74,4.85,3.63
FRIENDLY BEACHES,21/06/2022,0.9,0.2, ,13.6,11.4,91,65,2.54,4.53
FRIENDLY BEACHES,22/06/2022,0.7,0.4, ,14.0,5.0,93,62,2.13,7.20
FRIENDLY BEACHES,23/06/2022,1.1,0.2, ,15.3,6.3,87,64,3.13,3.30
FRIENDLY BEACHES,24/06/2022,1.7,0.0, ,15.2,11.3,78,43,3.61,6.36
FRIENDLY BEACHES,25/06/2022,2.1,0.0, ,15.8,7.8,63,51,5.16,7.23
FRIENDLY BEACHES,26/06/2022,1.7,0.0, ,12.4,7.6,72,42,3.95,6.40
FRIENDLY BEACHES,27/06/2022,1.0,0.0, ,11.4,2.9,81,50,2.51,7.19
FRIENDLY BEACHES,28/06/2022,1.3,0.0, ,13.2,3.0,75,60,2.88,1.81
FRIENDLY BEACHES,29/06/2022,1.5,0.0, ,13.0,8.7,70,54,3.81,5.84
FRIENDLY BEACHES,30/06/2022,0.9,1.4, ,11.0,7.5,93,58,2.72,5.47
Totals:,,36.3,29.8, ,,,,,, 
