'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for July 2022,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/07/2022,1.0,0.0, ,12.8,2.8,92,47,2.48,7.47
FRIENDLY BEACHES,02/07/2022,0.9,0.2, ,13.1,1.7,93,51,2.45,7.48
FRIENDLY BEACHES,03/07/2022,0.7,0.4, ,13.7,1.1,93,59,1.92,7.54
FRIENDLY BEACHES,04/07/2022,0.8,0.2, ,15.1,2.5,93,56,1.99,7.51
FRIENDLY BEACHES,05/07/2022,0.8,0.0, ,15.1,5.4,92,50,1.70,7.49
FRIENDLY BEACHES,06/07/2022,0.7,0.8, ,14.2,2.9,95,78,2.85,5.56
FRIENDLY BEACHES,07/07/2022,0.9,0.4, ,14.2,5.9,92,53,2.11,6.99
FRIENDLY BEACHES,08/07/2022,0.7,9.2, ,10.2,4.2,94,80,5.26,4.46
FRIENDLY BEACHES,09/07/2022,1.0,25.0, ,11.0,7.1,94,67,3.99,4.67
FRIENDLY BEACHES,10/07/2022,0.9,2.0, ,12.6,6.8,87,61,2.26,4.36
FRIENDLY BEACHES,11/07/2022,1.5,0.0, ,15.0,8.2,80,51,3.35,7.24
FRIENDLY BEACHES,12/07/2022,0.7,3.4, ,13.2,6.1,94,73,2.09,5.75
FRIENDLY BEACHES,13/07/2022,0.8,0.8, ,10.1,5.9,91,71,3.73,5.78
FRIENDLY BEACHES,14/07/2022,1.0,0.8, ,13.9,3.0,90,53,2.35,7.92
FRIENDLY BEACHES,15/07/2022,0.9,0.0, ,15.2,5.4,91,53,1.59,7.30
FRIENDLY BEACHES,16/07/2022,1.2,0.0, ,13.3,4.7,88,60,3.15,3.60
FRIENDLY BEACHES,17/07/2022,1.9,0.0, ,14.6,9.2,84,50,5.50,8.13
FRIENDLY BEACHES,18/07/2022,1.4,0.0, ,7.6,2.6,78,50,4.84,6.67
FRIENDLY BEACHES,19/07/2022,1.2,0.2, ,11.3,2.1,85,58,3.35,5.94
FRIENDLY BEACHES,20/07/2022,0.9,0.0, ,12.9,3.0,90,57,2.27,8.53
FRIENDLY BEACHES,21/07/2022,1.1,0.2, ,12.2,0.6,94,54,2.67,5.69
FRIENDLY BEACHES,22/07/2022,1.4,0.0, ,14.4,3.2,80,58,3.41,4.63
FRIENDLY BEACHES,23/07/2022,0.9,7.4, ,12.1,9.9,94,77,4.32,4.63
FRIENDLY BEACHES,24/07/2022,0.6,18.4, ,14.2,10.2,95,86,1.79,5.60
FRIENDLY BEACHES,25/07/2022,0.6,0.2, ,13.5,7.7,96,89,3.04,5.87
FRIENDLY BEACHES,26/07/2022,0.7,8.6, ,15.0,10.8,95,80,1.85,5.56
FRIENDLY BEACHES,27/07/2022,1.2,0.2, ,15.8,8.7,90,51,2.10,8.53
FRIENDLY BEACHES,28/07/2022,1.4,0.0, ,12.3,6.3,76,54,2.88,7.17
FRIENDLY BEACHES,29/07/2022,1.5,0.0, ,10.7,4.4,79,46,3.61,9.19
FRIENDLY BEACHES,30/07/2022,1.3,0.0, ,12.7,-0.1,87,45,2.48,9.25
FRIENDLY BEACHES,31/07/2022,1.5,0.0, ,11.6,3.3,77,56,3.95,3.60
Totals:,,32.1,78.4, ,,,,,, 
