'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for August 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 September 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/08/2022,2.1,0.0, ,14.3,8.0,81,44,4.93,8.55
FRIENDLY BEACHES,02/08/2022,2.0,0.0, ,15.2,8.1,68,45,3.65,7.96
FRIENDLY BEACHES,03/08/2022,1.6,0.0, ,15.9,9.7,89,51,3.27,5.58
FRIENDLY BEACHES,04/08/2022,1.8,4.6, ,18.3,8.9,89,43,2.91,9.57
FRIENDLY BEACHES,05/08/2022,1.5,0.2, ,14.8,8.4,89,55,3.45,6.72
FRIENDLY BEACHES,06/08/2022,1.3,0.6, ,11.5,7.7,92,59,3.79,8.36
FRIENDLY BEACHES,07/08/2022,0.9,7.8, ,11.3,5.5,95,73,2.45,7.88
FRIENDLY BEACHES,08/08/2022,1.0,3.4, ,12.2,3.0,94,63,2.36,2.70
FRIENDLY BEACHES,09/08/2022,1.5,0.2, ,13.7,2.3,94,45,2.77,10.63
FRIENDLY BEACHES,10/08/2022,1.6,0.2, ,14.2,2.7,84,52,3.28,10.54
FRIENDLY BEACHES,11/08/2022,1.3,0.0, ,15.0,5.3,87,67,3.01,8.01
FRIENDLY BEACHES,12/08/2022,1.3,0.0, ,17.4,6.7,93,50,1.44,6.85
FRIENDLY BEACHES,13/08/2022,1.2,0.2, ,14.9,8.3,95,70,2.99,7.90
FRIENDLY BEACHES,14/08/2022,1.1,34.4, ,14.8,10.2,96,83,10.31,4.88
FRIENDLY BEACHES,15/08/2022,1.6,6.2, ,16.7,11.0,92,71,4.87,8.06
FRIENDLY BEACHES,16/08/2022,1.7,0.2, ,16.9,7.7,92,57,3.47,8.27
FRIENDLY BEACHES,17/08/2022,1.3,0.0, ,16.4,4.9,96,69,2.53,9.49
FRIENDLY BEACHES,18/08/2022,2.9,1.2, ,18.1,9.3,74,44,5.30,11.38
FRIENDLY BEACHES,19/08/2022,2.2,0.0, ,15.3,7.4,71,39,3.02,11.73
FRIENDLY BEACHES,20/08/2022,2.0,0.8, ,11.2,7.3,87,46,5.16,10.97
FRIENDLY BEACHES,21/08/2022,2.0,0.0, ,14.3,-0.9,88,44,3.59,10.60
FRIENDLY BEACHES,22/08/2022,1.8,0.0, ,15.9,7.6,88,53,3.31,8.05
FRIENDLY BEACHES,23/08/2022,1.9,2.2, ,11.3,2.2,88,37,3.57,12.13
FRIENDLY BEACHES,24/08/2022,1.7,0.0, ,15.8,4.0,78,52,2.66,6.06
FRIENDLY BEACHES,25/08/2022,1.9,0.0, ,17.4,7.8,93,52,2.71,12.29
FRIENDLY BEACHES,26/08/2022,1.7,0.2, ,17.6,4.3,95,58,2.10,13.12
FRIENDLY BEACHES,27/08/2022,1.6,0.0, ,16.4,8.7,93,64,2.37,10.92
FRIENDLY BEACHES,28/08/2022,1.2,1.8, ,15.1,9.3,94,85,4.15,8.44
FRIENDLY BEACHES,29/08/2022,1.7,7.4, ,17.9,9.9,94,72,2.90,12.13
FRIENDLY BEACHES,30/08/2022,1.2,11.4, ,14.8,11.5,96,69,2.32,4.87
FRIENDLY BEACHES,31/08/2022,2.4,2.2, ,18.8,6.8,72,47,2.52,13.64
Totals:,,51,85.2, ,,,,,, 
