'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/09/2022,2.3,0.0, ,17.7,9.2,93,47,3.24,11.41
FRIENDLY BEACHES,02/09/2022,2.1,10.0, ,14.7,4.2,92,41,2.76,14.36
FRIENDLY BEACHES,03/09/2022,2.0,0.0, ,14.7,6.5,92,47,2.52,14.51
FRIENDLY BEACHES,04/09/2022,2.0,0.0, ,15.4,3.5,93,49,2.71,12.99
FRIENDLY BEACHES,05/09/2022,1.5,1.2, ,12.8,6.1,91,69,3.85,9.60
FRIENDLY BEACHES,06/09/2022,1.7,2.2, ,14.4,5.5,93,64,2.51,12.93
FRIENDLY BEACHES,07/09/2022,1.8,0.2, ,15.3,2.7,96,59,2.88,12.18
FRIENDLY BEACHES,08/09/2022,1.2,35.0, ,15.1,7.6,95,82,4.46,6.52
FRIENDLY BEACHES,09/09/2022,1.2,8.0, ,16.5,13.0,95,90,4.32,7.96
FRIENDLY BEACHES,10/09/2022,1.4,36.0, ,15.7,11.0,96,65,2.79,4.78
FRIENDLY BEACHES,11/09/2022,2.4,0.8, ,16.2,5.4,84,48,3.36,13.02
FRIENDLY BEACHES,12/09/2022,2.6,1.8, ,12.7,3.3,76,38,4.15,14.05
FRIENDLY BEACHES,13/09/2022,2.5,0.0, ,14.5,2.8,83,45,3.37,16.27
FRIENDLY BEACHES,14/09/2022,2.2,0.0, ,15.0,3.5,92,57,3.38,14.84
FRIENDLY BEACHES,15/09/2022,1.9,0.0, ,16.9,6.8,93,65,2.74,12.34
FRIENDLY BEACHES,16/09/2022,1.4,9.6, ,14.5,10.7,95,71,5.35,3.96
FRIENDLY BEACHES,17/09/2022,2.6,54.6, ,18.6,8.6,82,47,2.92,12.20
FRIENDLY BEACHES,18/09/2022,1.9,0.0, ,16.3,6.8,84,54,2.24,8.73
FRIENDLY BEACHES,19/09/2022,2.8,0.0, ,17.3,7.8,91,37,2.89,16.28
FRIENDLY BEACHES,20/09/2022,2.3,0.2, ,16.3,4.8,94,58,2.37,17.23
FRIENDLY BEACHES,21/09/2022,1.6,0.2, ,17.5,10.4,94,59,1.64,7.50
FRIENDLY BEACHES,22/09/2022,2.5,0.0, ,21.3,11.1,93,66,2.13,15.43
FRIENDLY BEACHES,23/09/2022,1.9,1.8, ,17.2,11.6,94,73,2.47,11.51
FRIENDLY BEACHES,24/09/2022,1.2,20.2, ,11.6,8.4,95,80,3.71,5.79
FRIENDLY BEACHES,25/09/2022,2.2,3.6, ,15.9,4.5,93,64,2.89,15.83
FRIENDLY BEACHES,26/09/2022,2.4,0.2, ,18.7,6.3,93,55,2.61,13.78
FRIENDLY BEACHES,27/09/2022,2.4,2.2, ,18.1,9.8,95,66,1.74,17.34
FRIENDLY BEACHES,28/09/2022,1.9,0.2, ,16.7,6.8,96,70,3.39,11.75
FRIENDLY BEACHES,29/09/2022,1.8,2.0, ,12.4,7.2,94,61,5.25,7.77
FRIENDLY BEACHES,30/09/2022,3.1,2.4, ,16.1,7.6,88,41,3.62,17.59
Totals:,,60.8,192.4, ,,,,,, 
