'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/10/2022,2.8,0.0, ,15.8,2.8,94,45,2.47,20.15
FRIENDLY BEACHES,02/10/2022,2.9,0.0, ,17.1,4.5,85,49,2.36,20.23
FRIENDLY BEACHES,03/10/2022,2.1,0.0, ,17.1,7.0,93,64,1.91,13.12
FRIENDLY BEACHES,04/10/2022,3.1,0.6, ,14.3,5.6,86,40,4.31,18.61
FRIENDLY BEACHES,05/10/2022,2.4,0.2, ,14.5,5.4,83,50,4.01,10.67
FRIENDLY BEACHES,06/10/2022,2.1,0.2, ,14.8,9.3,95,64,7.61,8.27
FRIENDLY BEACHES,07/10/2022,3.1,17.6, ,21.4,11.7,96,55,4.99,12.45
FRIENDLY BEACHES,08/10/2022,3.2,0.4, ,16.9,8.3,90,33,3.25,15.58
FRIENDLY BEACHES,09/10/2022,3.2,8.8, ,15.8,4.0,88,42,3.17,21.90
FRIENDLY BEACHES,10/10/2022,3.1,0.0, ,17.7,3.1,91,44,2.56,20.13
FRIENDLY BEACHES,11/10/2022,3.2,0.0, ,18.0,5.6,92,58,4.11,21.11
FRIENDLY BEACHES,12/10/2022,1.6,0.6, ,15.8,11.6,93,80,4.85,7.26
FRIENDLY BEACHES,13/10/2022,1.1,5.6, ,14.4,13.2,95,89,8.41,4.62
FRIENDLY BEACHES,14/10/2022,2.9,28.0, ,17.6,11.7,95,49,4.01,14.23
FRIENDLY BEACHES,15/10/2022,3.1,5.4, ,19.1,7.2,93,42,2.44,17.24
FRIENDLY BEACHES,16/10/2022,3.0,7.2, ,16.3,6.5,93,45,2.57,18.77
FRIENDLY BEACHES,17/10/2022,3.0,0.0, ,16.7,5.8,91,49,3.08,18.46
FRIENDLY BEACHES,18/10/2022,3.9,0.0, ,20.5,8.8,80,35,2.66,20.28
FRIENDLY BEACHES,19/10/2022,4.3,0.0, ,20.9,9.3,91,37,3.26,24.02
FRIENDLY BEACHES,20/10/2022,3.6,0.0, ,18.7,9.3,94,52,2.53,23.72
FRIENDLY BEACHES,21/10/2022,1.9,0.0, ,17.9,10.2,96,74,3.57,9.67
FRIENDLY BEACHES,22/10/2022,1.4,21.8, ,19.3,13.8,96,87,4.25,6.68
FRIENDLY BEACHES,23/10/2022,2.4,20.0, ,15.4,10.0,93,61,5.66,10.41
FRIENDLY BEACHES,24/10/2022,1.9,0.4, ,14.1,10.3,96,63,6.30,5.34
FRIENDLY BEACHES,25/10/2022,1.2,34.0, ,16.5,11.0,96,88,4.71,5.72
FRIENDLY BEACHES,26/10/2022,1.6,26.0, ,17.3,12.8,97,87,6.03,9.24
FRIENDLY BEACHES,27/10/2022,1.7,4.6, ,16.5,13.0,96,84,1.41,9.68
FRIENDLY BEACHES,28/10/2022,2.5,10.8, ,18.1,11.7,92,61,3.60,11.56
FRIENDLY BEACHES,29/10/2022,4.0,4.2, ,18.3,10.4,91,40,4.23,21.87
FRIENDLY BEACHES,30/10/2022,4.3,0.4, ,18.2,5.4,80,44,4.32,26.13
FRIENDLY BEACHES,31/10/2022,5.7,0.0, ,23.5,10.9,92,35,6.83,25.01
Totals:,,86.3,196.8, ,,,,,, 
