'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/11/2022,3.0,0.0, ,17.9,7.3,93,38,2.59,14.36
FRIENDLY BEACHES,02/11/2022,3.5,2.4, ,16.1,4.0,91,34,3.55,19.94
FRIENDLY BEACHES,03/11/2022,5.1,0.6, ,20.8,5.0,72,32,4.15,26.70
FRIENDLY BEACHES,04/11/2022,4.2,0.0, ,18.5,6.5,86,46,3.03,27.13
FRIENDLY BEACHES,05/11/2022,4.2,0.0, ,20.3,9.3,93,55,2.66,27.31
FRIENDLY BEACHES,06/11/2022,5.1,0.0, ,25.0,9.4,95,38,2.96,27.07
FRIENDLY BEACHES,07/11/2022,2.9,0.0, ,19.9,12.4,93,56,2.37,14.04
FRIENDLY BEACHES,08/11/2022,5.0,0.0, ,25.0,10.5,95,36,2.07,27.92
FRIENDLY BEACHES,09/11/2022,4.4,0.0, ,22.4,11.9,96,66,4.97,27.91
FRIENDLY BEACHES,10/11/2022,4.9,0.0, ,23.8,14.9,89,58,6.68,24.90
FRIENDLY BEACHES,11/11/2022,3.4,1.4, ,25.3,14.3,94,58,3.11,14.32
FRIENDLY BEACHES,12/11/2022, ,25.4, ,19.1,10.3,93,52,3.61, 
FRIENDLY BEACHES,13/11/2022,1.6,0.0, ,14.3,10.5,96,64,4.13,4.32
FRIENDLY BEACHES,14/11/2022,1.3,38.8, ,14.3,11.6,96,70,2.56,3.59
FRIENDLY BEACHES,15/11/2022,1.7,20.0, ,10.9,5.9,94,60,6.27,5.03
FRIENDLY BEACHES,16/11/2022,3.6,62.8, ,14.9,5.2,80,49,5.17,21.64
FRIENDLY BEACHES,17/11/2022,4.0,0.0, ,18.1,6.8,87,50,3.65,25.56
FRIENDLY BEACHES,18/11/2022,4.4,0.0, ,19.7,7.2,90,53,3.01,29.45
FRIENDLY BEACHES,19/11/2022,3.9,0.0, ,20.2,9.5,93,55,5.74,20.88
FRIENDLY BEACHES,20/11/2022,4.8,12.4, ,20.7,12.5,95,31,4.23,23.58
FRIENDLY BEACHES,21/11/2022,4.2,0.0, ,17.3,7.5,86,37,5.10,20.78
FRIENDLY BEACHES,22/11/2022,6.1,2.8, ,21.5,5.6,62,28,5.69,28.48
FRIENDLY BEACHES,23/11/2022,5.7,0.0, ,21.2,9.3,70,30,4.25,29.02
FRIENDLY BEACHES,24/11/2022,3.2,0.0, ,19.4,10.3,92,51,2.45,16.69
FRIENDLY BEACHES,25/11/2022,2.5,1.0, ,17.4,10.6,94,49,1.96,12.14
FRIENDLY BEACHES,26/11/2022,2.8,2.2, ,18.3,7.8,96,62,4.02,14.90
FRIENDLY BEACHES,27/11/2022,4.4,0.6, ,21.3,12.2,91,39,3.62,20.66
FRIENDLY BEACHES,28/11/2022,5.0,7.4, ,21.2,5.9,91,36,4.02,26.87
FRIENDLY BEACHES,29/11/2022,4.7,3.8, ,20.5,8.5,87,31,3.66,23.70
FRIENDLY BEACHES,30/11/2022,4.9,0.0, ,21.4,7.3,82,45,3.34,28.56
Totals:,,114.5,181.6, ,,,,,, 
