'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/12/2022,3.1,0.4, ,19.1,11.3,89,48,3.45,12.26
FRIENDLY BEACHES,02/12/2022,4.9,0.0, ,20.3,9.4,84,51,3.98,29.73
FRIENDLY BEACHES,03/12/2022,4.9,0.0, ,23.7,10.0,92,50,2.31,28.68
FRIENDLY BEACHES,04/12/2022,3.4,0.0, ,22.2,13.5,93,61,2.04,17.68
FRIENDLY BEACHES,05/12/2022,1.7,0.0, ,15.3,14.1,94,62,4.86,2.03
FRIENDLY BEACHES,06/12/2022,2.9,4.6, ,14.8,9.9,76,56,5.29,10.93
FRIENDLY BEACHES,07/12/2022,4.5,0.0, ,19.8,7.8,93,49,3.26,28.56
FRIENDLY BEACHES,08/12/2022,4.0,5.4, ,16.9,9.0,93,42,6.65,19.39
FRIENDLY BEACHES,09/12/2022,4.6,0.4, ,18.6,7.4,81,48,4.93,26.71
FRIENDLY BEACHES,10/12/2022,3.8,0.0, ,20.1,8.3,87,53,3.36,20.75
FRIENDLY BEACHES,11/12/2022,3.1,0.0, ,20.1,11.8,95,58,4.67,13.37
FRIENDLY BEACHES,12/12/2022,1.9,17.2, ,19.3,13.5,96,65,2.91,5.97
FRIENDLY BEACHES,13/12/2022, ,15.0, , ,10.0,93,38,3.04,21.01
FRIENDLY BEACHES,14/12/2022,3.2, , ,15.4,7.6,95,52,5.87,17.26
FRIENDLY BEACHES,15/12/2022,2.8,21.4, ,15.7,7.8,93,58,5.68,14.20
FRIENDLY BEACHES,16/12/2022,3.1,8.6, ,17.0,9.2,94,62,4.91,17.37
FRIENDLY BEACHES,17/12/2022,3.0,4.4, ,16.2,9.9,93,61,4.20,17.05
FRIENDLY BEACHES,18/12/2022,5.0,0.0, ,19.6,10.5,91,51,4.10,31.55
FRIENDLY BEACHES,19/12/2022,4.3,0.0, ,20.4,8.2,93,54,3.63,25.66
FRIENDLY BEACHES,20/12/2022,3.0,0.0, ,18.7,10.8,83,51,2.76,12.48
FRIENDLY BEACHES,21/12/2022,4.4,0.0, ,20.3,11.0,84,47,3.08,24.18
FRIENDLY BEACHES,22/12/2022,4.4,0.0, ,21.2,10.7,89,52,3.02,24.68
FRIENDLY BEACHES,23/12/2022,4.8,0.0, ,22.8,12.2,95,60,2.96,29.09
FRIENDLY BEACHES,24/12/2022,5.2,0.0, ,25.2,13.5,90,39,3.04,25.00
FRIENDLY BEACHES,25/12/2022,5.5,0.0, ,24.7,12.8,94,55,2.51,32.14
FRIENDLY BEACHES,26/12/2022,4.9,0.0, ,24.0,15.5,91,64,2.30,27.69
FRIENDLY BEACHES,27/12/2022,6.5,0.0, ,25.5,14.1,95,24,3.54,31.98
FRIENDLY BEACHES,28/12/2022,6.2,0.0, ,29.4,17.7,80,35,5.99,15.64
FRIENDLY BEACHES,29/12/2022,5.1,0.0, ,20.2,10.7,80,41,3.01,29.48
FRIENDLY BEACHES,30/12/2022,3.7,0.0, ,22.5,12.4,96,52,3.11,17.13
FRIENDLY BEACHES,31/12/2022,3.7,18.2, ,22.1,15.4,97,78,3.59,22.80
Totals:,,121.6,95.6, ,,,,,, 
