'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/01/2023,3.2,0.4, ,22.2,17.1,96,78,5.39,17.94
FRIENDLY BEACHES,02/01/2023,4.8,0.0, ,28.3,16.7,93,59,4.74,20.02
FRIENDLY BEACHES,03/01/2023,2.1,0.6, ,16.9,13.6,94,60,3.26,7.05
FRIENDLY BEACHES,04/01/2023,2.0,1.0, ,17.1,11.7,95,65,2.33,8.73
FRIENDLY BEACHES,05/01/2023,3.6,0.2, ,20.8,10.7,88,56,3.47,18.19
FRIENDLY BEACHES,06/01/2023,3.7,0.0, ,21.0,10.7,78,46,2.91,15.88
FRIENDLY BEACHES,07/01/2023,4.5,0.0, ,22.1,13.0,87,54,3.21,24.26
FRIENDLY BEACHES,08/01/2023,5.2,0.0, ,23.4,14.0,89,57,4.77,28.37
FRIENDLY BEACHES,09/01/2023,4.8,0.0, ,24.2,11.9,95,58,2.85,27.29
FRIENDLY BEACHES,10/01/2023,3.5,1.2, ,21.3,13.0,94,54,2.15,18.03
FRIENDLY BEACHES,11/01/2023,5.2,0.0, ,22.9,10.2,95,52,3.96,31.13
FRIENDLY BEACHES,12/01/2023,5.6,0.0, ,24.7,13.4,89,51,3.85,30.82
FRIENDLY BEACHES,13/01/2023,5.4,0.0, ,25.4,16.4,91,62,3.79,29.59
FRIENDLY BEACHES,14/01/2023,4.0,0.0, ,24.5,16.9,93,64,5.81,17.91
FRIENDLY BEACHES,15/01/2023,6.0,0.0, ,24.8,17.5,92,34,5.03,26.38
FRIENDLY BEACHES,16/01/2023,4.1,0.0, ,21.8,9.8,82,42,2.86,19.51
FRIENDLY BEACHES,17/01/2023,3.1,0.2, ,22.3,15.1,95,72,4.95,15.92
FRIENDLY BEACHES,18/01/2023,2.6,4.6, ,22.1,16.2,95,54,3.88,6.62
FRIENDLY BEACHES,19/01/2023,5.2,0.6, ,20.4,11.1,76,36,4.84,24.83
FRIENDLY BEACHES,20/01/2023,5.2,0.0, ,22.9,10.2,79,45,2.78,30.05
FRIENDLY BEACHES,21/01/2023,4.8,0.0, ,24.5,10.5,90,48,2.93,25.85
FRIENDLY BEACHES,22/01/2023,3.4,0.0, ,21.7,15.1,92,65,2.55,17.59
FRIENDLY BEACHES,23/01/2023,4.3,20.4, ,24.0,14.6,95,63,2.19,24.39
FRIENDLY BEACHES,24/01/2023,4.6,0.0, ,23.9,12.8,95,62,2.24,26.98
FRIENDLY BEACHES,25/01/2023,4.9,0.0, ,25.9,14.3,94,42,2.46,24.31
FRIENDLY BEACHES,26/01/2023,5.5,0.0, ,23.5,14.9,71,32,3.79,23.59
FRIENDLY BEACHES,27/01/2023,5.3,0.0, ,23.5,11.3,87,49,5.19,27.52
FRIENDLY BEACHES,28/01/2023,4.7,0.0, ,29.5,15.9,83,34,3.79,10.84
FRIENDLY BEACHES,29/01/2023,1.6,2.2, ,18.6,15.0,94,73,1.59,5.93
FRIENDLY BEACHES,30/01/2023,4.5,5.2, ,22.8,13.6,93,57,2.32,26.70
FRIENDLY BEACHES,31/01/2023,4.9,0.0, ,24.7,14.5,90,59,2.84,28.12
Totals:,,132.3,36.6, ,,,,,, 
