'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FRIENDLY BEACHES Tasmania for February 2023,,,,,,,,,,
Issued at 04:31 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FRIENDLY BEACHES,01/02/2023,4.2,0.0, ,23.3,12.4,92,42,3.38,18.70
FRIENDLY BEACHES,02/02/2023,3.6,5.2, ,22.3,11.5,89,44,3.41,13.61
FRIENDLY BEACHES,03/02/2023,4.4,3.0, ,21.8,8.1,86,41,2.87,23.74
FRIENDLY BEACHES,04/02/2023,2.6,0.0, ,16.4,9.7,93,54,3.02,12.62
FRIENDLY BEACHES,05/02/2023,5.3,9.0, ,23.2,12.0,90,37,3.69,27.69
FRIENDLY BEACHES,06/02/2023,4.9,0.0, ,24.1,11.4,94,45,3.03,27.04
FRIENDLY BEACHES,07/02/2023,5.1,0.0, ,23.5,11.0,78,38,3.72,25.21
FRIENDLY BEACHES,08/02/2023,2.4,0.0, ,18.6,13.1,84,51,2.24,9.04
FRIENDLY BEACHES,09/02/2023,4.1,0.0, ,23.2,12.9,89,47,3.02,20.26
FRIENDLY BEACHES,10/02/2023,2.9,1.6, ,22.5,14.8,94,72,2.33,15.37
FRIENDLY BEACHES,11/02/2023,3.5,7.2, ,24.2,14.7,93,59,2.45,17.75
FRIENDLY BEACHES,12/02/2023,3.5,0.0, ,24.8,13.7,94,50,3.12,14.36
FRIENDLY BEACHES,13/02/2023,3.9,0.0, ,22.3,9.3,85,43,2.73,19.99
FRIENDLY BEACHES,14/02/2023,4.5,0.0, ,21.9,9.3,90,40,2.75,25.87
FRIENDLY BEACHES,15/02/2023,4.6,0.0, ,24.8,12.9,87,55,4.93,22.23
FRIENDLY BEACHES,16/02/2023,3.0,0.0, ,23.6,12.3,88,49,1.53,13.96
FRIENDLY BEACHES,17/02/2023,6.5,0.0, ,34.1,15.4,93,26,3.63,21.90
FRIENDLY BEACHES,18/02/2023,3.7,0.0, ,24.4,16.5,93,58,2.27,18.78
FRIENDLY BEACHES,19/02/2023,5.8,1.4, ,30.7,11.7,95,24,2.91,24.24
FRIENDLY BEACHES,20/02/2023,4.0,0.0, ,24.9,13.7,94,40,3.70,15.03
FRIENDLY BEACHES,21/02/2023,4.4,4.0, ,19.8,11.0,95,35,4.65,23.62
FRIENDLY BEACHES,22/02/2023,4.0,0.0, ,21.9,9.2,77,35,3.00,17.73
FRIENDLY BEACHES,23/02/2023,4.7,0.0, ,24.6,12.2,80,48,5.64,18.37
FRIENDLY BEACHES,24/02/2023,5.6,0.0, ,26.1,16.6,82,48,6.47,23.46
FRIENDLY BEACHES,25/02/2023,5.6,0.0, ,29.6,17.5,89,36,4.19,21.52
FRIENDLY BEACHES,26/02/2023,2.3,14.2, ,22.8,15.4,95,71,2.43,10.52
FRIENDLY BEACHES,27/02/2023,3.9,0.8, ,20.9,13.8,86,50,3.53,20.98
FRIENDLY BEACHES,28/02/2023,2.3,0.0, ,20.9,11.8,90,61,2.06,10.83
Totals:,,115.3,46.4, ,,,,,, 
