'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for February 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/02/2020,3.1,2.6, ,26.5,21.4,96,55,4.20,8.24
CAMPANIA (KINCORA),02/02/2020,5.5,0.0, ,22.2,8.9,76,35,6.85,20.39
CAMPANIA (KINCORA),03/02/2020,3.8,0.4, ,15.6,8.3,92,45,5.91,23.31
CAMPANIA (KINCORA),04/02/2020,4.7,1.0, ,20.9,4.6,100,37,4.21,27.60
CAMPANIA (KINCORA),05/02/2020,4.9,0.0, ,21.6,6.9,84,39,4.31,25.91
CAMPANIA (KINCORA),06/02/2020,4.5,0.0, ,24.4,13.1,83,45,2.96,21.21
CAMPANIA (KINCORA),07/02/2020,2.2,0.0, ,18.6,13.0,87,68,3.44,8.19
CAMPANIA (KINCORA),08/02/2020,2.4,0.0, ,19.5,13.3,85,59,2.38,9.49
CAMPANIA (KINCORA),09/02/2020,3.4,0.0, ,20.7,13.5,79,52,3.27,14.43
CAMPANIA (KINCORA),10/02/2020,2.5,0.0, ,21.7,15.0,86,59,2.99,8.17
CAMPANIA (KINCORA),11/02/2020,2.5,2.2, ,24.3,16.8,100,67,2.70,10.25
CAMPANIA (KINCORA),12/02/2020,1.9,1.4, ,18.6,15.6,100,73,3.69,8.95
CAMPANIA (KINCORA),13/02/2020,3.2,0.6, ,23.3,13.1,98,52,2.31,14.93
CAMPANIA (KINCORA),14/02/2020,4.4,0.0, ,30.0,14.2,94,49,2.78,17.93
CAMPANIA (KINCORA),15/02/2020,3.6,0.4, ,19.5,14.8,100,51,6.45,16.88
CAMPANIA (KINCORA),16/02/2020,4.5,0.0, ,19.7,10.8,80,42,4.26,24.80
CAMPANIA (KINCORA),17/02/2020,4.3,0.0, ,21.7,4.4,89,35,2.75,25.09
CAMPANIA (KINCORA),18/02/2020,4.1,0.0, ,23.8,5.9,92,38,3.52,16.75
CAMPANIA (KINCORA),19/02/2020,4.2,0.0, ,18.3,12.9,78,42,7.52,13.24
CAMPANIA (KINCORA),20/02/2020,4.2,0.0, ,21.3,11.4,85,37,4.48,16.45
CAMPANIA (KINCORA),21/02/2020,3.8,0.2, ,18.6,9.9,81,37,4.23,16.79
CAMPANIA (KINCORA),22/02/2020,5.4,0.0, ,26.1,4.0,89,24,3.47,24.20
CAMPANIA (KINCORA),23/02/2020,5.0,0.0, ,26.3,6.9,93,35,3.63,23.48
CAMPANIA (KINCORA),24/02/2020,3.2,0.0, ,24.1,11.4,83,42,2.45,11.77
CAMPANIA (KINCORA),25/02/2020,6.4,0.0, ,31.6,10.4,94,24,4.41,19.77
CAMPANIA (KINCORA),26/02/2020,3.1,4.8, ,17.1,10.0,92,40,5.06,10.48
CAMPANIA (KINCORA),27/02/2020,5.1,0.8, ,21.7,9.8,65,38,8.15,11.77
CAMPANIA (KINCORA),28/02/2020,4.2,0.0, ,20.5,9.6,93,36,5.41,18.47
CAMPANIA (KINCORA),29/02/2020,6.2,0.0, ,28.1,11.6,84,22,4.84,21.86
Totals:,,116.3,14.4, ,,,,,, 
