'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for March 2020,,,,,,,,,,
Issued at 22:32 GMT on Wednesday 01 April 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/03/2020,3.1,0.0, ,22.5,9.0,90,48,4.73,6.96
CAMPANIA (KINCORA),02/03/2020,3.5,15.6, ,16.4,10.2,95,42,6.11,17.98
CAMPANIA (KINCORA),03/03/2020,4.4,0.2, ,20.9,10.9,71,41,4.49,20.76
CAMPANIA (KINCORA),04/03/2020,4.3,0.0, ,23.7,7.6,93,35,3.64,20.91
CAMPANIA (KINCORA),05/03/2020,1.2,6.2, ,19.5,14.3,99,71,2.70,1.91
CAMPANIA (KINCORA),06/03/2020,3.1,25.2, ,19.0,14.7,94,59,4.71,16.73
CAMPANIA (KINCORA),07/03/2020,2.3,0.0, ,15.3,12.0,93,56,4.58,8.97
CAMPANIA (KINCORA),08/03/2020,2.3,2.4, ,16.2,9.7,95,54,2.78,12.59
CAMPANIA (KINCORA),09/03/2020,2.0,0.0, ,16.4,10.5,89,53,2.07,9.09
CAMPANIA (KINCORA),10/03/2020,3.4,0.0, ,20.6,6.3,94,38,2.60,20.10
CAMPANIA (KINCORA),11/03/2020,4.1,0.0, ,24.4,6.9,95,29,2.77,20.12
CAMPANIA (KINCORA),12/03/2020,4.5,0.0, ,28.5,9.4,86,37,4.27,11.61
CAMPANIA (KINCORA),13/03/2020,3.2,0.0, ,23.5,16.5,87,44,5.71,1.45
CAMPANIA (KINCORA),14/03/2020,2.7,5.6, ,16.4,7.3,75,51,4.68,9.68
CAMPANIA (KINCORA),15/03/2020,2.7,0.0, ,18.4,7.0,94,58,3.64,15.82
CAMPANIA (KINCORA),16/03/2020,3.2,0.0, ,21.6,10.8,91,41,2.23,18.15
CAMPANIA (KINCORA),17/03/2020,5.2,0.0, ,27.0,8.8,88,29,5.12,16.18
CAMPANIA (KINCORA),18/03/2020,4.0,0.0, ,25.0,13.9,79,34,5.50,2.58
CAMPANIA (KINCORA),19/03/2020,2.7,0.0, ,22.6,9.9,92,40,2.75,8.96
CAMPANIA (KINCORA),20/03/2020,2.5,3.8, ,19.2,13.8,86,52,4.13,6.52
CAMPANIA (KINCORA),21/03/2020,1.9,1.0, ,17.7,12.2,98,70,3.35,10.43
CAMPANIA (KINCORA),22/03/2020,2.4,3.4, ,16.4,10.1,99,43,3.84,9.80
CAMPANIA (KINCORA),23/03/2020,2.8,1.0, ,18.6,6.4,93,41,3.08,15.12
CAMPANIA (KINCORA),24/03/2020,2.7,0.0, ,19.0,4.7,95,44,2.64,17.18
CAMPANIA (KINCORA),25/03/2020,2.9,0.0, ,19.3,8.2,86,46,4.21,12.23
CAMPANIA (KINCORA),26/03/2020,2.7,0.0, ,18.8,2.2,94,33,2.23,16.64
CAMPANIA (KINCORA),27/03/2020,2.5,0.0, ,21.3,5.7,93,42,2.04,13.93
CAMPANIA (KINCORA),28/03/2020,4.0,0.0, ,26.3,6.1,98,39,4.01,16.25
CAMPANIA (KINCORA),29/03/2020,4.1,0.0, ,26.3,12.1,83,39,5.39,7.53
CAMPANIA (KINCORA),30/03/2020,3.1,2.2, ,20.0,13.3,76,49,4.84,9.51
CAMPANIA (KINCORA),31/03/2020,2.4,0.0, ,20.7,5.9,90,44,2.50,10.92
Totals:,,95.9,66.6, ,,,,,, 
