'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for April 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 May 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/04/2020,2.6,0.0, ,22.0,6.8,91,46,2.76,11.73
CAMPANIA (KINCORA),02/04/2020,0.7,0.0, ,15.8,10.6,100,89,1.89,1.52
CAMPANIA (KINCORA),03/04/2020,2.6,28.8, ,20.8,12.4,88,58,4.28,10.70
CAMPANIA (KINCORA),04/04/2020,1.8,7.8, ,14.8,13.2,96,54,4.31,4.74
CAMPANIA (KINCORA),05/04/2020,2.1,1.2, ,12.7,4.8,82,52,4.35,10.43
CAMPANIA (KINCORA),06/04/2020,2.5,0.0, ,15.1,6.1,87,47,4.83,13.23
CAMPANIA (KINCORA),07/04/2020,2.2,0.0, ,17.7,2.9,94,54,3.66,13.12
CAMPANIA (KINCORA),08/04/2020,1.7,0.2, ,15.2,5.7,96,52,2.51,10.55
CAMPANIA (KINCORA),09/04/2020,2.7,0.0, ,20.7,2.1,97,40,3.31,13.80
CAMPANIA (KINCORA),10/04/2020,3.7,0.0, ,21.5,8.4,83,38,6.47,6.78
CAMPANIA (KINCORA),11/04/2020,1.7,4.4, ,13.3,10.7,91,59,4.70,4.30
CAMPANIA (KINCORA),12/04/2020,2.2,1.2, ,17.2,7.9,90,58,5.15,8.20
CAMPANIA (KINCORA),13/04/2020,1.3,0.0, ,15.8,6.5,95,60,1.55,7.69
CAMPANIA (KINCORA),14/04/2020,2.3,0.0, ,22.2,8.4,91,50,2.71,12.29
CAMPANIA (KINCORA),15/04/2020,1.1,0.0, ,17.6,11.1,93,75,2.90,1.96
CAMPANIA (KINCORA),16/04/2020,2.6,6.2, ,16.4,13.3,89,44,5.88,7.39
CAMPANIA (KINCORA),17/04/2020,2.2,4.6, ,12.2,7.0,81,54,6.94,8.00
CAMPANIA (KINCORA),18/04/2020,2.1,2.0, ,13.9,7.1,81,54,4.74,9.91
CAMPANIA (KINCORA),19/04/2020,1.3,0.0, ,14.7,3.6,96,56,1.99,7.73
CAMPANIA (KINCORA),20/04/2020,2.2,1.0, ,17.6,6.9,95,51,5.20,7.21
CAMPANIA (KINCORA),21/04/2020,2.1,0.6, ,17.3,5.5,89,49,3.91,7.52
CAMPANIA (KINCORA),22/04/2020,3.0,0.0, ,16.0,9.1,72,44,6.45,9.51
CAMPANIA (KINCORA),23/04/2020,2.3,0.0, ,18.8,7.0,83,50,4.00,10.75
CAMPANIA (KINCORA),24/04/2020,2.6,0.0, ,17.7,9.4,84,48,5.18,10.71
CAMPANIA (KINCORA),25/04/2020,2.3,0.0, ,19.5,12.3,82,53,4.20,5.43
CAMPANIA (KINCORA),26/04/2020,2.8,0.0, ,15.9,10.1,86,40,6.60,8.63
CAMPANIA (KINCORA),27/04/2020,3.0,0.0, ,18.7,7.4,64,49,5.89,7.74
CAMPANIA (KINCORA),28/04/2020,2.9,0.0, ,19.4,8.5,84,46,6.00,9.61
CAMPANIA (KINCORA),29/04/2020,2.0,0.0, ,20.3,8.5,97,55,4.14,9.13
CAMPANIA (KINCORA),30/04/2020,1.2,10.8, ,15.1,10.2,98,61,2.33,5.77
Totals:,,65.8,68.8, ,,,,,, 
