'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for May 2020,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/05/2020,1.6,0.2, ,15.0,5.2,95,55,3.72,9.36
CAMPANIA (KINCORA),02/05/2020,2.3,0.2, ,13.6,7.6,83,52,7.53,3.60
CAMPANIA (KINCORA),03/05/2020,2.2,3.8, ,13.6,8.4,68,52,5.16,6.69
CAMPANIA (KINCORA),04/05/2020,1.5,0.0, ,16.8,5.9,96,57,3.13,8.44
CAMPANIA (KINCORA),05/05/2020,1.6,0.0, ,17.3,1.5,98,46,2.64,9.65
CAMPANIA (KINCORA),06/05/2020,1.7,0.0, ,17.0,6.8,95,50,3.43,4.00
CAMPANIA (KINCORA),07/05/2020,2.3,0.0, ,19.1,8.7,87,49,4.82,4.05
CAMPANIA (KINCORA),08/05/2020,2.2,0.0, ,18.2,8.8,87,43,4.16,8.86
CAMPANIA (KINCORA),09/05/2020,1.1,6.4, ,12.8,8.2,98,64,3.46,4.79
CAMPANIA (KINCORA),10/05/2020,1.4,1.6, ,12.2,2.2,92,48,3.40,8.46
CAMPANIA (KINCORA),11/05/2020,1.6,0.0, ,16.7,5.7,90,58,4.05,3.34
CAMPANIA (KINCORA),12/05/2020,2.4,0.0, ,18.6,9.8,80,50,4.99,4.70
CAMPANIA (KINCORA),13/05/2020,1.5,2.2, ,12.1,5.5,80,54,4.06,7.62
CAMPANIA (KINCORA),14/05/2020,1.5,0.0, ,16.9,4.2,86,56,3.37,8.49
CAMPANIA (KINCORA),15/05/2020,1.3,0.0, ,17.0,4.8,94,57,2.83,8.55
CAMPANIA (KINCORA),16/05/2020,1.8,0.0, ,17.6,3.9,96,42,3.51,8.46
CAMPANIA (KINCORA),17/05/2020,1.1,0.0, ,17.8,4.9,96,59,2.29,7.99
CAMPANIA (KINCORA),18/05/2020,1.2,0.0, ,16.9,3.3,100,59,2.86,7.44
CAMPANIA (KINCORA),19/05/2020,2.0,0.0, ,18.0,9.0,83,57,5.28,6.31
CAMPANIA (KINCORA),20/05/2020,2.2,0.0, ,15.2,12.8,85,44,5.23,3.38
CAMPANIA (KINCORA),21/05/2020,1.5,0.8, ,13.8,3.7,89,51,4.20,7.75
CAMPANIA (KINCORA),22/05/2020,1.0,0.2, ,13.4,-0.8,97,50,2.11,7.97
CAMPANIA (KINCORA),23/05/2020,1.0,0.2, ,14.6,-0.3,97,64,3.14,6.44
CAMPANIA (KINCORA),24/05/2020,1.1,0.0, ,11.2,5.0,93,59,3.89,4.66
CAMPANIA (KINCORA),25/05/2020,0.8,0.4, ,11.8,7.0,96,61,2.29,5.49
CAMPANIA (KINCORA),26/05/2020,1.1,0.2, ,12.8,-1.3,97,55,3.30,7.69
CAMPANIA (KINCORA),27/05/2020,1.5,0.2, ,17.6,2.1,94,55,3.63,7.61
CAMPANIA (KINCORA),28/05/2020,1.6,0.0, ,17.3,6.7,90,50,3.68,7.57
CAMPANIA (KINCORA),29/05/2020,1.8,0.0, ,19.1,7.6,86,51,4.01,6.42
CAMPANIA (KINCORA),30/05/2020,2.4,0.0, ,17.5,8.7,85,48,6.68,6.67
CAMPANIA (KINCORA),31/05/2020,2.1,0.0, ,16.1,9.2,80,43,4.99,6.78
Totals:,,50.4,16.4, ,,,,,, 
