'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for June 2020,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 July 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/06/2020,1.3,0.0, ,17.0,5.5,90,54,3.01,7.09
CAMPANIA (KINCORA),02/06/2020,2.0,0.0, ,17.3,4.1,82,51,4.94,4.10
CAMPANIA (KINCORA),03/06/2020,1.5,0.0, ,11.9,7.7,80,49,4.09,5.85
CAMPANIA (KINCORA),04/06/2020,1.4,0.0, ,13.6,2.1,85,50,3.98,7.18
CAMPANIA (KINCORA),05/06/2020,1.4,0.0, ,14.6,6.2,91,58,4.02,3.92
CAMPANIA (KINCORA),06/06/2020,0.8,1.6, ,10.4,-1.0,97,60,3.27,6.74
CAMPANIA (KINCORA),07/06/2020,1.0,0.2, ,12.5,-0.7,93,57,3.16,6.38
CAMPANIA (KINCORA),08/06/2020,1.0,0.0, ,13.4,-0.1,96,54,3.14,7.00
CAMPANIA (KINCORA),09/06/2020,1.2,0.0, ,13.8,-0.8,95,54,3.71,7.07
CAMPANIA (KINCORA),10/06/2020,2.0,0.0, ,13.5,5.2,76,50,5.67,4.22
CAMPANIA (KINCORA),11/06/2020,0.9,0.8, ,11.2,7.3,97,56,2.77,4.18
CAMPANIA (KINCORA),12/06/2020,0.3,0.8, ,9.9,-1.8,100,86,0.77,2.87
CAMPANIA (KINCORA),13/06/2020,0.7,4.8, ,13.6,4.5,100,69,2.33,4.46
CAMPANIA (KINCORA),14/06/2020,1.9,0.0, ,15.2,6.4,84,46,5.26,6.00
CAMPANIA (KINCORA),15/06/2020,2.2,4.8, ,17.0,9.6,86,52,6.90,5.24
CAMPANIA (KINCORA),16/06/2020,2.6,0.2, ,16.4,10.2,82,47,7.93,4.69
CAMPANIA (KINCORA),17/06/2020,1.0,4.0, ,11.8,1.8,93,52,3.29,6.87
CAMPANIA (KINCORA),18/06/2020,0.5,0.2, ,11.5,-1.6,95,59,1.36,6.33
CAMPANIA (KINCORA),19/06/2020,0.4,0.0, ,11.5,0.8,100,76,1.14,5.19
CAMPANIA (KINCORA),20/06/2020,0.3,0.0, ,13.8,2.3,100,83,1.48,6.03
CAMPANIA (KINCORA),21/06/2020,0.4,1.2, ,12.2,4.6,100,79,1.05,3.27
CAMPANIA (KINCORA),22/06/2020,0.4,22.8, ,12.6,7.5,100,95,5.31,2.03
CAMPANIA (KINCORA),23/06/2020,0.3,44.2, ,12.2,11.0,100,97,6.29,3.10
CAMPANIA (KINCORA),24/06/2020,0.3,10.8, ,12.4,10.6,100,96,3.20,3.93
CAMPANIA (KINCORA),25/06/2020,0.8,2.0, ,16.0,7.4,100,69,2.77,5.53
CAMPANIA (KINCORA),26/06/2020,1.0,1.6, ,11.1,4.5,93,56,3.90,6.43
CAMPANIA (KINCORA),27/06/2020,0.8,0.2, ,13.0,1.0,97,62,2.85,6.46
CAMPANIA (KINCORA),28/06/2020,0.8,0.2, ,12.2,1.2,99,63,3.26,7.11
CAMPANIA (KINCORA),29/06/2020,0.6,0.0, ,13.0,2.0,99,70,2.57,6.81
CAMPANIA (KINCORA),30/06/2020,1.0,0.2, ,13.6,1.5,100,56,3.04,6.37
Totals:,,30.8,100.6, ,,,,,, 
