'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/07/2020,0.9,0.0, ,14.3,0.9,99,63,3.00,6.86
CAMPANIA (KINCORA),02/07/2020,1.4,6.4, ,13.4,4.1,93,54,4.82,4.94
CAMPANIA (KINCORA),03/07/2020,1.2,0.0, ,9.8,6.1,79,63,4.33,4.49
CAMPANIA (KINCORA),04/07/2020,1.7,0.2, ,13.6,5.8,76,59,5.21,3.93
CAMPANIA (KINCORA),05/07/2020,1.5,0.0, ,14.8,7.8,75,60,4.50,6.38
CAMPANIA (KINCORA),06/07/2020,1.3,0.0, ,13.3,5.2,94,59,4.74,4.78
CAMPANIA (KINCORA),07/07/2020,0.9,3.0, ,9.6,1.2,93,57,2.71,4.82
CAMPANIA (KINCORA),08/07/2020,0.7,0.0, ,11.4,-1.7,95,59,2.30,6.86
CAMPANIA (KINCORA),09/07/2020,0.6,0.2, ,12.3,-0.2,98,59,1.87,7.45
CAMPANIA (KINCORA),10/07/2020,0.5,0.2, ,9.8,-0.1,99,81,1.94,4.12
CAMPANIA (KINCORA),11/07/2020,0.6,0.0, ,10.5,1.2,99,71,2.64,5.57
CAMPANIA (KINCORA),12/07/2020,0.5,0.2, ,10.5,3.7,99,72,1.60,4.59
CAMPANIA (KINCORA),13/07/2020,0.7,0.2, ,12.2,0.2,99,58,2.03,6.89
CAMPANIA (KINCORA),14/07/2020,0.5,0.0, ,10.4,1.3,97,67,1.05,4.57
CAMPANIA (KINCORA),15/07/2020,0.5,0.0, ,11.1,5.9,99,67,0.97,4.85
CAMPANIA (KINCORA),16/07/2020,0.6,0.0, ,11.3,5.6,98,68,1.51,5.85
CAMPANIA (KINCORA),17/07/2020,0.9,0.2, ,12.9,0.6,97,56,2.69,8.05
CAMPANIA (KINCORA),18/07/2020,0.9,0.0, ,11.2,0.9,95,69,3.81,4.51
CAMPANIA (KINCORA),19/07/2020,1.7,0.2, ,16.0,5.1,86,49,4.13,7.21
CAMPANIA (KINCORA),20/07/2020,1.9,2.0, ,11.1,6.8,74,53,6.24,7.44
CAMPANIA (KINCORA),21/07/2020,1.5,0.2, ,14.3,4.4,86,53,3.98,7.65
CAMPANIA (KINCORA),22/07/2020,1.4,0.0, ,12.3,3.4,81,54,4.04,7.09
CAMPANIA (KINCORA),23/07/2020,1.3,0.0, ,13.3,2.9,90,52,3.18,7.38
CAMPANIA (KINCORA),24/07/2020,1.0,0.0, ,12.2,-0.4,95,58,2.82,8.38
CAMPANIA (KINCORA),25/07/2020,1.1,0.0, ,13.8,2.1,92,55,2.30,7.64
CAMPANIA (KINCORA),26/07/2020,1.4,0.0, ,14.6,0.9,95,48,3.03,8.81
CAMPANIA (KINCORA),27/07/2020,0.9,0.2, ,12.0,4.1,95,67,2.54,6.94
CAMPANIA (KINCORA),28/07/2020,0.7,0.2, ,11.7,5.4,100,70,1.40,6.45
CAMPANIA (KINCORA),29/07/2020,1.6,0.2, ,15.4,3.6,96,47,3.75,8.40
CAMPANIA (KINCORA),30/07/2020,1.5,0.0, ,13.8,4.7,89,47,3.46,9.13
CAMPANIA (KINCORA),31/07/2020,1.5,0.0, ,15.7,2.3,91,55,3.43,8.35
Totals:,,33.4,13.6, ,,,,,, 
