'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for August 2020,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/08/2020,2.2,0.0, ,17.4,7.6,85,56,6.38,8.04
CAMPANIA (KINCORA),02/08/2020,2.5,0.0, ,14.5,8.2,69,44,5.59,9.29
CAMPANIA (KINCORA),03/08/2020,1.9,0.0, ,11.3,6.6,83,42,5.14,9.50
CAMPANIA (KINCORA),04/08/2020,1.1,0.0, ,8.4,-1.0,98,58,4.03,3.16
CAMPANIA (KINCORA),05/08/2020,1.4,42.0, ,9.3,0.8,92,64,8.83,6.25
CAMPANIA (KINCORA),06/08/2020,1.3,0.4, ,11.1,5.7,95,59,3.96,7.59
CAMPANIA (KINCORA),07/08/2020,0.9,0.2, ,10.7,-1.2,98,64,2.49,9.24
CAMPANIA (KINCORA),08/08/2020,1.1,0.0, ,13.0,3.9,98,55,1.83,10.10
CAMPANIA (KINCORA),09/08/2020,1.0,0.2, ,11.2,-1.0,98,64,2.76,10.42
CAMPANIA (KINCORA),10/08/2020,1.3,0.0, ,13.3,-1.2,100,50,2.49,10.51
CAMPANIA (KINCORA),11/08/2020,1.3,0.2, ,12.7,-0.9,97,51,2.34,9.73
CAMPANIA (KINCORA),12/08/2020,1.2,0.0, ,12.8,2.6,100,57,2.56,6.00
CAMPANIA (KINCORA),13/08/2020,1.0,0.8, ,14.2,1.3,100,71,2.00,10.42
CAMPANIA (KINCORA),14/08/2020,0.8,0.4, ,15.1,5.8,100,76,0.63,5.89
CAMPANIA (KINCORA),15/08/2020,0.7,1.4, ,13.4,6.3,100,85,2.27,3.99
CAMPANIA (KINCORA),16/08/2020,0.7,12.6, ,13.5,9.3,100,88,4.11,4.98
CAMPANIA (KINCORA),17/08/2020,1.4,4.4, ,17.0,8.4,100,64,2.42,9.45
CAMPANIA (KINCORA),18/08/2020,1.2,0.6, ,14.5,5.5,100,55,1.94,6.94
CAMPANIA (KINCORA),19/08/2020,1.5,0.0, ,13.9,2.9,96,52,2.50,10.59
CAMPANIA (KINCORA),20/08/2020,1.9,0.0, ,13.5,4.4,89,52,4.21,10.52
CAMPANIA (KINCORA),21/08/2020,1.4,0.2, ,11.5,2.1,96,58,3.92,8.85
CAMPANIA (KINCORA),22/08/2020,1.2,1.4, ,11.2,-1.0,97,66,3.86,7.41
CAMPANIA (KINCORA),23/08/2020,1.2,16.4, ,12.0,4.3,96,67,4.00,5.99
CAMPANIA (KINCORA),24/08/2020,1.4,3.0, ,11.7,2.9,96,58,3.04,8.16
CAMPANIA (KINCORA),25/08/2020,1.8,1.0, ,12.8,0.1,94,51,3.96,10.99
CAMPANIA (KINCORA),26/08/2020,1.6,0.0, ,13.3,6.8,85,55,3.08,7.83
CAMPANIA (KINCORA),27/08/2020,3.0,0.0, ,16.8,5.8,83,45,7.10,8.55
CAMPANIA (KINCORA),28/08/2020,3.5,3.8, ,16.2,6.4,69,35,6.63,12.98
CAMPANIA (KINCORA),29/08/2020,2.9,0.0, ,18.2,10.2,80,46,5.05,12.03
CAMPANIA (KINCORA),30/08/2020,4.2,0.0, ,21.1,7.7,86,37,8.25,12.98
CAMPANIA (KINCORA),31/08/2020,1.9,0.2, ,11.9,5.7,90,51,4.28,10.68
Totals:,,50.5,89.2, ,,,,,, 
