'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for September 2020,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/09/2020,1.9,0.0, ,13.3,-0.5,93,50,3.21,12.88
CAMPANIA (KINCORA),02/09/2020,2.7,0.0, ,18.2,2.3,92,41,4.45,8.76
CAMPANIA (KINCORA),03/09/2020,2.8,0.0, ,16.8,6.5,82,47,6.25,6.31
CAMPANIA (KINCORA),04/09/2020,3.0,0.2, ,16.5,7.8,83,39,5.35,12.91
CAMPANIA (KINCORA),05/09/2020,2.8,0.0, ,16.3,7.8,77,46,4.56,12.77
CAMPANIA (KINCORA),06/09/2020,2.5,0.0, ,17.3,2.8,92,49,4.08,13.81
CAMPANIA (KINCORA),07/09/2020,3.8,0.0, ,20.6,8.6,76,46,7.24,12.00
CAMPANIA (KINCORA),08/09/2020,3.6,0.0, ,20.6,12.9,84,43,6.82,7.60
CAMPANIA (KINCORA),09/09/2020,2.1,2.2, ,15.0,3.6,89,49,3.08,13.09
CAMPANIA (KINCORA),10/09/2020,2.4,0.0, ,16.7,3.2,95,47,3.20,15.72
CAMPANIA (KINCORA),11/09/2020,2.4,0.0, ,19.4,5.0,98,53,4.88,7.14
CAMPANIA (KINCORA),12/09/2020,1.8,3.4, ,13.6,6.6,100,51,2.15,12.04
CAMPANIA (KINCORA),13/09/2020,3.1,0.0, ,16.6,1.8,99,41,6.53,14.80
CAMPANIA (KINCORA),14/09/2020,2.9,1.0, ,13.6,6.6,81,49,6.95,15.35
CAMPANIA (KINCORA),15/09/2020,3.6,0.0, ,16.9,9.5,62,46,6.26,13.77
CAMPANIA (KINCORA),16/09/2020,3.3,0.0, ,18.2,6.4,85,40,5.09,13.40
CAMPANIA (KINCORA),17/09/2020,2.3,2.8, ,12.0,6.1,94,48,4.49,14.53
CAMPANIA (KINCORA),18/09/2020,2.3,0.2, ,15.2,-1.0,96,46,2.62,17.38
CAMPANIA (KINCORA),19/09/2020,2.8,0.0, ,19.4,0.6,98,56,4.60,16.19
CAMPANIA (KINCORA),20/09/2020,2.6,0.0, ,21.7,10.8,88,60,4.13,10.58
CAMPANIA (KINCORA),21/09/2020,3.6,0.6, ,20.2,12.8,89,36,4.74,13.45
CAMPANIA (KINCORA),22/09/2020,3.2,1.0, ,18.6,7.2,87,46,5.34,12.83
CAMPANIA (KINCORA),23/09/2020,2.5,0.8, ,15.8,7.9,90,52,4.45,12.41
CAMPANIA (KINCORA),24/09/2020,2.3,2.4, ,14.8,3.8,97,40,2.09,15.29
CAMPANIA (KINCORA),25/09/2020,1.3,0.6, ,12.0,1.1,100,69,1.59,8.29
CAMPANIA (KINCORA),26/09/2020,2.4,9.6, ,12.9,4.8,98,52,5.34,15.69
CAMPANIA (KINCORA),27/09/2020,3.0,2.6, ,12.8,5.0,71,49,6.34,15.83
CAMPANIA (KINCORA),28/09/2020,2.9,0.0, ,16.6,7.9,88,48,4.04,16.42
CAMPANIA (KINCORA),29/09/2020,2.9,0.0, ,17.5,3.1,96,48,3.08,19.66
CAMPANIA (KINCORA),30/09/2020,2.7,0.0, ,17.6,9.9,83,57,5.85,9.07
Totals:,,81.5,27.4, ,,,,,, 
