'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for October 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/10/2020,3.7,0.6, ,18.0,8.5,75,38,4.85,15.39
CAMPANIA (KINCORA),02/10/2020,5.0,0.0, ,20.1,9.2,72,40,8.59,19.85
CAMPANIA (KINCORA),03/10/2020,2.1,1.8, ,20.3,11.5,91,61,3.32,6.87
CAMPANIA (KINCORA),04/10/2020,0.8,14.8, ,11.3,9.9,100,90,2.91,3.33
CAMPANIA (KINCORA),05/10/2020,1.3,29.8, ,10.8,6.0,98,70,2.57,6.97
CAMPANIA (KINCORA),06/10/2020,2.9,2.6, ,15.5,0.6,94,49,3.25,20.96
CAMPANIA (KINCORA),07/10/2020,2.6,0.2, ,16.3,2.2,97,61,3.12,20.12
CAMPANIA (KINCORA),08/10/2020,1.2,0.8, ,13.6,8.9,97,73,3.38,4.00
CAMPANIA (KINCORA),09/10/2020,1.9,9.4, ,16.4,8.1,100,66,1.44,11.34
CAMPANIA (KINCORA),10/10/2020,2.5,10.6, ,16.2,11.3,96,54,4.55,11.05
CAMPANIA (KINCORA),11/10/2020,3.2,0.2, ,17.1,7.6,96,48,3.84,19.80
CAMPANIA (KINCORA),12/10/2020,3.0,0.0, ,19.0,4.0,98,51,3.10,18.42
CAMPANIA (KINCORA),13/10/2020,3.2,0.2, ,14.2,7.3,94,48,4.62,22.43
CAMPANIA (KINCORA),14/10/2020,3.5,0.0, ,17.7,1.1,98,44,4.39,22.09
CAMPANIA (KINCORA),15/10/2020,3.6,0.0, ,21.1,10.4,86,53,6.50,12.25
CAMPANIA (KINCORA),16/10/2020,2.8,1.0, ,13.2,4.1,86,45,3.13,17.96
CAMPANIA (KINCORA),17/10/2020,1.0,0.0, ,10.3,1.4,97,78,1.39,5.09
CAMPANIA (KINCORA),18/10/2020,2.8,20.6, ,16.6,4.6,98,53,3.09,17.66
CAMPANIA (KINCORA),19/10/2020,3.1,0.2, ,16.8,8.5,94,51,3.21,18.73
CAMPANIA (KINCORA),20/10/2020,3.5,0.0, ,19.3,4.6,96,51,3.09,22.59
CAMPANIA (KINCORA),21/10/2020,3.2,0.0, ,18.5,10.7,94,46,2.41,18.61
CAMPANIA (KINCORA),22/10/2020,2.8,0.0, ,18.0,10.0,98,52,2.06,16.50
CAMPANIA (KINCORA),23/10/2020,2.4,0.0, ,18.6,8.0,93,56,2.09,12.07
CAMPANIA (KINCORA),24/10/2020,3.9,0.0, ,16.2,10.8,92,34,4.66,20.73
CAMPANIA (KINCORA),25/10/2020,3.0,1.4, ,13.1,2.8,82,41,4.10,17.49
CAMPANIA (KINCORA),26/10/2020,2.9,0.0, ,14.7,5.6,89,52,3.12,18.21
CAMPANIA (KINCORA),27/10/2020,1.9,0.0, ,13.6,8.8,96,61,3.12,9.63
CAMPANIA (KINCORA),28/10/2020,2.2,0.0, ,15.3,7.9,99,65,2.38,13.62
CAMPANIA (KINCORA),29/10/2020,3.8,0.0, ,19.7,7.5,94,48,2.24,24.44
CAMPANIA (KINCORA),30/10/2020,3.4,0.2, ,18.3,10.9,94,59,2.71,21.86
CAMPANIA (KINCORA),31/10/2020,4.5,0.0, ,21.6,3.9,97,39,3.46,26.47
Totals:,,87.7,94.4, ,,,,,, 
