'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for November 2020,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/11/2020,2.6,0.0, ,17.5,11.1,90,65,2.43,14.85
CAMPANIA (KINCORA),02/11/2020,4.4,0.0, ,24.8,9.6,95,44,3.33,21.42
CAMPANIA (KINCORA),03/11/2020,6.3,0.0, ,26.6,14.8,75,39,7.11,20.33
CAMPANIA (KINCORA),04/11/2020,5.8,0.0, ,23.1,17.6,64,45,6.73,20.92
CAMPANIA (KINCORA),05/11/2020,4.3,0.0, ,17.3,6.5,73,48,5.18,25.20
CAMPANIA (KINCORA),06/11/2020,2.9,0.0, ,16.9,9.5,92,49,4.47,12.30
CAMPANIA (KINCORA),07/11/2020,2.6,0.0, ,15.3,5.8,94,49,3.78,12.56
CAMPANIA (KINCORA),08/11/2020,3.8,0.0, ,18.4,1.2,100,53,3.07,27.97
CAMPANIA (KINCORA),09/11/2020,5.1,0.0, ,24.0,3.9,100,44,4.37,27.98
CAMPANIA (KINCORA),10/11/2020,6.0,0.0, ,28.5,8.6,95,35,3.65,28.11
CAMPANIA (KINCORA),11/11/2020,6.9,0.0, ,30.8,12.2,100,29,4.96,25.74
CAMPANIA (KINCORA),12/11/2020,6.1,0.4, ,26.8,16.5,98,37,6.94,23.42
CAMPANIA (KINCORA),13/11/2020,4.0,0.2, ,23.5,12.4,98,47,4.24,16.41
CAMPANIA (KINCORA),14/11/2020,3.6,5.0, ,20.3,8.9,100,50,3.86,18.65
CAMPANIA (KINCORA),15/11/2020,2.3,0.0, ,17.4,6.4,100,43,2.10,9.82
CAMPANIA (KINCORA),16/11/2020,4.2,6.6, ,21.6,9.8,100,42,6.07,16.53
CAMPANIA (KINCORA),17/11/2020,5.2,1.6, ,19.6,10.1,78,38,5.48,26.34
CAMPANIA (KINCORA),18/11/2020,5.2,0.0, ,25.6,6.3,97,39,3.49,26.11
CAMPANIA (KINCORA),19/11/2020,2.4,0.0, ,20.7,12.3,99,60,3.24,8.91
CAMPANIA (KINCORA),20/11/2020,4.3,0.0, ,21.7,6.9,100,57,4.66,26.93
CAMPANIA (KINCORA),21/11/2020,4.4,0.0, ,22.4,3.5,100,53,2.98,28.29
CAMPANIA (KINCORA),22/11/2020,3.8,0.0, ,23.1,13.1,94,47,3.29,16.77
CAMPANIA (KINCORA),23/11/2020,3.5,0.0, ,19.4,10.0,99,66,2.77,22.47
CAMPANIA (KINCORA),24/11/2020,3.5,0.0, ,21.9,10.5,96,45,2.59,16.21
CAMPANIA (KINCORA),25/11/2020,8.4,0.0, ,30.6,12.8,80,24,7.07,25.37
CAMPANIA (KINCORA),26/11/2020,5.6,0.0, ,21.9,12.6,100,36,5.75,29.39
CAMPANIA (KINCORA),27/11/2020,6.4,0.0, ,25.9,6.9,100,34,6.37,28.64
CAMPANIA (KINCORA),28/11/2020,5.2,0.0, ,24.6,10.9,98,33,3.93,23.05
CAMPANIA (KINCORA),29/11/2020,3.6,3.0, ,20.8,12.4,96,44,4.76,12.62
CAMPANIA (KINCORA),30/11/2020,5.8,0.2, ,25.5,5.1,98,35,4.41,27.69
Totals:,,138.2,17, ,,,,,, 
