'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for December 2020,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/12/2020,5.9,0.0, ,27.1,15.4,82,38,8.32,11.49
CAMPANIA (KINCORA),02/12/2020,5.2,2.2, ,18.7,6.8,92,35,8.08,28.32
CAMPANIA (KINCORA),03/12/2020,3.8,0.0, ,20.3,5.0,93,45,4.46,16.73
CAMPANIA (KINCORA),04/12/2020,5.0,0.0, ,19.9,10.0,81,39,6.45,22.99
CAMPANIA (KINCORA),05/12/2020,3.5,0.0, ,20.5,7.8,97,38,4.79,9.37
CAMPANIA (KINCORA),06/12/2020,4.9,2.8, ,17.5,11.9,83,39,7.44,24.24
CAMPANIA (KINCORA),07/12/2020,4.9,0.6, ,18.1,8.3,74,42,6.76,24.90
CAMPANIA (KINCORA),08/12/2020,3.6,0.0, ,18.1,3.4,90,44,5.39,15.54
CAMPANIA (KINCORA),09/12/2020,5.3,0.0, ,24.4,10.8,93,37,4.98,21.84
CAMPANIA (KINCORA),10/12/2020,4.1,3.0, ,17.3,7.8,100,46,4.97,25.77
CAMPANIA (KINCORA),11/12/2020,4.4,0.0, ,20.4,3.7,100,46,3.56,26.79
CAMPANIA (KINCORA),12/12/2020,5.5,0.0, ,25.5,7.9,98,45,2.77,31.13
CAMPANIA (KINCORA),13/12/2020,7.5,0.0, ,28.1,8.3,100,19,5.17,30.13
CAMPANIA (KINCORA),14/12/2020,8.5,0.0, ,33.1,10.0,88,37,6.76,30.77
CAMPANIA (KINCORA),15/12/2020,7.0,0.0, ,31.6,20.0,100,37,6.67,22.61
CAMPANIA (KINCORA),16/12/2020,2.4,0.0, ,16.7,12.3,94,52,3.94,7.64
CAMPANIA (KINCORA),17/12/2020,1.6,9.0, ,17.3,10.7,100,84,1.72,8.30
CAMPANIA (KINCORA),18/12/2020,4.1,7.4, ,20.6,11.5,100,42,4.18,19.46
CAMPANIA (KINCORA),19/12/2020,4.0,0.0, ,18.1,9.9,94,45,4.23,22.09
CAMPANIA (KINCORA),20/12/2020,3.0,0.2, ,18.2,10.2,98,52,2.76,14.95
CAMPANIA (KINCORA),21/12/2020,3.9,0.0, ,21.0,5.1,100,50,3.31,21.97
CAMPANIA (KINCORA),22/12/2020,1.5,0.4, ,17.6,13.2,100,83,2.29,7.13
CAMPANIA (KINCORA),23/12/2020,4.4,11.4, ,22.3,13.5,100,50,4.73,22.10
CAMPANIA (KINCORA),24/12/2020,4.0,0.0, ,19.2,9.5,74,49,4.97,16.46
CAMPANIA (KINCORA),25/12/2020,4.5,1.0, ,18.9,6.1,95,47,3.55,28.89
CAMPANIA (KINCORA),26/12/2020,5.2,0.2, ,23.7,5.9,98,38,4.51,25.34
CAMPANIA (KINCORA),27/12/2020,5.0,0.0, ,25.7,14.2,92,42,7.27,13.45
CAMPANIA (KINCORA),28/12/2020,4.7,4.2, ,20.1,4.3,100,33,3.86,26.45
CAMPANIA (KINCORA),29/12/2020,4.6,0.0, ,23.9,7.4,96,44,4.37,20.93
CAMPANIA (KINCORA),30/12/2020, ,0.0, , ,7.7,98,41,4.07,25.05
CAMPANIA (KINCORA),31/12/2020, , , ,15.8, ,100,70,3.31,5.63
Totals:,,132,42.4, ,,,,,, 
