'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for January 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/01/2021,3.7,0.0, ,19.8,12.3,94,59,3.33,20.62
CAMPANIA (KINCORA),02/01/2021,4.8,0.0, ,25.6,9.4,96,44,2.85,24.22
CAMPANIA (KINCORA),03/01/2021,3.4,0.0, ,22.3,9.8,95,48,2.65,14.85
CAMPANIA (KINCORA),04/01/2021,3.4,0.0, ,22.4,13.8,94,50,2.40,15.13
CAMPANIA (KINCORA),05/01/2021,3.9,0.2, ,23.8,7.3,98,40,2.34,18.08
CAMPANIA (KINCORA),06/01/2021,3.4,1.2, ,20.9,12.7,95,50,3.78,14.72
CAMPANIA (KINCORA),07/01/2021,5.1,0.0, ,21.7,5.1,97,44,3.58,31.50
CAMPANIA (KINCORA),08/01/2021,5.7,0.0, ,25.0,7.9,97,42,3.76,31.04
CAMPANIA (KINCORA),09/01/2021,6.6,0.0, ,28.7,15.1,88,26,3.32,28.94
CAMPANIA (KINCORA),10/01/2021,5.4,0.0, ,26.5,11.5,100,44,3.64,27.03
CAMPANIA (KINCORA),11/01/2021,8.9,0.0, ,35.6,11.6,100,20,5.63,24.70
CAMPANIA (KINCORA),12/01/2021,4.3,6.8, ,21.6,16.4,100,54,4.54,22.56
CAMPANIA (KINCORA),13/01/2021,5.9,0.0, ,28.3,9.0,100,40,3.93,27.72
CAMPANIA (KINCORA),14/01/2021,4.5,3.2, ,24.4,14.1,100,47,4.29,20.59
CAMPANIA (KINCORA),15/01/2021,1.6,0.0, ,15.6,5.9,100,68,2.33,7.00
CAMPANIA (KINCORA),16/01/2021,3.9,3.2, ,18.8,10.7,82,53,6.20,17.60
CAMPANIA (KINCORA),17/01/2021,4.4,0.6, ,18.9,9.6,71,53,7.51,19.78
CAMPANIA (KINCORA),18/01/2021,5.6,0.0, ,21.3,12.9,72,39,8.50,18.56
CAMPANIA (KINCORA),19/01/2021,5.1,0.0, ,19.0,9.6,75,33,5.69,23.62
CAMPANIA (KINCORA),20/01/2021,5.4,0.0, ,22.7,2.5,100,27,3.42,30.08
CAMPANIA (KINCORA),21/01/2021,5.1,0.0, ,26.2,4.3,100,33,3.03,23.97
CAMPANIA (KINCORA),22/01/2021,4.8,0.0, ,23.4,10.9,95,34,5.15,17.51
CAMPANIA (KINCORA),23/01/2021,6.3,0.0, ,30.2,12.5,90,35,4.18,24.47
CAMPANIA (KINCORA),24/01/2021,6.7,0.0, ,32.5,10.5,98,22,2.91,27.21
CAMPANIA (KINCORA),25/01/2021,6.2,0.0, ,35.7,16.8,89,27,4.57,10.21
CAMPANIA (KINCORA),26/01/2021,5.5,6.2, ,23.8,15.6,100,33,5.69,23.84
CAMPANIA (KINCORA),27/01/2021,2.9,0.0, ,18.0,11.0,100,63,4.41,16.72
CAMPANIA (KINCORA),28/01/2021,3.2,0.0, ,18.8,9.9,100,63,3.80,19.92
CAMPANIA (KINCORA),29/01/2021,3.3,0.0, ,20.0,13.2,100,33,4.56,8.92
CAMPANIA (KINCORA),30/01/2021,4.6,3.8, ,25.9,15.0,100,33,4.16,15.58
CAMPANIA (KINCORA),31/01/2021,3.8,0.0, ,22.5,7.9,100,51,3.12,20.75
Totals:,,147.4,25.2, ,,,,,, 
