'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for February 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 March 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/02/2021,3.9,0.0, ,26.2,10.9,100,56,4.08,17.18
CAMPANIA (KINCORA),02/02/2021,4.6,0.0, ,21.4,7.3,94,42,4.12,25.04
CAMPANIA (KINCORA),03/02/2021,4.0,0.0, ,21.6,11.8,100,44,3.03,21.64
CAMPANIA (KINCORA),04/02/2021,4.4,4.2, ,28.1,13.0,100,51,3.02,19.81
CAMPANIA (KINCORA),05/02/2021,2.4,0.6, ,25.4,14.4,96,71,3.07,8.84
CAMPANIA (KINCORA),06/02/2021,4.9,10.0, ,26.2,17.1,100,45,5.18,20.12
CAMPANIA (KINCORA),07/02/2021,4.4,3.0, ,22.6,12.3,90,40,4.18,18.99
CAMPANIA (KINCORA),08/02/2021,4.3,0.0, ,20.3,9.2,80,37,4.66,17.94
CAMPANIA (KINCORA),09/02/2021,2.3,0.2, ,16.2,8.9,96,50,2.88,9.96
CAMPANIA (KINCORA),10/02/2021,4.6,0.0, ,22.1,7.1,91,39,2.79,26.72
CAMPANIA (KINCORA),11/02/2021,4.5,0.0, ,24.1,8.5,91,38,5.16,14.84
CAMPANIA (KINCORA),12/02/2021,5.5,11.2, ,24.2,16.4,93,39,6.69,23.06
CAMPANIA (KINCORA),13/02/2021,4.1,0.0, ,21.5,12.5,90,44,3.83,19.67
CAMPANIA (KINCORA),14/02/2021,4.9,0.0, ,25.3,6.9,97,40,3.40,25.09
CAMPANIA (KINCORA),15/02/2021,2.5,0.2, ,20.6,13.1,97,59,3.38,9.44
CAMPANIA (KINCORA),16/02/2021,5.1,0.2, ,25.8,10.0,97,33,3.16,24.93
CAMPANIA (KINCORA),17/02/2021,6.0,0.0, ,29.1,10.0,96,34,4.23,25.22
CAMPANIA (KINCORA),18/02/2021,7.4,0.0, ,29.1,15.3,74,31,6.74,24.98
CAMPANIA (KINCORA),19/02/2021,7.3,0.0, ,31.7,12.2,93,35,6.61,24.69
CAMPANIA (KINCORA),20/02/2021,3.5,0.0, ,23.6,16.6,100,54,4.40,15.20
CAMPANIA (KINCORA),21/02/2021,3.4,0.0, ,24.3,14.4,100,57,2.99,17.01
CAMPANIA (KINCORA),22/02/2021,4.2,0.0, ,21.8,8.0,97,37,5.50,16.59
CAMPANIA (KINCORA),23/02/2021,3.9,0.0, ,20.4,4.0,91,37,3.49,20.22
CAMPANIA (KINCORA),24/02/2021,4.1,0.0, ,23.3,4.2,93,36,3.21,19.44
CAMPANIA (KINCORA),25/02/2021,3.4,0.0, ,18.9,11.7,85,48,6.15,10.21
CAMPANIA (KINCORA),26/02/2021,3.2,2.6, ,20.3,10.9,92,57,5.36,14.75
CAMPANIA (KINCORA),27/02/2021,3.3,0.0, ,21.4,8.7,95,46,2.42,17.77
CAMPANIA (KINCORA),28/02/2021,4.2,0.0, ,24.6,9.8,94,42,3.30,20.15
Totals:,,120.3,32.2, ,,,,,, 
