'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for March 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 April 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/03/2021,2.6,1.2, ,21.6,14.5,97,50,4.77,4.41
CAMPANIA (KINCORA),02/03/2021,3.4,5.0, ,16.8,10.3,85,45,5.80,14.42
CAMPANIA (KINCORA),03/03/2021,3.0,0.0, ,20.3,4.5,91,46,4.22,9.78
CAMPANIA (KINCORA),04/03/2021,6.0,0.0, ,22.3,12.1,69,34,8.93,19.86
CAMPANIA (KINCORA),05/03/2021,4.3,0.0, ,17.8,11.3,59,40,6.52,13.09
CAMPANIA (KINCORA),06/03/2021,3.4,0.0, ,19.8,11.7,87,42,3.42,15.49
CAMPANIA (KINCORA),07/03/2021,3.6,0.0, ,23.6,7.1,93,41,3.04,16.18
CAMPANIA (KINCORA),08/03/2021,3.1,0.0, ,23.3,10.3,94,38,2.36,13.44
CAMPANIA (KINCORA),09/03/2021,4.1,0.0, ,21.1,11.0,84,36,4.79,15.87
CAMPANIA (KINCORA),10/03/2021,4.0,0.0, ,23.3,7.0,89,35,3.09,19.60
CAMPANIA (KINCORA),11/03/2021,4.3,0.0, ,25.4,8.7,93,39,3.51,20.00
CAMPANIA (KINCORA),12/03/2021,5.4,0.0, ,30.6,13.8,88,34,4.66,15.92
CAMPANIA (KINCORA),13/03/2021,4.2,0.0, ,24.8,15.2,71,42,6.14,4.76
CAMPANIA (KINCORA),14/03/2021,3.6,0.2, ,19.0,3.7,89,37,4.75,15.72
CAMPANIA (KINCORA),15/03/2021,4.5,0.0, ,23.3,11.2,81,38,5.12,17.95
CAMPANIA (KINCORA),16/03/2021,2.8,0.0, ,20.9,5.8,97,46,1.97,16.99
CAMPANIA (KINCORA),17/03/2021,3.7,0.0, ,23.9,5.1,100,39,3.12,18.31
CAMPANIA (KINCORA),18/03/2021,3.6,0.0, ,24.2,6.5,96,44,4.00,14.27
CAMPANIA (KINCORA),19/03/2021,3.5,0.0, ,24.7,6.8,97,43,3.08,17.16
CAMPANIA (KINCORA),20/03/2021,3.3,0.0, ,23.4,7.7,96,42,3.35,14.78
CAMPANIA (KINCORA),21/03/2021,3.2,0.0, ,23.1,12.0,84,45,3.08,12.94
CAMPANIA (KINCORA),22/03/2021,3.6,0.0, ,26.0,10.2,93,47,3.79,14.02
CAMPANIA (KINCORA),23/03/2021,3.2,0.0, ,25.5,9.8,93,47,3.10,13.22
CAMPANIA (KINCORA),24/03/2021,1.0,1.4, ,17.4,13.9,99,81,4.72,1.09
CAMPANIA (KINCORA),25/03/2021,2.5,30.2, ,21.0,15.1,99,54,5.09,7.08
CAMPANIA (KINCORA),26/03/2021,3.3,1.4, ,22.4,9.7,86,40,3.71,12.89
CAMPANIA (KINCORA),27/03/2021,2.5,3.2, ,19.9,10.6,94,49,3.48,9.71
CAMPANIA (KINCORA),28/03/2021,3.0,1.6, ,20.2,7.7,91,48,5.03,10.99
CAMPANIA (KINCORA),29/03/2021,3.0,0.0, ,17.6,10.7,87,40,4.53,11.61
CAMPANIA (KINCORA),30/03/2021,3.0,0.0, ,21.4,7.3,88,48,3.71,14.16
CAMPANIA (KINCORA),31/03/2021,2.8,0.0, ,23.9,9.4,92,45,2.44,13.29
Totals:,,107.5,44.2, ,,,,,, 
