'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for April 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 May 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/04/2021,4.4,0.0, ,27.2,13.7,88,30,4.93,8.53
CAMPANIA (KINCORA),02/04/2021,2.9,0.0, ,25.0,13.3,85,52,2.79,13.25
CAMPANIA (KINCORA),03/04/2021,7.4,0.0, ,31.9,14.0,79,21,7.23,14.95
CAMPANIA (KINCORA),04/04/2021,2.9,0.0, ,21.4,11.5,85,56,4.08,14.56
CAMPANIA (KINCORA),05/04/2021,2.6,0.0, ,21.7,9.4,100,45,3.03,13.09
CAMPANIA (KINCORA),06/04/2021,2.5,0.0, ,21.8,4.4,100,48,2.59,14.33
CAMPANIA (KINCORA),07/04/2021,2.8,0.0, ,24.6,7.9,100,42,2.56,14.05
CAMPANIA (KINCORA),08/04/2021,3.9,0.0, ,25.2,11.4,93,29,4.42,9.46
CAMPANIA (KINCORA),09/04/2021,2.3,3.2, ,16.1,9.8,82,50,4.11,7.31
CAMPANIA (KINCORA),10/04/2021,2.2,0.0, ,13.7,7.1,81,53,5.75,6.49
CAMPANIA (KINCORA),11/04/2021,1.6,6.0, ,11.3,5.8,85,66,5.36,6.42
CAMPANIA (KINCORA),12/04/2021,1.4,5.4, ,14.7,7.0,94,66,3.28,5.07
CAMPANIA (KINCORA),13/04/2021,2.0,0.4, ,17.5,3.7,100,55,4.03,9.21
CAMPANIA (KINCORA),14/04/2021,3.0,2.2, ,18.7,11.3,84,49,6.63,10.38
CAMPANIA (KINCORA),15/04/2021,2.9,0.2, ,15.5,11.0,78,47,6.59,10.67
CAMPANIA (KINCORA),16/04/2021,2.3,0.4, ,15.6,5.8,78,48,4.29,10.64
CAMPANIA (KINCORA),17/04/2021,2.0,0.0, ,17.8,9.3,90,55,4.12,5.92
CAMPANIA (KINCORA),18/04/2021,2.0,0.0, ,18.4,8.0,90,55,4.10,6.42
CAMPANIA (KINCORA),19/04/2021,3.5,0.0, ,20.8,10.2,73,42,5.68,10.71
CAMPANIA (KINCORA),20/04/2021,1.4,0.8, ,10.3,9.6,95,54,4.07,2.79
CAMPANIA (KINCORA),21/04/2021,2.0,2.0, ,14.1,0.2,97,46,4.66,10.87
CAMPANIA (KINCORA),22/04/2021,2.7,0.0, ,16.7,6.4,75,49,6.21,7.52
CAMPANIA (KINCORA),23/04/2021,2.6,0.0, ,14.8,10.0,68,51,5.85,5.62
CAMPANIA (KINCORA),24/04/2021,2.4,0.0, ,18.2,9.1,79,48,4.39,7.47
CAMPANIA (KINCORA),25/04/2021,1.7,0.0, ,16.4,3.0,95,54,3.76,5.94
CAMPANIA (KINCORA),26/04/2021,2.9,0.0, ,20.0,12.2,75,48,5.06,9.50
CAMPANIA (KINCORA),27/04/2021,1.9,0.0, ,19.2,4.4,93,49,2.91,10.79
CAMPANIA (KINCORA),28/04/2021,1.8,0.0, ,18.1,5.6,95,53,3.41,9.81
CAMPANIA (KINCORA),29/04/2021,2.2,0.0, ,21.6,6.9,94,45,3.20,5.63
CAMPANIA (KINCORA),30/04/2021,1.7,0.0, ,20.8,8.3,100,52,2.36,10.30
Totals:,,77.9,20.6, ,,,,,, 
