'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for May 2021,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 June 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/05/2021,2.6,0.0, ,24.6,5.4,96,42,3.23,10.04
CAMPANIA (KINCORA),02/05/2021,2.2,0.0, ,24.3,8.5,88,48,2.90,8.11
CAMPANIA (KINCORA),03/05/2021,1.3,0.0, ,15.1,7.3,95,64,3.44,2.28
CAMPANIA (KINCORA),04/05/2021,1.6,0.8, ,14.7,1.5,98,49,3.43,9.82
CAMPANIA (KINCORA),05/05/2021,1.6,0.2, ,19.3,2.3,99,56,2.88,8.92
CAMPANIA (KINCORA),06/05/2021,1.5,0.0, ,18.8,4.0,100,53,2.41,9.26
CAMPANIA (KINCORA),07/05/2021,1.9,0.0, ,21.6,4.9,100,57,3.74,6.67
CAMPANIA (KINCORA),08/05/2021,2.6,0.0, ,19.9,12.5,84,47,5.13,7.15
CAMPANIA (KINCORA),09/05/2021,2.5,0.2, ,18.3,1.8,93,42,5.31,7.57
CAMPANIA (KINCORA),10/05/2021,2.1,0.0, ,18.3,10.9,95,53,5.82,3.49
CAMPANIA (KINCORA),11/05/2021,1.2,3.2, ,11.5,1.6,92,50,2.64,6.37
CAMPANIA (KINCORA),12/05/2021,1.2,0.2, ,14.7,3.8,94,60,2.71,6.16
CAMPANIA (KINCORA),13/05/2021,1.9,0.0, ,16.3,6.2,92,49,4.29,2.98
CAMPANIA (KINCORA),14/05/2021,1.5,0.6, ,12.2,0.7,91,49,3.73,5.99
CAMPANIA (KINCORA),15/05/2021,1.3,0.0, ,12.4,-0.9,95,51,3.62,8.01
CAMPANIA (KINCORA),16/05/2021,2.2,0.0, ,15.1,5.7,80,41,4.63,5.22
CAMPANIA (KINCORA),17/05/2021,2.0,1.6, ,13.6,4.3,76,50,5.17,7.17
CAMPANIA (KINCORA),18/05/2021,2.0,0.2, ,18.0,7.3,73,50,3.93,8.30
CAMPANIA (KINCORA),19/05/2021,2.3,0.0, ,16.7,9.9,74,52,5.47,3.86
CAMPANIA (KINCORA),20/05/2021,2.9,0.0, ,15.5,12.5,70,39,6.49,7.68
CAMPANIA (KINCORA),21/05/2021,1.9,0.0, ,16.7,5.2,90,37,3.77,7.92
CAMPANIA (KINCORA),22/05/2021,1.9,0.0, ,17.8,0.9,94,53,4.89,7.96
CAMPANIA (KINCORA),23/05/2021,1.0,0.0, ,17.8,3.6,96,54,1.94,7.61
CAMPANIA (KINCORA),24/05/2021,1.5,0.0, ,17.9,3.3,97,58,4.01,5.50
CAMPANIA (KINCORA),25/05/2021,2.4,0.0, ,18.6,7.8,91,45,5.33,2.67
CAMPANIA (KINCORA),26/05/2021,2.0,0.0, ,15.0,5.8,89,46,5.39,4.18
CAMPANIA (KINCORA),27/05/2021,1.7,1.4, ,12.0,7.6,87,53,6.29,5.70
CAMPANIA (KINCORA),28/05/2021,1.6,0.8, ,11.2,5.1,76,49,4.47,5.38
CAMPANIA (KINCORA),29/05/2021,1.1,0.0, ,11.7,1.9,82,50,2.69,5.84
CAMPANIA (KINCORA),30/05/2021,1.2,0.0, ,13.2,3.7,91,59,3.53,4.75
CAMPANIA (KINCORA),31/05/2021,1.1,0.0, ,14.1,-1.1,95,51,2.82,7.31
Totals:,,55.8,9.2, ,,,,,, 
