'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for June 2021,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 July 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/06/2021,1.5,0.0, ,16.2,2.7,86,53,3.48,4.13
CAMPANIA (KINCORA),02/06/2021,1.7,0.0, ,18.2,6.3,85,36,2.84,5.87
CAMPANIA (KINCORA),03/06/2021,1.6,0.2, ,16.8,4.0,91,52,3.80,4.40
CAMPANIA (KINCORA),04/06/2021,1.7,0.0, ,11.0,8.1,73,43,4.33,6.24
CAMPANIA (KINCORA),05/06/2021,2.2,0.0, ,16.7,1.4,82,49,5.66,3.96
CAMPANIA (KINCORA),06/06/2021,1.3,1.0, ,14.4,0.8,91,55,3.49,5.19
CAMPANIA (KINCORA),07/06/2021,2.5,0.2, ,18.1,6.0,81,43,5.65,5.22
CAMPANIA (KINCORA),08/06/2021,1.1,0.0, ,14.5,8.1,98,58,2.85,2.87
CAMPANIA (KINCORA),09/06/2021,0.6,3.6, ,10.2,6.7,99,86,5.90,2.92
CAMPANIA (KINCORA),10/06/2021,0.8,3.4, ,13.1,8.2,100,79,5.62,3.13
CAMPANIA (KINCORA),11/06/2021,0.2,9.0, ,13.5,9.0,100,100,5.16,2.39
CAMPANIA (KINCORA),12/06/2021,0.5,9.6, ,14.4,12.1,100,88,3.88,3.15
CAMPANIA (KINCORA),13/06/2021,0.4,1.4, ,12.5,11.2,100,91,1.34,2.20
CAMPANIA (KINCORA),14/06/2021,0.4,1.6, ,14.7,10.5,100,72,0.70,4.73
CAMPANIA (KINCORA),15/06/2021,0.3,0.2, ,13.2,8.4,100,82,0.49,4.71
CAMPANIA (KINCORA),16/06/2021,0.4,0.0, ,12.2,3.6,100,85,1.29,4.51
CAMPANIA (KINCORA),17/06/2021,0.3,2.4, ,12.0,5.5,100,97,2.46,2.08
CAMPANIA (KINCORA),18/06/2021,0.5,31.6, ,14.1,9.8,100,76,2.24,5.39
CAMPANIA (KINCORA),19/06/2021,0.5,1.8, ,13.3,8.5,100,68,1.55,5.77
CAMPANIA (KINCORA),20/06/2021,0.6,0.0, ,11.2,4.9,99,68,2.22,5.66
CAMPANIA (KINCORA),21/06/2021, ,0.0, , ,-0.4, , , ,6.84
CAMPANIA (KINCORA),22/06/2021, , , , , , , , ,5.50
CAMPANIA (KINCORA),23/06/2021,0.8, , ,12.5,3.8,98,69,2.81,3.59
CAMPANIA (KINCORA),24/06/2021,1.0,0.0, ,17.0,5.2,95,48,2.02,6.36
CAMPANIA (KINCORA),25/06/2021,0.6,0.0, ,13.7,4.8,98,63,1.96,6.29
CAMPANIA (KINCORA),26/06/2021,1.0,0.0, ,12.1,4.0,98,55,3.59,7.05
CAMPANIA (KINCORA),27/06/2021,1.1,1.0, ,13.5,6.1,96,54,3.65,6.46
CAMPANIA (KINCORA),28/06/2021,0.8,0.0, ,14.1,1.5,98,57,2.24,7.12
CAMPANIA (KINCORA),29/06/2021,0.7,0.2, ,12.4,-0.2,99,60,2.66,7.14
CAMPANIA (KINCORA),30/06/2021,1.0,0.2, ,14.4,0.3,98,63,3.92,7.06
Totals:,,26.1,67.4, ,,,,,, 
