'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for July 2021,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 August 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/07/2021,1.6,0.0, ,17.6,3.7,94,48,3.85,6.65
CAMPANIA (KINCORA),02/07/2021,1.3,0.2, ,14.4,8.4,90,64,4.65,3.12
CAMPANIA (KINCORA),03/07/2021,0.9,1.2, ,13.1,4.3,96,60,3.26,6.77
CAMPANIA (KINCORA),04/07/2021,1.2,0.0, ,11.1,1.8,92,58,4.16,4.28
CAMPANIA (KINCORA),05/07/2021,1.1,2.0, ,12.3,3.6,85,54,3.46,6.78
CAMPANIA (KINCORA),06/07/2021,0.8,0.0, ,9.1,3.6,94,59,2.20,3.45
CAMPANIA (KINCORA),07/07/2021,0.8,1.0, ,9.7,-2.6,94,53,2.49,7.15
CAMPANIA (KINCORA),08/07/2021,0.9,0.2, ,10.5,0.5,91,46,2.45,7.44
CAMPANIA (KINCORA),09/07/2021,0.9,0.0, ,10.8,-2.3,95,52,2.60,7.53
CAMPANIA (KINCORA),10/07/2021,0.9,0.0, ,13.2,-1.7,97,56,2.78,7.61
CAMPANIA (KINCORA),11/07/2021,1.1,0.2, ,14.7,-1.3,98,52,2.95,7.67
CAMPANIA (KINCORA),12/07/2021,1.0,0.0, ,13.6,2.8,97,65,3.43,4.61
CAMPANIA (KINCORA),13/07/2021,1.4,0.0, ,15.7,3.9,95,53,4.00,7.14
CAMPANIA (KINCORA),14/07/2021,0.4,0.2, ,10.4,3.9,99,84,1.19,3.83
CAMPANIA (KINCORA),15/07/2021,0.6,1.6, ,13.4,4.0,99,80,1.89,4.53
CAMPANIA (KINCORA),16/07/2021,0.9,0.4, ,14.2,2.8,99,64,2.50,5.73
CAMPANIA (KINCORA),17/07/2021,1.0,0.0, ,14.2,0.8,99,58,2.94,6.24
CAMPANIA (KINCORA),18/07/2021,1.4,0.0, ,13.6,4.2,87,53,3.95,7.11
CAMPANIA (KINCORA),19/07/2021,1.5,0.0, ,14.5,6.1,84,52,3.60,6.32
CAMPANIA (KINCORA),20/07/2021,1.4,0.2, ,9.4,6.3,77,61,4.60,3.09
CAMPANIA (KINCORA),21/07/2021,1.5,0.8, ,14.4,0.1,91,54,4.41,7.90
CAMPANIA (KINCORA),22/07/2021,1.5,0.0, ,14.4,2.5,91,52,4.39,8.10
CAMPANIA (KINCORA),23/07/2021,1.8,0.2, ,15.0,6.1,86,49,4.65,7.87
CAMPANIA (KINCORA),24/07/2021,1.3,0.0, ,13.2,1.0,92,56,3.89,5.63
CAMPANIA (KINCORA),25/07/2021,1.2,1.0, ,8.0,1.9,91,59,5.96,7.95
CAMPANIA (KINCORA),26/07/2021,1.9,0.4, ,15.2,3.0,82,55,5.85,8.30
CAMPANIA (KINCORA),27/07/2021,2.5,0.2, ,17.1,7.9,83,44,6.07,7.09
CAMPANIA (KINCORA),28/07/2021,2.5,0.2, ,16.3,10.8,82,49,6.94,5.80
CAMPANIA (KINCORA),29/07/2021,1.8,2.6, ,12.7,4.2,86,46,4.66,7.40
CAMPANIA (KINCORA),30/07/2021,2.2,0.0, ,15.6,3.7,84,49,5.60,6.62
CAMPANIA (KINCORA),31/07/2021,2.4,0.0, ,16.8,9.3,84,54,7.09,6.30
Totals:,,41.7,12.6, ,,,,,, 
