'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for August 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 September 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/08/2021,1.4,0.2, ,11.9,7.3,90,55,4.29,7.40
CAMPANIA (KINCORA),02/08/2021,1.5,0.6, ,13.5,-2.5,93,54,4.00,9.19
CAMPANIA (KINCORA),03/08/2021,1.1,0.0, ,14.4,1.2,96,52,1.96,7.54
CAMPANIA (KINCORA),04/08/2021,1.5,0.0, ,13.6,1.3,96,48,3.44,5.61
CAMPANIA (KINCORA),05/08/2021,2.3,0.0, ,14.9,6.9,67,50,5.13,6.91
CAMPANIA (KINCORA),06/08/2021,3.1,0.0, ,16.3,9.7,65,46,6.96,9.37
CAMPANIA (KINCORA),07/08/2021,1.5,0.2, ,14.1,7.4,90,57,3.72,3.89
CAMPANIA (KINCORA),08/08/2021,1.5,3.0, ,14.0,-1.7,92,44,2.63,10.10
CAMPANIA (KINCORA),09/08/2021,1.7,0.0, ,15.1,2.1,90,52,3.59,9.72
CAMPANIA (KINCORA),10/08/2021,2.6,0.2, ,17.7,2.5,88,45,5.62,10.27
CAMPANIA (KINCORA),11/08/2021,2.5,0.0, ,15.9,11.1,86,50,7.27,5.76
CAMPANIA (KINCORA),12/08/2021,2.5,3.0, ,14.4,7.9,77,47,6.33,9.58
CAMPANIA (KINCORA),13/08/2021,3.1,0.0, ,16.7,8.8,70,46,7.09,8.95
CAMPANIA (KINCORA),14/08/2021,2.2,0.4, ,16.3,2.0,87,48,4.55,8.87
CAMPANIA (KINCORA),15/08/2021,3.1,0.0, ,17.2,10.3,87,42,7.92,8.96
CAMPANIA (KINCORA),16/08/2021,1.7,22.2, ,9.4,4.1,87,58,7.05,10.00
CAMPANIA (KINCORA),17/08/2021,2.0,1.6, ,13.3,5.5,84,47,4.47,10.99
CAMPANIA (KINCORA),18/08/2021,1.7,0.2, ,14.5,2.7,90,52,3.52,7.20
CAMPANIA (KINCORA),19/08/2021,1.8,0.0, ,16.5,2.4,94,47,2.69,11.49
CAMPANIA (KINCORA),20/08/2021,1.9,0.0, ,15.0,3.1,96,58,5.87,6.85
CAMPANIA (KINCORA),21/08/2021,2.7,0.2, ,16.8,4.8,86,42,5.54,10.81
CAMPANIA (KINCORA),22/08/2021,2.8,0.0, ,18.9,5.8,85,43,5.22,6.56
CAMPANIA (KINCORA),23/08/2021,1.5,8.8, ,12.6,8.3,91,57,3.87,4.80
CAMPANIA (KINCORA),24/08/2021,1.8,3.4, ,12.8,-0.8,94,52,4.36,12.40
CAMPANIA (KINCORA),25/08/2021,1.8,0.0, ,11.1,5.3,79,56,4.54,8.69
CAMPANIA (KINCORA),26/08/2021,1.1,0.2, ,10.2,6.0,99,64,2.73,5.17
CAMPANIA (KINCORA),27/08/2021,0.9,1.8, ,10.3,4.6,99,72,1.69,5.68
CAMPANIA (KINCORA),28/08/2021,1.0,1.0, ,11.7,2.8,99,70,1.72,7.59
CAMPANIA (KINCORA),29/08/2021,1.3,0.0, ,13.2,1.9,99,64,3.21,7.27
CAMPANIA (KINCORA),30/08/2021,2.2,0.6, ,16.3,3.6,97,56,5.47,12.46
CAMPANIA (KINCORA),31/08/2021,3.6,0.2, ,18.4,8.8,79,46,8.79,9.47
Totals:,,61.4,47.8, ,,,,,, 
