'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for September 2021,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 October 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/09/2021,3.6,0.6, ,19.6,6.1,74,40,5.97,13.82
CAMPANIA (KINCORA),02/09/2021,4.6,0.0, ,24.0,6.8,88,31,6.34,14.16
CAMPANIA (KINCORA),03/09/2021,1.9,0.0, ,15.4,14.4,97,40,3.99,2.95
CAMPANIA (KINCORA),04/09/2021,1.8,13.4, ,13.6,2.9,98,53,2.89,13.22
CAMPANIA (KINCORA),05/09/2021,2.0,0.4, ,14.0,3.1,99,49,3.28,13.24
CAMPANIA (KINCORA),06/09/2021,2.9,0.2, ,15.0,4.1,74,44,5.35,13.93
CAMPANIA (KINCORA),07/09/2021,3.4,0.0, ,14.7,8.7,66,45,6.93,14.80
CAMPANIA (KINCORA),08/09/2021,3.9,0.0, ,18.9,7.0,67,41,6.53,14.94
CAMPANIA (KINCORA),09/09/2021,4.0,0.0, ,19.2,11.0,86,31,8.09,5.11
CAMPANIA (KINCORA),10/09/2021,2.6,13.8, ,14.1,6.5,72,48,4.98,10.84
CAMPANIA (KINCORA),11/09/2021,3.2,0.2, ,19.5,6.9,84,47,5.65,12.54
CAMPANIA (KINCORA),12/09/2021,2.4,3.6, ,13.1,2.5,89,46,4.36,15.20
CAMPANIA (KINCORA),13/09/2021,1.8,1.8, ,10.9,3.4,94,58,4.24,12.69
CAMPANIA (KINCORA),14/09/2021,1.9,0.2, ,14.0,-1.6,96,45,2.10,14.25
CAMPANIA (KINCORA),15/09/2021,1.7,0.2, ,14.0,5.7,93,49,1.89,9.66
CAMPANIA (KINCORA),16/09/2021,2.4,0.0, ,15.4,-0.6,98,43,2.80,16.93
CAMPANIA (KINCORA),17/09/2021,2.2,0.0, ,14.3,0.9,98,50,4.03,12.84
CAMPANIA (KINCORA),18/09/2021,2.8,0.6, ,15.1,6.1,94,45,6.28,13.74
CAMPANIA (KINCORA),19/09/2021,3.8,0.6, ,17.9,5.1,71,47,7.81,15.32
CAMPANIA (KINCORA),20/09/2021,3.0,1.0, ,12.6,7.2,71,48,6.61,14.03
CAMPANIA (KINCORA),21/09/2021,3.1,0.2, ,18.1,4.7,69,49,4.75,12.32
CAMPANIA (KINCORA),22/09/2021,4.9,0.0, ,22.2,8.9,70,35,6.29,18.06
CAMPANIA (KINCORA),23/09/2021, ,0.0, , ,11.7,65,46,8.17,15.64
CAMPANIA (KINCORA),24/09/2021, , , ,14.2, ,87,46,7.41,9.56
CAMPANIA (KINCORA),25/09/2021,2.5,12.4, ,11.4,1.4,85,46,5.37,15.87
CAMPANIA (KINCORA),26/09/2021,2.7,0.2, ,14.5,-0.5,91,44,3.48,18.63
CAMPANIA (KINCORA),27/09/2021,3.1,0.0, ,16.9,-0.1,94,37,3.31,19.23
CAMPANIA (KINCORA),28/09/2021,2.4,0.0, ,17.7,2.4,96,43,2.40,12.27
CAMPANIA (KINCORA),29/09/2021,2.3,0.2, ,14.8,7.6,96,54,2.98,13.90
CAMPANIA (KINCORA),30/09/2021,1.2,0.0, ,13.0,6.8,97,74,2.54,5.52
Totals:,,78.1,49.6, ,,,,,, 
