'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/10/2021,1.2,3.2, ,16.6,9.9,100,87,4.79,7.30
CAMPANIA (KINCORA),02/10/2021,1.3,2.6, ,15.5,12.5,100,85,4.38,8.06
CAMPANIA (KINCORA),03/10/2021,2.0,4.0, ,16.9,11.0,100,73,3.07,12.97
CAMPANIA (KINCORA),04/10/2021,2.6,0.6, ,19.3,9.0,100,51,3.73,11.90
CAMPANIA (KINCORA),05/10/2021,2.4,0.4, ,17.4,5.6,94,56,3.43,12.68
CAMPANIA (KINCORA),06/10/2021,3.5,0.0, ,18.5,8.9,88,44,4.30,18.66
CAMPANIA (KINCORA),07/10/2021,3.2,2.8, ,14.6,8.2,90,45,5.72,18.93
CAMPANIA (KINCORA),08/10/2021,3.5,0.2, ,20.6,5.2,81,44,4.30,14.64
CAMPANIA (KINCORA),09/10/2021,3.2,0.2, ,17.7,9.0,87,44,4.91,13.40
CAMPANIA (KINCORA),10/10/2021,3.3,3.2, ,14.7,4.7,84,42,4.36,20.63
CAMPANIA (KINCORA),11/10/2021,2.4,0.0, ,14.0,0.2,91,49,3.23,15.16
CAMPANIA (KINCORA),12/10/2021,2.9,0.6, ,15.7,1.7,95,49,2.63,20.69
CAMPANIA (KINCORA),13/10/2021,2.7,0.0, ,17.0,1.8,97,47,3.39,14.72
CAMPANIA (KINCORA),14/10/2021,1.4,0.0, ,14.1,6.6,99,69,3.31,5.25
CAMPANIA (KINCORA),15/10/2021,1.4,4.8, ,16.6,12.0,100,83,3.80,7.39
CAMPANIA (KINCORA),16/10/2021,3.3,3.0, ,15.7,10.4,86,50,7.99,12.85
CAMPANIA (KINCORA),17/10/2021,3.5,0.6, ,18.4,4.9,84,44,3.64,19.37
CAMPANIA (KINCORA),18/10/2021,3.0,0.0, ,17.8,6.2,94,49,3.92,15.06
CAMPANIA (KINCORA),19/10/2021,2.5,6.8, ,12.8,7.2,93,48,3.45,15.16
CAMPANIA (KINCORA),20/10/2021,2.9,0.0, ,16.5,-0.2,97,52,3.41,18.96
CAMPANIA (KINCORA),21/10/2021,4.7,0.0, ,23.7,4.5,98,37,4.55,22.48
CAMPANIA (KINCORA),22/10/2021,2.7,0.0, ,21.9,12.4,91,58,3.71,9.13
CAMPANIA (KINCORA),23/10/2021,1.2,5.8, ,11.7,10.2,99,79,3.58,5.26
CAMPANIA (KINCORA),24/10/2021,2.7,19.4, ,12.7,8.6,92,55,8.11,15.11
CAMPANIA (KINCORA),25/10/2021,1.9,3.0, ,11.5,7.1,89,71,5.92,10.03
CAMPANIA (KINCORA),26/10/2021,3.0,0.2, ,15.9,8.6,94,53,2.67,19.22
CAMPANIA (KINCORA),27/10/2021,4.5,0.0, ,22.4,3.0,98,43,4.14,25.63
CAMPANIA (KINCORA),28/10/2021,3.4,0.0, ,20.1,11.9,97,57,5.68,17.27
CAMPANIA (KINCORA),29/10/2021,1.4,31.6, ,9.9,7.7,99,66,8.29,2.81
CAMPANIA (KINCORA),30/10/2021,3.7,16.4, ,15.0,3.4,80,41,4.41,23.12
CAMPANIA (KINCORA),31/10/2021,3.4,0.2, ,18.2,4.7,86,47,5.31,14.29
Totals:,,84.8,109.6, ,,,,,, 
