'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for November 2021,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 December 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/11/2021,3.9,0.0, ,19.7,11.3,90,44,4.58,18.65
CAMPANIA (KINCORA),02/11/2021,4.9,0.0, ,23.2,6.7,97,42,4.38,26.77
CAMPANIA (KINCORA),03/11/2021,2.8,0.0, ,23.1,11.6,99,54,4.62,7.30
CAMPANIA (KINCORA),04/11/2021,4.3,6.4, ,18.8,7.9,98,35,2.97,27.19
CAMPANIA (KINCORA),05/11/2021,4.1,0.0, ,21.7,4.1,98,58,3.15,27.38
CAMPANIA (KINCORA),06/11/2021,4.1,0.0, ,24.2,9.2,96,54,5.21,18.06
CAMPANIA (KINCORA),07/11/2021,3.6,1.6, ,16.9,9.3,90,47,3.59,20.76
CAMPANIA (KINCORA),08/11/2021,3.9,0.0, ,19.2,6.4,92,41,2.61,22.91
CAMPANIA (KINCORA),09/11/2021,3.0,0.0, ,19.2,5.7,97,52,2.00,17.74
CAMPANIA (KINCORA),10/11/2021,1.9,7.8, ,15.2,8.5,98,75,2.93,10.79
CAMPANIA (KINCORA),11/11/2021,2.3,19.4, ,16.1,7.6,97,67,4.70,12.12
CAMPANIA (KINCORA),12/11/2021,2.4,0.8, ,14.8,6.6,95,58,3.64,12.46
CAMPANIA (KINCORA),13/11/2021,2.5,5.2, ,14.2,7.3,95,60,2.91,15.28
CAMPANIA (KINCORA),14/11/2021,3.3,1.0, ,15.0,2.5,96,51,5.53,21.20
CAMPANIA (KINCORA),15/11/2021,3.0,0.6, ,11.3,3.4,80,55,5.81,21.24
CAMPANIA (KINCORA),16/11/2021,2.9,0.6, ,15.6,5.2,79,52,4.26,13.65
CAMPANIA (KINCORA),17/11/2021,4.0,0.0, ,20.1,5.2,94,45,2.80,24.05
CAMPANIA (KINCORA),18/11/2021,1.7,0.0, ,15.5,6.4,99,58,2.40,6.09
CAMPANIA (KINCORA),19/11/2021,4.1,14.4, ,18.7,7.5,98,44,3.65,24.73
CAMPANIA (KINCORA),20/11/2021,2.8,2.0, ,16.7,9.4,98,62,3.18,16.76
CAMPANIA (KINCORA),21/11/2021,4.1,1.2, ,19.7,6.8,97,43,2.39,25.45
CAMPANIA (KINCORA),22/11/2021,4.4,0.2, ,20.6,9.5,95,57,2.51,28.53
CAMPANIA (KINCORA),23/11/2021,5.1,0.0, ,25.2,8.3,96,43,3.67,25.67
CAMPANIA (KINCORA),24/11/2021,3.4,0.0, ,24.7,13.3,96,57,2.41,15.29
CAMPANIA (KINCORA),25/11/2021,3.5,0.4, ,20.1,10.8,97,51,4.58,15.87
CAMPANIA (KINCORA),26/11/2021,3.8,1.0, ,15.7,3.7,94,51,3.93,28.25
CAMPANIA (KINCORA),27/11/2021, ,0.2, , ,2.5,96,38,2.72,30.72
CAMPANIA (KINCORA),28/11/2021,5.2,0.0, ,23.6,4.8,96,42,3.27,30.85
CAMPANIA (KINCORA),29/11/2021,4.7,0.0, ,21.5,7.2,97,56,3.79,30.95
CAMPANIA (KINCORA),30/11/2021,6.3,0.0, ,25.5,6.5,97,31,4.58,31.08
Totals:,,106,62.8, ,,,,,, 
