'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for December 2021,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 January 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/12/2021,6.5,0.0, ,30.5,11.6,91,33,4.70,22.91
CAMPANIA (KINCORA),02/12/2021,4.3,0.8, ,26.0,12.7,96,59,3.06,21.47
CAMPANIA (KINCORA),03/12/2021,4.9,1.0, ,21.4,6.9,96,37,3.69,27.12
CAMPANIA (KINCORA),04/12/2021,3.8,0.8, ,15.4,10.1,88,39,5.00,19.49
CAMPANIA (KINCORA),05/12/2021,4.6,0.0, ,20.1,1.4,95,38,3.30,28.77
CAMPANIA (KINCORA),06/12/2021,5.4,0.0, ,23.7,6.6,86,45,6.71,24.47
CAMPANIA (KINCORA),07/12/2021,3.1,3.2, ,18.0,12.0,94,44,3.91,11.61
CAMPANIA (KINCORA),08/12/2021,3.8,1.2, ,17.3,2.6,94,44,2.88,24.17
CAMPANIA (KINCORA),09/12/2021,4.2,0.0, ,18.4,5.1,94,42,3.41,26.12
CAMPANIA (KINCORA),10/12/2021,2.1,0.0, ,15.7,11.3,95,63,3.20,8.67
CAMPANIA (KINCORA),11/12/2021,2.2,1.4, ,15.7,7.1,96,54,2.55,9.70
CAMPANIA (KINCORA),12/12/2021,3.7,0.0, ,19.7,5.1,93,45,2.64,20.81
CAMPANIA (KINCORA),13/12/2021,5.3,0.0, ,24.9,4.5,98,37,3.52,26.52
CAMPANIA (KINCORA),14/12/2021,3.9,0.0, ,22.7,10.2,96,58,3.63,20.67
CAMPANIA (KINCORA),15/12/2021,4.7,0.0, ,23.9,10.3,93,37,3.33,21.38
CAMPANIA (KINCORA),16/12/2021,4.7,0.2, ,20.8,9.0,92,35,2.90,26.40
CAMPANIA (KINCORA),17/12/2021,5.6,0.0, ,26.0,6.1,95,44,3.64,30.00
CAMPANIA (KINCORA),18/12/2021,8.5,0.0, ,31.7,15.4,86,26,6.86,26.14
CAMPANIA (KINCORA),19/12/2021,5.9,0.2, ,24.8,11.7,86,31,6.53,18.97
CAMPANIA (KINCORA),20/12/2021,6.5,2.0, ,23.0,8.9,70,40,8.06,29.24
CAMPANIA (KINCORA),21/12/2021,5.9,0.0, ,21.7,13.0,64,36,6.52,22.23
CAMPANIA (KINCORA),22/12/2021,5.5,0.0, ,19.7,11.9,60,33,5.56,21.94
CAMPANIA (KINCORA),23/12/2021,4.9,0.0, ,21.4,4.9,91,31,3.06,26.44
CAMPANIA (KINCORA),24/12/2021,5.5,0.0, ,27.2,8.8,88,33,3.63,22.22
CAMPANIA (KINCORA),25/12/2021,6.7,0.0, ,23.1,14.3,69,32,5.58,30.02
CAMPANIA (KINCORA),26/12/2021,5.3,0.0, ,19.6,11.9,74,32,5.17,24.51
CAMPANIA (KINCORA),27/12/2021,4.6,0.0, ,18.6,7.7,88,38,3.83,26.81
CAMPANIA (KINCORA),28/12/2021,5.3,0.0, ,22.9,4.9,100,40,3.42,31.13
CAMPANIA (KINCORA),29/12/2021,6.4,0.0, ,26.6,6.5,96,20,3.37,30.03
CAMPANIA (KINCORA),30/12/2021,6.2,0.0, ,28.3,10.0,94,21,2.86,27.53
CAMPANIA (KINCORA),31/12/2021,8.2,0.0, ,32.5,8.6,93,18,4.29,30.83
Totals:,,158.2,10.8, ,,,,,, 
