'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for January 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 February 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/01/2022,3.2,0.0, ,25.0,6.8,98,54,2.67,13.44
CAMPANIA (KINCORA),02/01/2022,3.0,0.0, ,21.0,15.2,92,67,3.93,13.56
CAMPANIA (KINCORA),03/01/2022,3.7,3.4, ,21.2,12.8,91,54,3.49,17.57
CAMPANIA (KINCORA),04/01/2022,2.7,0.2, ,21.1,11.8,94,60,2.95,11.36
CAMPANIA (KINCORA),05/01/2022,3.0,0.0, ,19.7,9.7,94,49,3.60,11.40
CAMPANIA (KINCORA),06/01/2022,1.7,0.0, ,19.4,13.8,91,64,3.22,2.27
CAMPANIA (KINCORA),07/01/2022,3.6,10.0, ,27.9,15.4,97,55,3.28,13.07
CAMPANIA (KINCORA),08/01/2022,2.3,27.8, ,17.8,14.6,98,73,4.95,11.10
CAMPANIA (KINCORA),09/01/2022,4.2,0.0, ,24.1,12.2,92,54,2.40,21.72
CAMPANIA (KINCORA),10/01/2022,1.9,0.0, ,17.2,12.1,98,68,3.25,7.47
CAMPANIA (KINCORA),11/01/2022,4.8,0.0, ,21.7,12.7,88,50,3.39,26.56
CAMPANIA (KINCORA),12/01/2022,2.9,0.0, ,20.0,13.8,80,55,2.67,11.64
CAMPANIA (KINCORA),13/01/2022,3.7,0.0, ,22.3,12.5,93,52,2.98,17.45
CAMPANIA (KINCORA),14/01/2022,2.8,0.0, ,22.1,11.6,93,66,3.24,12.15
CAMPANIA (KINCORA),15/01/2022,4.4,0.0, ,28.4,13.3,96,48,3.15,17.77
CAMPANIA (KINCORA),16/01/2022,4.0,0.2, ,24.3,16.0,94,55,2.64,19.12
CAMPANIA (KINCORA),17/01/2022,5.6,0.0, ,26.7,11.6,97,34,4.07,24.21
CAMPANIA (KINCORA),18/01/2022,3.5,0.0, ,19.6,9.1,86,49,4.46,14.60
CAMPANIA (KINCORA),19/01/2022,4.1,0.0, ,20.0,11.5,94,51,3.77,22.79
CAMPANIA (KINCORA),20/01/2022,5.1,0.0, ,24.3,5.9,97,36,2.81,27.57
CAMPANIA (KINCORA),21/01/2022,6.1,0.0, ,27.9,8.6,93,35,3.38,29.61
CAMPANIA (KINCORA),22/01/2022,6.1,0.0, ,29.1,9.6,96,38,3.54,28.91
CAMPANIA (KINCORA),23/01/2022,6.6,0.0, ,30.7,12.8,92,29,3.51,27.65
CAMPANIA (KINCORA),24/01/2022,5.4,0.0, ,26.7,12.6,94,40,3.43,25.35
CAMPANIA (KINCORA),25/01/2022,2.5,0.0, ,21.3,15.1,90,65,3.15,9.11
CAMPANIA (KINCORA),26/01/2022,2.3,0.0, ,20.5,14.2,88,63,2.94,7.26
CAMPANIA (KINCORA),27/01/2022,3.9,0.0, ,27.2,12.1,94,53,4.77,11.83
CAMPANIA (KINCORA),28/01/2022,4.1,0.0, ,31.3,17.8,94,45,3.55,10.76
CAMPANIA (KINCORA),29/01/2022,3.1,6.4, ,21.3,15.3,98,60,3.52,14.30
CAMPANIA (KINCORA),30/01/2022,5.1,0.2, ,26.4,14.9,91,47,2.93,25.45
CAMPANIA (KINCORA),31/01/2022,5.7,0.0, ,29.4,9.8,100,46,3.47,27.42
Totals:,,121.1,48.2, ,,,,,, 
