'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for February 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 March 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/02/2022,6.7,0.0, ,29.5,15.4,97,24,6.27,18.09
CAMPANIA (KINCORA),02/02/2022,4.4,0.0, ,19.8,10.0,63,36,4.32,17.08
CAMPANIA (KINCORA),03/02/2022,4.0,0.0, ,19.5,10.3,87,46,5.07,18.85
CAMPANIA (KINCORA),04/02/2022,4.4,0.6, ,21.0,5.0,95,45,3.49,26.32
CAMPANIA (KINCORA),05/02/2022,3.4,0.0, ,22.8,9.1,97,50,2.75,16.48
CAMPANIA (KINCORA),06/02/2022,4.7,0.0, ,23.8,8.7,90,41,2.56,26.65
CAMPANIA (KINCORA),07/02/2022,5.1,0.0, ,25.4,5.9,97,39,3.10,27.19
CAMPANIA (KINCORA),08/02/2022,4.1,0.0, ,23.7,10.0,93,48,3.04,20.55
CAMPANIA (KINCORA),09/02/2022,5.2,0.0, ,29.5,7.9,96,24,2.90,19.18
CAMPANIA (KINCORA),10/02/2022,4.5,0.0, ,24.3,12.8,85,34,3.84,16.88
CAMPANIA (KINCORA),11/02/2022,4.3,0.0, ,21.1,9.9,79,34,4.05,17.84
CAMPANIA (KINCORA),12/02/2022,4.4,0.0, ,22.5,5.2,88,41,3.34,24.04
CAMPANIA (KINCORA),13/02/2022,5.6,0.0, ,27.0,10.0,84,39,6.38,16.83
CAMPANIA (KINCORA),14/02/2022,2.2,0.0, ,20.3,12.7,96,63,3.56,8.02
CAMPANIA (KINCORA),15/02/2022,4.4,1.2, ,24.1,14.4,98,45,3.72,21.68
CAMPANIA (KINCORA),16/02/2022,4.5,0.2, ,25.9,15.2,79,47,4.11,16.73
CAMPANIA (KINCORA),17/02/2022,7.1,0.0, ,24.8,16.8,68,19,6.58,23.31
CAMPANIA (KINCORA),18/02/2022,5.4,0.0, ,20.4,13.8,66,35,6.97,18.62
CAMPANIA (KINCORA),19/02/2022,6.2,0.0, ,28.8,7.4,83,22,3.93,24.11
CAMPANIA (KINCORA),20/02/2022,5.3,0.0, ,26.2,9.5,89,27,4.26,19.31
CAMPANIA (KINCORA),21/02/2022,4.4,0.4, ,18.4,8.7,75,40,6.33,20.22
CAMPANIA (KINCORA),22/02/2022,4.5,0.2, ,22.0,4.3,84,33,3.61,23.00
CAMPANIA (KINCORA),23/02/2022,5.7,0.0, ,29.6,9.5,88,36,5.44,16.26
CAMPANIA (KINCORA),24/02/2022,4.0,0.0, ,24.6,16.6,90,49,4.05,16.07
CAMPANIA (KINCORA),25/02/2022,2.5,0.8, ,18.5,13.1,99,50,3.67,9.15
CAMPANIA (KINCORA),26/02/2022,3.1,0.0, ,22.0,12.7,80,47,2.40,12.90
CAMPANIA (KINCORA),27/02/2022,1.6,0.0, ,20.4,14.8,96,71,2.11,6.13
CAMPANIA (KINCORA),28/02/2022,1.4,2.8, ,20.6,12.8,100,78,2.52,5.27
Totals:,,123.1,6.2, ,,,,,, 
