'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for March 2022,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 April 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/03/2022,2.2,8.2, ,22.5,16.9,100,70,4.07,9.05
CAMPANIA (KINCORA),02/03/2022,3.2,3.2, ,23.7,15.3,98,57,3.61,14.17
CAMPANIA (KINCORA),03/03/2022,4.3,0.2, ,27.1,15.9,94,48,3.55,18.63
CAMPANIA (KINCORA),04/03/2022,3.5,0.0, ,25.6,13.4,94,49,4.16,11.18
CAMPANIA (KINCORA),05/03/2022,3.6,0.0, ,26.8,16.4,95,51,3.99,12.27
CAMPANIA (KINCORA),06/03/2022,3.2,3.0, ,18.2,12.3,87,41,5.24,9.78
CAMPANIA (KINCORA),07/03/2022,3.3,0.0, ,21.6,6.2,95,37,2.46,16.83
CAMPANIA (KINCORA),08/03/2022,3.2,0.0, ,17.6,9.4,92,40,4.52,13.73
CAMPANIA (KINCORA),09/03/2022,3.0,0.0, ,18.9,2.1,95,45,3.22,16.93
CAMPANIA (KINCORA),10/03/2022,2.4,0.0, ,18.5,5.0,95,50,3.29,9.41
CAMPANIA (KINCORA),11/03/2022,3.4,0.0, ,21.4,8.3,88,39,3.62,13.73
CAMPANIA (KINCORA),12/03/2022,3.8,0.0, ,24.2,6.8,92,33,2.43,19.25
CAMPANIA (KINCORA),13/03/2022,4.4,0.0, ,27.1,7.8,95,36,3.35,19.05
CAMPANIA (KINCORA),14/03/2022,1.5,0.2, ,19.5,14.5,96,62,2.92,2.65
CAMPANIA (KINCORA),15/03/2022,2.1,0.4, ,20.7,14.9,95,63,3.05,7.76
CAMPANIA (KINCORA),16/03/2022,2.9,2.4, ,25.1,12.6,96,51,3.12,10.85
CAMPANIA (KINCORA),17/03/2022,3.7,0.0, ,28.8,13.1,96,46,3.59,12.47
CAMPANIA (KINCORA),18/03/2022,3.2,1.0, ,19.3,13.3,94,43,4.46,13.65
CAMPANIA (KINCORA),19/03/2022,3.3,0.0, ,22.2,4.7,96,43,2.90,18.17
CAMPANIA (KINCORA),20/03/2022,3.1,0.0, ,24.1,8.8,96,46,3.68,9.81
CAMPANIA (KINCORA),21/03/2022,3.0,0.6, ,25.9,9.4,100,42,2.50,11.43
CAMPANIA (KINCORA),22/03/2022,1.5,0.0, ,18.5,13.1,89,67,2.63,3.47
CAMPANIA (KINCORA),23/03/2022,3.3,7.2, ,17.5,9.3,85,41,5.10,14.60
CAMPANIA (KINCORA),24/03/2022,2.9,0.0, ,21.3,10.6,85,45,3.50,10.56
CAMPANIA (KINCORA),25/03/2022,3.5,0.0, ,24.4,8.4,91,38,2.81,16.90
CAMPANIA (KINCORA),26/03/2022,3.7,0.0, ,27.1,7.5,99,33,2.61,16.73
CAMPANIA (KINCORA),27/03/2022,4.5,0.0, ,26.7,6.7,100,37,5.05,16.16
CAMPANIA (KINCORA),28/03/2022,2.8,0.0, ,24.2,12.0,93,43,3.22,7.53
CAMPANIA (KINCORA),29/03/2022,2.9,0.0, ,24.8,13.4,92,46,2.56,12.64
CAMPANIA (KINCORA),30/03/2022,2.0,0.2, ,18.1,11.2,98,53,3.58,7.14
CAMPANIA (KINCORA),31/03/2022,2.4,0.8, ,16.2,8.6,77,54,4.49,8.95
Totals:,,95.8,27.4, ,,,,,, 
