'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for April 2022,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 May 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/04/2022,1.7,0.0, ,16.8,10.2,96,58,3.01,6.84
CAMPANIA (KINCORA),02/04/2022,1.8,3.2, ,16.5,11.3,97,66,4.00,9.99
CAMPANIA (KINCORA),03/04/2022,1.3,0.4, ,17.0,10.4,96,61,1.62,5.17
CAMPANIA (KINCORA),04/04/2022,1.8,3.0, ,21.7,12.8,98,65,2.39,8.16
CAMPANIA (KINCORA),05/04/2022,2.1,0.2, ,16.1,11.3,94,52,4.45,7.03
CAMPANIA (KINCORA),06/04/2022,2.1,0.0, ,17.8,8.1,90,44,1.92,12.22
CAMPANIA (KINCORA),07/04/2022,2.5,0.0, ,21.2,4.3,95,37,2.37,12.55
CAMPANIA (KINCORA),08/04/2022,2.8,0.0, ,21.6,3.7,96,37,2.94,13.97
CAMPANIA (KINCORA),09/04/2022,3.4,0.0, ,24.9,7.2,92,45,4.21,12.97
CAMPANIA (KINCORA),10/04/2022,4.0,0.0, ,27.4,14.1,89,38,5.13,8.30
CAMPANIA (KINCORA),11/04/2022,3.0,0.0, ,17.5,11.2,74,37,4.40,9.38
CAMPANIA (KINCORA),12/04/2022,2.5,0.0, ,19.1,7.0,78,49,3.68,10.22
CAMPANIA (KINCORA),13/04/2022,2.9,0.0, ,22.4,7.1,90,42,3.59,12.69
CAMPANIA (KINCORA),14/04/2022,2.3,0.0, ,22.6,5.4,94,37,2.15,8.49
CAMPANIA (KINCORA),15/04/2022,2.2,0.0, ,19.8,11.8,81,52,3.74,3.79
CAMPANIA (KINCORA),16/04/2022,1.7,0.0, ,21.2,7.7,96,55,2.10,6.53
CAMPANIA (KINCORA),17/04/2022,3.9,0.0, ,26.0,7.6,95,41,5.81,9.59
CAMPANIA (KINCORA),18/04/2022,1.4,4.0, ,16.4,11.7,99,63,2.72,6.62
CAMPANIA (KINCORA),19/04/2022,0.9,0.0, ,15.7,7.5,98,71,1.17,4.88
CAMPANIA (KINCORA),20/04/2022,2.1,1.8, ,18.3,6.2,96,49,3.87,8.65
CAMPANIA (KINCORA),21/04/2022,2.1,2.6, ,14.8,4.5,80,45,3.66,9.32
CAMPANIA (KINCORA),22/04/2022,2.0,0.0, ,16.5,6.2,83,46,3.32,8.28
CAMPANIA (KINCORA),23/04/2022,2.1,0.0, ,17.9,2.7,94,49,3.62,11.30
CAMPANIA (KINCORA),24/04/2022,2.1,0.0, ,20.6,4.5,96,45,2.84,11.24
CAMPANIA (KINCORA),25/04/2022,1.2,0.0, ,16.6,3.8,99,68,2.38,7.49
CAMPANIA (KINCORA),26/04/2022,1.4,0.0, ,18.1,4.3,99,55,2.06,8.03
CAMPANIA (KINCORA),27/04/2022,1.0,0.0, ,15.9,4.1,99,68,1.63,5.26
CAMPANIA (KINCORA),28/04/2022,1.3,8.4, ,22.5,9.7,100,66,1.56,7.27
CAMPANIA (KINCORA),29/04/2022,2.1,0.0, ,22.4,10.8,96,61,4.70,7.51
CAMPANIA (KINCORA),30/04/2022,2.2,2.2, ,16.3,11.5,90,46,4.89,6.59
Totals:,,63.9,25.8, ,,,,,, 
