'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 June 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/05/2022,3.1,0.0, ,20.7,9.8,77,42,5.44,7.46
CAMPANIA (KINCORA),02/05/2022,3.0,0.0, ,22.3,10.9,80,45,4.98,8.61
CAMPANIA (KINCORA),03/05/2022,3.1,0.0, ,21.3,12.9,79,45,5.63,5.28
CAMPANIA (KINCORA),04/05/2022,1.3,4.2, ,14.7,12.3,93,61,2.93,4.09
CAMPANIA (KINCORA),05/05/2022,1.3,0.2, ,15.1,1.4,96,62,3.40,6.81
CAMPANIA (KINCORA),06/05/2022,1.4,96.0, ,14.3,6.6,98,61,4.47,6.44
CAMPANIA (KINCORA),07/05/2022,1.7,5.8, ,12.9,7.4,91,59,6.70,1.83
CAMPANIA (KINCORA),08/05/2022,1.8,20.6, ,16.1,9.9,92,47,3.62,8.30
CAMPANIA (KINCORA),09/05/2022,1.4,0.0, ,16.6,1.7,96,48,2.44,9.14
CAMPANIA (KINCORA),10/05/2022,1.5,0.2, ,18.2,2.2,96,48,2.57,9.14
CAMPANIA (KINCORA),11/05/2022,1.1,0.0, ,16.0,3.4,95,62,2.13,7.61
CAMPANIA (KINCORA),12/05/2022,0.7,0.2, ,15.1,7.6,96,76,1.46,4.60
CAMPANIA (KINCORA),13/05/2022, ,0.2, , ,4.9,98,60,2.15,8.68
CAMPANIA (KINCORA),14/05/2022,1.6, , ,19.7,7.1,99,58,3.81,2.99
CAMPANIA (KINCORA),15/05/2022,2.1,0.0, ,20.5,9.8,88,47,3.85,6.58
CAMPANIA (KINCORA),16/05/2022,2.0,4.6, ,12.9,7.4,80,51,5.89,8.14
CAMPANIA (KINCORA),17/05/2022,2.4,0.0, ,14.8,4.3,72,46,6.06,7.20
CAMPANIA (KINCORA),18/05/2022,2.1,0.0, ,12.8,7.8,72,53,5.92,6.81
CAMPANIA (KINCORA),19/05/2022,2.1,0.6, ,15.1,9.4,78,45,4.57,6.37
CAMPANIA (KINCORA),20/05/2022,1.0,0.0, ,14.2,1.1,93,57,2.43,7.21
CAMPANIA (KINCORA),21/05/2022,0.8,0.0, ,12.7,1.6,97,63,2.23,7.27
CAMPANIA (KINCORA),22/05/2022,0.9,0.0, ,11.7,2.8,96,67,3.12,4.90
CAMPANIA (KINCORA),23/05/2022,1.2,0.0, ,16.1,4.8,96,55,2.83,7.91
CAMPANIA (KINCORA),24/05/2022,1.0,0.2, ,14.2,2.7,96,59,2.72,7.54
CAMPANIA (KINCORA),25/05/2022,1.3,0.0, ,16.4,0.4,97,53,3.12,7.79
CAMPANIA (KINCORA),26/05/2022,0.9,0.2, ,16.8,1.7,99,66,2.13,6.21
CAMPANIA (KINCORA),27/05/2022,1.1,0.2, ,15.0,5.4,97,53,2.76,6.08
CAMPANIA (KINCORA),28/05/2022,1.0,0.0, ,15.3,1.3,95,56,2.47,6.78
CAMPANIA (KINCORA),29/05/2022,0.6,0.0, ,11.6,0.7,98,74,1.73,4.64
CAMPANIA (KINCORA),30/05/2022,0.9,0.0, ,12.8,2.9,98,58,2.81,7.40
CAMPANIA (KINCORA),31/05/2022,0.8,0.0, ,10.8,1.5,95,67,2.61,3.88
Totals:,,45.2,133.2, ,,,,,, 
