'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for June 2022,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/06/2022,1.1,3.4, ,11.8,4.4,95,63,4.45,5.18
CAMPANIA (KINCORA),02/06/2022,1.0,0.6, ,11.0,0.4,93,54,3.08,6.21
CAMPANIA (KINCORA),03/06/2022,1.3,0.0, ,12.7,2.4,87,59,3.99,4.12
CAMPANIA (KINCORA),04/06/2022,1.1,0.0, ,14.1,3.5,94,51,2.58,5.39
CAMPANIA (KINCORA),05/06/2022,1.6,5.0, ,13.6,1.8,97,47,4.94,6.47
CAMPANIA (KINCORA),06/06/2022,1.8,0.0, ,11.3,5.7,78,57,6.99,4.34
CAMPANIA (KINCORA),07/06/2022,1.3,0.8, ,8.5,2.7,85,54,5.18,5.86
CAMPANIA (KINCORA),08/06/2022,1.4,4.4, ,11.0,3.5,81,56,5.07,7.04
CAMPANIA (KINCORA),09/06/2022,2.2,0.2, ,11.7,6.8,67,50,7.16,6.22
CAMPANIA (KINCORA),10/06/2022,1.8,0.0, ,8.8,6.8,71,53,6.53,6.01
CAMPANIA (KINCORA),11/06/2022,1.8,7.8, ,11.2,5.6,84,52,7.40,5.90
CAMPANIA (KINCORA),12/06/2022,1.3,8.6, ,8.2,3.4,84,59,5.56,4.49
CAMPANIA (KINCORA),13/06/2022,1.1,0.0, ,11.7,1.2,89,55,3.83,6.96
CAMPANIA (KINCORA),14/06/2022,0.9,0.2, ,12.8,0.2,93,56,2.69,6.67
CAMPANIA (KINCORA),15/06/2022,0.5,0.2, ,10.1,1.1,98,77,1.91,3.13
CAMPANIA (KINCORA),16/06/2022,0.5,2.4, ,13.2,3.0,99,70,1.97,6.37
CAMPANIA (KINCORA),17/06/2022,0.6,0.0, ,11.9,2.0,98,71,2.28,3.78
CAMPANIA (KINCORA),18/06/2022,0.4,4.2, ,13.0,4.8,99,82,1.10,5.00
CAMPANIA (KINCORA),19/06/2022,0.8,0.8, ,15.0,5.8,99,58,2.51,6.23
CAMPANIA (KINCORA),20/06/2022,0.6,0.0, ,13.3,5.1,97,70,1.82,4.64
CAMPANIA (KINCORA),21/06/2022, ,0.0, , ,5.1,95,58,2.96,5.19
CAMPANIA (KINCORA),22/06/2022,0.6,0.2, ,14.0,1.2,98,62,1.76,7.02
CAMPANIA (KINCORA),23/06/2022,1.4,0.0, ,17.0,3.6,100,56,3.69,3.77
CAMPANIA (KINCORA),24/06/2022,1.3,4.2, ,13.2,6.9,100,48,4.71,6.54
CAMPANIA (KINCORA),25/06/2022,2.3,0.0, ,14.9,7.8,68,53,6.89,6.87
CAMPANIA (KINCORA),26/06/2022,1.4,0.2, ,11.0,7.1,88,51,5.15,6.07
CAMPANIA (KINCORA),27/06/2022,1.0,0.0, ,11.8,0.0,92,53,3.25,6.98
CAMPANIA (KINCORA),28/06/2022,1.5,0.0, ,15.3,3.5,87,58,4.19,2.99
CAMPANIA (KINCORA),29/06/2022,1.4,0.0, ,14.0,4.1,95,50,3.96,5.43
CAMPANIA (KINCORA),30/06/2022,0.9,2.6, ,11.1,6.6,97,53,2.79,5.28
Totals:,,34.9,45.8, ,,,,,, 
