'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for July 2022,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/07/2022,0.8,0.0, ,11.6,0.5,97,59,3.20,7.19
CAMPANIA (KINCORA),02/07/2022,0.9,0.2, ,12.6,0.4,97,59,3.41,7.22
CAMPANIA (KINCORA),03/07/2022,0.9,0.2, ,14.3,0.1,96,60,2.91,7.26
CAMPANIA (KINCORA),04/07/2022,1.1,0.0, ,15.2,0.6,98,56,2.90,6.37
CAMPANIA (KINCORA),05/07/2022,0.9,0.0, ,14.9,3.1,95,57,2.65,6.76
CAMPANIA (KINCORA),06/07/2022,0.9,0.2, ,13.5,1.0,99,62,2.89,4.98
CAMPANIA (KINCORA),07/07/2022,1.1,0.0, ,13.6,2.6,95,49,2.99,7.43
CAMPANIA (KINCORA),08/07/2022,1.2,1.8, ,11.8,4.2,94,59,4.38,3.32
CAMPANIA (KINCORA),09/07/2022,0.8,7.6, ,11.7,6.5,100,61,2.79,4.80
CAMPANIA (KINCORA),10/07/2022,1.1,0.0, ,12.5,6.1,92,56,3.30,6.33
CAMPANIA (KINCORA),11/07/2022,1.3,0.0, ,14.3,2.4,93,55,4.01,6.54
CAMPANIA (KINCORA),12/07/2022,0.7,0.8, ,12.3,6.2,96,67,2.26,6.74
CAMPANIA (KINCORA),13/07/2022,0.6,1.4, ,10.4,1.6,98,67,1.59,5.41
CAMPANIA (KINCORA),14/07/2022,0.9,2.0, ,12.8,-0.8,98,61,2.71,7.36
CAMPANIA (KINCORA),15/07/2022,0.8,0.8, ,12.7,2.6,99,64,2.34,6.04
CAMPANIA (KINCORA),16/07/2022,1.2,0.0, ,13.2,2.2,90,63,4.24,4.27
CAMPANIA (KINCORA),17/07/2022,1.7,0.0, ,13.2,4.6,84,54,5.92,7.45
CAMPANIA (KINCORA),18/07/2022,1.3,1.8, ,7.2,3.1,77,53,4.25,5.27
CAMPANIA (KINCORA),19/07/2022,0.9,0.0, ,9.7,2.4,87,60,2.60,5.31
CAMPANIA (KINCORA),20/07/2022,0.9,0.0, ,11.1,-0.4,95,50,2.31,8.26
CAMPANIA (KINCORA),21/07/2022,1.0,0.2, ,11.7,-2.3,96,52,2.40,7.85
CAMPANIA (KINCORA),22/07/2022,1.3,0.0, ,14.1,-1.3,95,51,3.28,8.39
CAMPANIA (KINCORA),23/07/2022,1.0,0.0, ,15.1,3.8,97,59,2.18,6.55
CAMPANIA (KINCORA),24/07/2022,0.8,0.2, ,16.7,3.7,98,60,1.30,6.21
CAMPANIA (KINCORA),25/07/2022,0.9,0.2, ,16.2,2.5,100,65,2.01,7.66
CAMPANIA (KINCORA),26/07/2022,1.0,0.0, ,16.0,7.6,99,54,1.92,7.95
CAMPANIA (KINCORA),27/07/2022,1.3,0.2, ,14.9,3.5,96,52,3.03,8.03
CAMPANIA (KINCORA),28/07/2022,1.5,0.2, ,11.7,6.6,74,54,3.93,7.99
CAMPANIA (KINCORA),29/07/2022,1.3,0.2, ,11.4,3.8,89,50,3.50,8.03
CAMPANIA (KINCORA),30/07/2022,1.2,0.0, ,11.4,-0.7,90,46,2.81,9.19
CAMPANIA (KINCORA),31/07/2022,1.5,0.0, ,12.2,2.2,88,56,4.80,3.90
Totals:,,32.8,18, ,,,,,, 
