'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for August 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 September 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/08/2022,2.0,0.0, ,12.9,7.1,82,50,5.99,6.99
CAMPANIA (KINCORA),02/08/2022,2.0,1.0, ,14.1,4.2,81,46,4.65,9.05
CAMPANIA (KINCORA),03/08/2022,2.2,0.0, ,15.9,8.1,88,49,5.86,7.05
CAMPANIA (KINCORA),04/08/2022,2.1,1.6, ,17.4,5.7,92,49,5.07,9.52
CAMPANIA (KINCORA),05/08/2022,1.2,0.0, ,14.9,4.8,92,66,3.31,5.76
CAMPANIA (KINCORA),06/08/2022,1.0,4.4, ,10.1,5.8,95,69,4.20,6.53
CAMPANIA (KINCORA),07/08/2022,0.8,1.0, ,10.6,2.8,96,65,1.68,8.26
CAMPANIA (KINCORA),08/08/2022,1.4,0.6, ,12.5,-1.2,97,43,2.53,2.43
CAMPANIA (KINCORA),09/08/2022,1.5,0.2, ,13.8,-2.1,95,44,2.79,10.37
CAMPANIA (KINCORA),10/08/2022,1.7,0.0, ,13.6,-1.3,96,46,3.62,10.43
CAMPANIA (KINCORA),11/08/2022,1.4,0.0, ,14.6,0.0,94,53,2.76,6.54
CAMPANIA (KINCORA),12/08/2022,1.1,0.4, ,14.9,2.7,97,63,2.04,9.91
CAMPANIA (KINCORA),13/08/2022,0.8,0.8, ,13.8,3.6,99,78,2.23,5.42
CAMPANIA (KINCORA),14/08/2022,1.2,34.0, ,15.0,9.1,100,77,6.77,5.48
CAMPANIA (KINCORA),15/08/2022,0.8,11.2, ,12.5,8.7,99,82,2.83,3.50
CAMPANIA (KINCORA),16/08/2022,1.3,6.6, ,15.8,8.5,98,64,2.84,6.95
CAMPANIA (KINCORA),17/08/2022,1.7,0.4, ,15.7,3.3,99,59,4.56,9.14
CAMPANIA (KINCORA),18/08/2022,3.1,0.0, ,18.2,6.7,74,47,6.74,9.75
CAMPANIA (KINCORA),19/08/2022,2.2,0.4, ,14.3,5.6,84,47,4.98,11.76
CAMPANIA (KINCORA),20/08/2022,1.8,1.8, ,10.2,5.2,93,43,4.70,10.10
CAMPANIA (KINCORA),21/08/2022,1.9,0.6, ,13.0,-1.9,94,48,4.52,8.89
CAMPANIA (KINCORA),22/08/2022,1.5,1.8, ,11.6,5.3,88,61,4.72,4.51
CAMPANIA (KINCORA),23/08/2022,1.7,2.4, ,10.4,-0.3,91,52,4.80,10.94
CAMPANIA (KINCORA),24/08/2022,2.0,1.2, ,15.2,5.1,77,56,4.41,6.91
CAMPANIA (KINCORA),25/08/2022, ,0.0, , ,3.9,98,57,2.64,10.32
CAMPANIA (KINCORA),26/08/2022, , , ,17.6, ,99,53,2.39,12.91
CAMPANIA (KINCORA),27/08/2022,1.7,0.0, ,15.2,3.5,99,59,3.15,12.54
CAMPANIA (KINCORA),28/08/2022,2.3,0.0, ,18.5,5.4,95,44,3.29,12.22
CAMPANIA (KINCORA),29/08/2022,2.3,0.0, ,19.7,5.5,95,50,3.20,12.47
CAMPANIA (KINCORA),30/08/2022,1.3,1.2, ,13.8,5.7,98,58,2.72,4.39
CAMPANIA (KINCORA),31/08/2022,2.7,2.0, ,18.0,7.3,81,47,4.41,13.62
Totals:,,48.7,73.6, ,,,,,, 
