'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/09/2022, ,0.2, , ,6.7,95,55,3.33,7.13
CAMPANIA (KINCORA),02/09/2022, , , ,13.5, ,95,47,4.06,13.68
CAMPANIA (KINCORA),03/09/2022,1.9,0.0, ,14.6,2.0,93,51,2.88,14.15
CAMPANIA (KINCORA),04/09/2022,1.7,0.2, ,13.3,0.4,95,54,3.01,11.63
CAMPANIA (KINCORA),05/09/2022,1.3,2.0, ,12.3,4.8,95,68,3.21,6.06
CAMPANIA (KINCORA),06/09/2022,1.7,0.8, ,12.8,2.9,95,59,2.66,13.83
CAMPANIA (KINCORA),07/09/2022,1.7,0.2, ,15.0,1.4,97,53,2.38,11.20
CAMPANIA (KINCORA),08/09/2022,1.5,0.0, ,17.1,2.4,99,71,2.27,10.13
CAMPANIA (KINCORA),09/09/2022,2.3,0.0, ,19.8,8.4,92,56,3.56,11.00
CAMPANIA (KINCORA),10/09/2022,1.6,6.2, ,16.1,11.8,100,56,2.77,6.26
CAMPANIA (KINCORA),11/09/2022, ,5.8, , ,4.1,86,53,4.54,11.05
CAMPANIA (KINCORA),12/09/2022,2.2, , ,10.8,3.1,85,46,5.00,12.13
CAMPANIA (KINCORA),13/09/2022,2.0,0.2, ,12.3,1.4,95,46,2.81,13.89
CAMPANIA (KINCORA),14/09/2022,2.6,0.0, ,14.6,-1.1,97,42,4.51,16.45
CAMPANIA (KINCORA),15/09/2022,1.7,0.0, ,15.1,0.2,94,57,2.76,9.28
CAMPANIA (KINCORA),16/09/2022,1.0,0.4, ,13.2,5.2,98,76,2.08,3.99
CAMPANIA (KINCORA),17/09/2022,2.3,15.2, ,16.3,6.1,92,58,4.91,12.14
CAMPANIA (KINCORA),18/09/2022,1.8,0.0, ,14.2,4.2,92,59,3.59,8.45
CAMPANIA (KINCORA),19/09/2022,2.8,0.0, ,15.2,7.5,84,47,4.41,15.43
CAMPANIA (KINCORA),20/09/2022,2.6,0.0, ,17.0,1.0,95,48,3.27,15.99
CAMPANIA (KINCORA),21/09/2022,2.6,0.0, ,21.2,9.9,92,48,2.71,11.51
CAMPANIA (KINCORA),22/09/2022,3.2,0.0, ,22.8,7.5,96,40,2.62,17.12
CAMPANIA (KINCORA),23/09/2022,1.8,0.0, ,17.7,10.3,98,67,3.39,8.70
CAMPANIA (KINCORA),24/09/2022,1.5,13.0, ,11.9,7.4,98,69,3.96,8.57
CAMPANIA (KINCORA),25/09/2022,1.9,1.0, ,15.6,1.1,99,58,2.25,13.03
CAMPANIA (KINCORA),26/09/2022,2.3,0.2, ,17.3,5.2,94,48,2.49,12.39
CAMPANIA (KINCORA),27/09/2022,1.8,0.2, ,16.5,8.3,99,60,1.46,11.26
CAMPANIA (KINCORA),28/09/2022,1.6,0.0, ,14.2,4.1,99,69,2.58,10.64
CAMPANIA (KINCORA),29/09/2022,1.7,4.6, ,11.7,4.9,98,57,3.29,9.69
CAMPANIA (KINCORA),30/09/2022,2.3,0.2, ,13.5,-0.3,99,47,2.80,16.45
Totals:,,53.4,50.4, ,,,,,, 
