'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/10/2022,2.8,0.0, ,15.9,-0.1,96,41,2.52,19.92
CAMPANIA (KINCORA),02/10/2022,3.0,0.2, ,17.4,1.0,96,45,3.54,19.00
CAMPANIA (KINCORA),03/10/2022,2.5,0.0, ,16.5,2.9,99,51,2.69,15.67
CAMPANIA (KINCORA),04/10/2022,2.6,0.0, ,12.9,4.2,91,45,4.17,16.45
CAMPANIA (KINCORA),05/10/2022,2.2,0.0, ,14.3,-0.3,96,52,3.42,12.09
CAMPANIA (KINCORA),06/10/2022,2.2,0.0, ,15.4,6.8,86,60,4.59,9.38
CAMPANIA (KINCORA),07/10/2022,2.7,0.2, ,21.9,11.0,99,53,3.90,10.09
CAMPANIA (KINCORA),08/10/2022,3.3,1.2, ,14.4,7.6,89,45,4.71,21.17
CAMPANIA (KINCORA),09/10/2022,2.8,0.4, ,14.9,0.2,94,44,2.99,18.81
CAMPANIA (KINCORA),10/10/2022,2.9,0.0, ,18.2,1.8,94,50,2.55,18.45
CAMPANIA (KINCORA),11/10/2022,3.3,0.2, ,19.3,3.6,99,42,2.86,20.01
CAMPANIA (KINCORA),12/10/2022,2.4,0.2, ,19.3,5.9,97,62,3.85,11.46
CAMPANIA (KINCORA),13/10/2022,2.1,0.0, ,18.8,12.2,90,69,5.47,5.69
CAMPANIA (KINCORA),14/10/2022,2.9,2.6, ,18.5,10.3,99,51,3.91,14.81
CAMPANIA (KINCORA),15/10/2022,2.4,2.4, ,16.9,6.0,96,57,3.32,12.51
CAMPANIA (KINCORA),16/10/2022,2.9,0.4, ,15.2,5.8,91,45,3.32,17.54
CAMPANIA (KINCORA),17/10/2022,3.1,0.2, ,14.6,7.4,84,46,3.13,19.57
CAMPANIA (KINCORA),18/10/2022,3.0,0.2, ,19.1,2.6,96,50,3.48,16.38
CAMPANIA (KINCORA),19/10/2022,4.2,0.0, ,22.9,6.4,97,38,2.77,23.29
CAMPANIA (KINCORA),20/10/2022,3.4,0.0, ,18.0,3.8,97,55,3.11,24.12
CAMPANIA (KINCORA),21/10/2022,4.3,0.0, ,24.9,5.8,96,50,4.04,21.45
CAMPANIA (KINCORA),22/10/2022,1.5,2.4, ,20.0,14.8,99,78,2.81,5.55
CAMPANIA (KINCORA),23/10/2022,2.4,30.6, ,13.8,9.1,86,56,4.80,10.63
CAMPANIA (KINCORA),24/10/2022,1.9,0.0, ,14.5,7.1,100,61,3.70,8.26
CAMPANIA (KINCORA),25/10/2022,1.3,1.0, ,16.7,10.4,100,86,2.83,6.77
CAMPANIA (KINCORA),26/10/2022,1.4,12.0, ,18.1,12.3,100,86,6.04,7.52
CAMPANIA (KINCORA),27/10/2022,1.4,16.6, ,15.3,12.3,100,86,3.00,8.37
CAMPANIA (KINCORA),28/10/2022,1.9,14.6, ,17.1,12.2,100,72,3.19,9.86
CAMPANIA (KINCORA),29/10/2022,3.9,14.2, ,15.4,9.9,80,47,5.67,22.47
CAMPANIA (KINCORA),30/10/2022,4.1,0.2, ,18.4,4.9,84,42,3.67,25.22
CAMPANIA (KINCORA),31/10/2022,4.8,0.4, ,22.1,9.7,82,49,7.06,21.55
Totals:,,85.6,100.2, ,,,,,, 
