'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/11/2022,3.5,0.4, ,16.0,3.7,94,43,3.55,22.59
CAMPANIA (KINCORA),02/11/2022,2.9,0.4, ,13.8,2.2,93,50,4.94,18.67
CAMPANIA (KINCORA),03/11/2022,4.1,1.0, ,17.4,5.1,71,48,6.36,21.90
CAMPANIA (KINCORA),04/11/2022,4.2,0.0, ,20.2,5.6,91,46,3.02,26.70
CAMPANIA (KINCORA),05/11/2022,3.8,0.0, ,19.6,6.6,99,52,2.89,24.95
CAMPANIA (KINCORA),06/11/2022,4.6,0.0, ,24.5,6.5,99,34,2.71,23.47
CAMPANIA (KINCORA),07/11/2022,4.1,0.0, ,22.1,7.1,100,58,2.38,26.59
CAMPANIA (KINCORA),08/11/2022,5.6,0.0, ,27.7,6.5,100,25,2.69,26.95
CAMPANIA (KINCORA),09/11/2022,5.4,0.0, ,27.2,8.6,94,46,3.52,27.71
CAMPANIA (KINCORA),10/11/2022,6.3,0.0, ,26.4,11.6,82,45,7.22,27.49
CAMPANIA (KINCORA),11/11/2022,3.8,1.8, ,24.8,16.0,94,54,4.80,14.36
CAMPANIA (KINCORA),12/11/2022, ,0.0, ,16.6,9.8,96,46,3.62, 
CAMPANIA (KINCORA),13/11/2022,1.2,0.0, ,13.3,2.9,100,74,2.03,4.76
CAMPANIA (KINCORA),14/11/2022,1.9,16.8, ,14.5,10.4,100,58,4.10,6.93
CAMPANIA (KINCORA),15/11/2022,1.7,19.0, ,11.8,5.0,96,70,6.98,8.63
CAMPANIA (KINCORA),16/11/2022,2.5,3.4, ,13.5,5.8,93,55,4.41,12.75
CAMPANIA (KINCORA),17/11/2022,2.8,0.2, ,16.4,6.0,100,65,3.97,19.35
CAMPANIA (KINCORA),18/11/2022,3.8,0.0, ,19.2,2.9,100,64,2.98,28.67
CAMPANIA (KINCORA),19/11/2022,4.1,0.0, ,20.2,6.8,98,48,4.75,23.01
CAMPANIA (KINCORA),20/11/2022,3.7,15.4, ,18.2,12.0,100,48,4.78,19.86
CAMPANIA (KINCORA),21/11/2022,2.8,0.2, ,12.6,6.7,79,54,5.64,13.95
CAMPANIA (KINCORA),22/11/2022,4.4,1.6, ,16.6,4.2,76,43,7.67,23.77
CAMPANIA (KINCORA),23/11/2022,5.5,0.0, ,18.3,8.4,69,35,6.97,28.38
CAMPANIA (KINCORA),24/11/2022,3.9,0.0, ,20.2,11.8,78,47,4.50,15.12
CAMPANIA (KINCORA),25/11/2022,2.2,0.0, ,16.5,8.1,96,59,3.18,9.18
CAMPANIA (KINCORA),26/11/2022,2.8,0.2, ,19.0,4.2,97,49,3.81,10.66
CAMPANIA (KINCORA),27/11/2022,4.1,1.6, ,19.0,12.2,80,46,5.93,15.73
CAMPANIA (KINCORA),28/11/2022,4.2,1.2, ,19.1,7.2,83,45,5.64,19.35
CAMPANIA (KINCORA),29/11/2022,5.2,1.4, ,18.7,6.5,74,37,5.38,29.40
CAMPANIA (KINCORA),30/11/2022,4.6,0.0, ,21.6,6.2,85,45,5.05,21.77
Totals:,,109.7,64.6, ,,,,,, 
