'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for December 2022,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 January 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/12/2022,3.7,0.0, ,17.1,8.7,94,44,3.22,21.24
CAMPANIA (KINCORA),02/12/2022,4.9,0.0, ,22.1,8.0,94,47,2.56,30.15
CAMPANIA (KINCORA),03/12/2022,6.9,0.0, ,29.3,7.1,96,20,3.34,30.94
CAMPANIA (KINCORA),04/12/2022,3.6,0.0, ,21.4,12.1,94,64,3.16,19.77
CAMPANIA (KINCORA),05/12/2022,2.1,1.0, ,14.1,11.3,98,57,6.92,5.94
CAMPANIA (KINCORA),06/12/2022,3.7,0.8, ,15.8,8.8,79,47,4.71,19.18
CAMPANIA (KINCORA),07/12/2022,4.2,0.2, ,20.1,4.1,96,46,3.49,24.80
CAMPANIA (KINCORA),08/12/2022,3.8,1.6, ,15.3,8.0,84,40,6.01,17.40
CAMPANIA (KINCORA),09/12/2022,2.9,0.2, ,17.0,6.7,89,53,4.27,12.33
CAMPANIA (KINCORA),10/12/2022,3.5,1.6, ,19.7,8.3,94,53,2.18,20.20
CAMPANIA (KINCORA),11/12/2022,3.0,0.0, ,19.0,8.0,99,56,4.05,14.79
CAMPANIA (KINCORA),12/12/2022,2.3,11.2, ,18.5,12.8,99,58,3.10,8.72
CAMPANIA (KINCORA),13/12/2022,3.6,4.8, ,19.5,10.7,97,42,4.64,14.15
CAMPANIA (KINCORA),14/12/2022,3.1,38.4, ,14.4,8.8,91,59,7.19,18.12
CAMPANIA (KINCORA),15/12/2022,1.6,2.8, ,12.3,7.9,95,75,5.32,7.40
CAMPANIA (KINCORA),16/12/2022,3.0,1.4, ,16.3,9.1,93,64,4.94,17.34
CAMPANIA (KINCORA),17/12/2022,2.7,1.6, ,15.6,9.0,98,59,3.88,14.84
CAMPANIA (KINCORA),18/12/2022,4.7,0.2, ,18.8,6.0,97,40,2.84,30.74
CAMPANIA (KINCORA),19/12/2022,3.7,0.0, ,19.0,5.8,97,54,3.52,22.06
CAMPANIA (KINCORA),20/12/2022,3.1,0.0, ,18.8,11.2,93,60,2.10,16.93
CAMPANIA (KINCORA),21/12/2022,4.7,0.0, ,20.6,11.1,91,49,2.73,28.37
CAMPANIA (KINCORA),22/12/2022,4.9,0.0, ,23.4,8.1,92,42,3.36,25.31
CAMPANIA (KINCORA),23/12/2022,4.3,0.0, ,24.4,10.1,96,51,2.48,22.63
CAMPANIA (KINCORA),24/12/2022,4.8,0.8, ,24.3,13.0,96,38,3.59,21.31
CAMPANIA (KINCORA),25/12/2022,6.2,0.0, ,28.5,10.5,94,37,3.45,29.39
CAMPANIA (KINCORA),26/12/2022,4.8,0.0, ,23.6,14.6,96,59,3.10,27.37
CAMPANIA (KINCORA),27/12/2022,8.6,0.0, ,34.7,12.2,97,23,4.42,31.73
CAMPANIA (KINCORA),28/12/2022,8.4,0.0, ,28.6,21.2,57,36,8.69,22.14
CAMPANIA (KINCORA),29/12/2022,5.1,0.0, ,21.9,4.8,92,41,3.21,31.01
CAMPANIA (KINCORA),30/12/2022,4.0,0.0, ,22.4,6.8,100,50,2.89,22.30
CAMPANIA (KINCORA),31/12/2022,6.1,0.8, ,28.1,14.7,98,41,3.31,29.70
Totals:,,132,67.4, ,,,,,, 
