'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/01/2023,5.8,0.0, ,29.2,12.2,95,47,4.82,23.82
CAMPANIA (KINCORA),02/01/2023,3.6,0.0, ,25.5,18.0,88,56,4.23,10.92
CAMPANIA (KINCORA),03/01/2023,2.1,3.8, ,15.0,10.3,85,57,3.47,6.57
CAMPANIA (KINCORA),04/01/2023,3.4,0.2, ,18.8,11.3,94,54,2.24,18.73
CAMPANIA (KINCORA),05/01/2023,3.2,0.0, ,18.1,6.3,100,65,3.56,20.81
CAMPANIA (KINCORA),06/01/2023,4.3,0.0, ,20.2,11.7,100,55,2.51,26.55
CAMPANIA (KINCORA),07/01/2023,4.1,0.0, ,23.8,7.4,100,51,2.65,21.59
CAMPANIA (KINCORA),08/01/2023,6.7,0.0, ,28.4,9.9,97,35,4.34,31.50
CAMPANIA (KINCORA),09/01/2023,4.9,0.0, ,25.8,11.0,93,49,4.27,22.40
CAMPANIA (KINCORA),10/01/2023,4.6,0.0, ,22.5,12.7,92,49,3.00,24.63
CAMPANIA (KINCORA),11/01/2023,5.9,0.0, ,27.2,7.6,97,34,2.67,31.19
CAMPANIA (KINCORA),12/01/2023,4.8,0.0, ,24.0,9.5,97,55,3.10,27.97
CAMPANIA (KINCORA),13/01/2023,5.2,0.0, ,27.8,12.3,96,52,2.88,26.09
CAMPANIA (KINCORA),14/01/2023,8.2,0.0, ,31.3,15.5,81,36,6.46,30.57
CAMPANIA (KINCORA),15/01/2023,6.4,0.0, ,23.3,16.9,88,31,5.84,29.18
CAMPANIA (KINCORA),16/01/2023,4.8,0.0, ,22.2,6.0,100,44,3.41,28.31
CAMPANIA (KINCORA),17/01/2023,6.4,0.0, ,30.9,9.6,94,42,4.56,26.13
CAMPANIA (KINCORA),18/01/2023,5.2,1.0, ,23.4,17.1,90,41,5.68,21.05
CAMPANIA (KINCORA),19/01/2023,3.6,0.0, ,18.6,11.0,73,42,4.01,13.15
CAMPANIA (KINCORA),20/01/2023,4.8,0.0, ,23.5,8.1,90,37,3.35,23.60
CAMPANIA (KINCORA),21/01/2023,3.5,0.0, ,23.1,8.8,95,49,3.35,14.91
CAMPANIA (KINCORA),22/01/2023,3.3,3.0, ,22.9,13.7,97,61,3.02,16.04
CAMPANIA (KINCORA),23/01/2023,4.4,1.6, ,25.7,10.5,97,46,3.01,20.30
CAMPANIA (KINCORA),24/01/2023,5.3,1.2, ,27.2,11.7,96,37,2.86,25.35
CAMPANIA (KINCORA),25/01/2023,5.4,0.0, ,27.5,12.8,96,34,3.66,21.94
CAMPANIA (KINCORA),26/01/2023,4.6,0.0, ,21.6,13.5,84,32,4.22,18.01
CAMPANIA (KINCORA),27/01/2023,6.4,0.0, ,27.2,7.5,91,34,5.23,27.58
CAMPANIA (KINCORA),28/01/2023,6.8,0.0, ,32.5,16.1,80,28,5.44,14.89
CAMPANIA (KINCORA),29/01/2023,4.5,0.2, ,23.7,12.2,95,38,2.88,22.06
CAMPANIA (KINCORA),30/01/2023,5.3,0.2, ,27.7,13.2,88,34,2.99,22.90
CAMPANIA (KINCORA),31/01/2023,5.3,0.0, ,27.7,15.5,82,37,3.26,21.28
Totals:,,152.8,11.2, ,,,,,, 
