'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAMPANIA (KINCORA) Tasmania for February 2023,,,,,,,,,,
Issued at 04:31 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAMPANIA (KINCORA),01/02/2023,3.7,0.0, ,20.5,11.4,96,36,3.70,15.40
CAMPANIA (KINCORA),02/02/2023,3.4,7.0, ,19.9,7.8,97,53,5.28,16.15
CAMPANIA (KINCORA),03/02/2023,4.6,1.8, ,22.1,4.7,99,28,3.62,22.09
CAMPANIA (KINCORA),04/02/2023,2.6,3.6, ,17.5,11.8,94,52,5.14,8.17
CAMPANIA (KINCORA),05/02/2023,6.0,1.6, ,25.9,12.1,77,37,4.47,27.40
CAMPANIA (KINCORA),06/02/2023,5.5,0.2, ,24.2,11.5,80,33,4.82,22.60
CAMPANIA (KINCORA),07/02/2023,5.2,0.0, ,22.6,10.1,82,34,4.09,25.38
CAMPANIA (KINCORA),08/02/2023,4.0,0.0, ,19.1,12.4,71,46,3.11,20.24
CAMPANIA (KINCORA),09/02/2023,3.7,0.0, ,23.8,13.5,77,44,2.77,14.07
CAMPANIA (KINCORA),10/02/2023,3.7,6.6, ,23.0,14.0,97,53,2.98,18.35
CAMPANIA (KINCORA),11/02/2023,3.9,0.0, ,24.6,14.8,92,52,2.23,19.87
CAMPANIA (KINCORA),12/02/2023,4.1,0.0, ,22.2,13.4,94,33,4.78,13.39
CAMPANIA (KINCORA),13/02/2023,4.0,0.6, ,21.7,7.4,85,39,3.69,17.67
CAMPANIA (KINCORA),14/02/2023,4.7,0.0, ,24.7,6.3,90,35,2.92,24.35
CAMPANIA (KINCORA),15/02/2023,5.1,0.0, ,28.3,10.0,88,32,3.23,20.53
CAMPANIA (KINCORA),16/02/2023,2.8,0.0, ,24.3,10.4,89,41,2.28,8.15
CAMPANIA (KINCORA),17/02/2023,9.1,0.0, ,36.9,13.0,92,20,5.88,22.84
CAMPANIA (KINCORA),18/02/2023,3.6,0.0, ,23.4,9.1,98,45,3.55,14.87
CAMPANIA (KINCORA),19/02/2023,7.3,4.2, ,31.8,8.7,92,19,4.92,23.01
CAMPANIA (KINCORA),20/02/2023,3.0,0.0, ,20.0,14.5,93,58,3.72,14.73
CAMPANIA (KINCORA),21/02/2023,3.6,0.0, ,19.1,6.3,93,43,4.16,17.81
CAMPANIA (KINCORA),22/02/2023,4.1,0.0, ,21.5,4.3,92,40,3.43,23.34
CAMPANIA (KINCORA),23/02/2023,5.4,0.0, ,26.6,10.2,77,40,5.78,18.02
CAMPANIA (KINCORA),24/02/2023,6.7,0.0, ,30.9,15.3,79,34,5.45,21.91
CAMPANIA (KINCORA),25/02/2023,5.7,0.0, ,32.8,16.2,98,33,4.48,16.48
CAMPANIA (KINCORA),26/02/2023,2.3,12.0, ,22.2,15.8,98,74,3.88,10.58
CAMPANIA (KINCORA),27/02/2023,3.1,1.2, ,19.0,13.2,94,60,4.26,17.21
CAMPANIA (KINCORA),28/02/2023,1.7,0.2, ,19.9,13.2,100,68,1.55,7.62
Totals:,,122.6,39, ,,,,,, 
