'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for January 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 31 January 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/01/2020,5.6,0.0, ,20.9,10.2,67,37,6.22,23.92
TASMAN ISLAND,02/01/2020,4.2,0.0, ,16.6,12.7,81,53,3.83,25.05
TASMAN ISLAND,03/01/2020,3.1,0.0, ,22.3,11.4,98,68,3.89,16.04
TASMAN ISLAND,04/01/2020,5.5,0.0, ,24.3,13.5,100,24,9.22,8.32
TASMAN ISLAND,05/01/2020,4.8,0.0, ,16.9,10.1,82,48,6.19,29.52
TASMAN ISLAND,06/01/2020,3.2,0.0, ,15.9,10.4,97,61,3.58,19.98
TASMAN ISLAND,07/01/2020,2.6,0.0, ,16.4,12.0,99,73,3.50,15.71
TASMAN ISLAND,08/01/2020,4.5,0.0, ,20.2,10.9,97,52,1.59,28.31
TASMAN ISLAND,09/01/2020,4.2,0.0, ,20.3,12.5,97,67,10.08,29.30
TASMAN ISLAND,10/01/2020,2.4,0.0, ,19.2,15.2,100,62,12.51,1.46
TASMAN ISLAND,11/01/2020,3.2,15.6, ,14.3,10.2,81,55,5.64,15.92
TASMAN ISLAND,12/01/2020,4.1,0.0, ,16.4,10.4,92,63,5.20,29.26
TASMAN ISLAND,13/01/2020,4.6,0.0, ,17.9,10.7,92,55,9.53,29.75
TASMAN ISLAND,14/01/2020,3.2,0.0, ,18.0,11.8,100,71,6.45,21.98
TASMAN ISLAND,15/01/2020,1.7,0.0, ,18.1,13.8,100,92,14.15,17.27
TASMAN ISLAND,16/01/2020,1.5,6.2, ,14.0,10.5,100,76,8.74,5.46
TASMAN ISLAND,17/01/2020,4.2,5.2, ,15.0,9.1,78,50,4.87,26.39
TASMAN ISLAND,18/01/2020,3.2,0.0, ,14.4,8.3,74,57,2.61,19.55
TASMAN ISLAND,19/01/2020,3.4,0.0, ,16.3,10.0,97,66,2.59,23.11
TASMAN ISLAND,20/01/2020,2.2,0.0, ,15.4,11.8,91,79,3.38,13.40
TASMAN ISLAND,21/01/2020,3.4,0.0, ,16.2,11.0,99,70,5.40,25.61
TASMAN ISLAND,22/01/2020,3.7,0.0, ,19.9,11.0,98,63,11.03,20.96
TASMAN ISLAND,23/01/2020,2.2,10.6, ,15.2,12.7,100,60,6.88,7.98
TASMAN ISLAND,24/01/2020,4.8,9.2, ,18.6,10.1,67,46,7.17,20.50
TASMAN ISLAND,25/01/2020,4.3,0.0, ,21.4,13.5,85,47,4.61,19.29
TASMAN ISLAND,26/01/2020,3.4,0.0, ,18.2,14.6,94,50,4.40,15.73
TASMAN ISLAND,27/01/2020,3.1,0.0, ,18.7,12.9,86,51,4.61,10.15
TASMAN ISLAND,28/01/2020,4.4,0.4, ,22.1,12.3,100,49,4.77,22.77
TASMAN ISLAND,29/01/2020,5.1,0.0, ,25.6,12.0,100,35,3.67,22.88
TASMAN ISLAND,30/01/2020,7.3,0.0, ,27.5,14.8,96,23,7.34,25.57
TASMAN ISLAND,31/01/2020,9.5,0.0, ,32.9,13.2,100,20,9.52,22.67
Totals:,,122.6,47.2, ,,,,,, 
