'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for February 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/02/2020,2.7,5.0, ,15.9,13.1,99,65,7.78,14.88
TASMAN ISLAND,02/02/2020,3.7,0.0, ,18.6,10.8,95,49,5.84,17.51
TASMAN ISLAND,03/02/2020,2.8,7.2, ,11.4,6.0,90,59,8.37,18.88
TASMAN ISLAND,04/02/2020,3.8,5.8, ,16.1,5.4,79,51,3.19,25.84
TASMAN ISLAND,05/02/2020,2.0,0.0, ,13.1,10.0,96,67,4.03,11.22
TASMAN ISLAND,06/02/2020,3.1,0.0, ,17.1,10.2,85,70,5.55,18.47
TASMAN ISLAND,07/02/2020,1.5,0.0, ,15.1,12.4,96,77,3.21,6.25
TASMAN ISLAND,08/02/2020,1.8,0.4, ,14.0,10.6,99,72,2.53,10.09
TASMAN ISLAND,09/02/2020,3.2,1.0, ,15.9,11.2,79,61,3.94,18.20
TASMAN ISLAND,10/02/2020,1.8,0.0, ,15.9,13.0,97,71,6.97,5.17
TASMAN ISLAND,11/02/2020, ,1.6, , ,14.5,100,97,5.06,8.50
TASMAN ISLAND,12/02/2020,1.4, , ,15.7,13.7,100,84,4.16,7.25
TASMAN ISLAND,13/02/2020,2.2,0.2, ,16.8,11.5,100,69,3.29,12.21
TASMAN ISLAND,14/02/2020,1.6,7.8, ,18.9,12.4,100,100,7.68,16.33
TASMAN ISLAND,15/02/2020, ,0.2, , ,12.8, , , ,6.92
TASMAN ISLAND,24/02/2020, , , , , , , , ,13.59
TASMAN ISLAND,25/02/2020, , , , , , , , ,23.25
TASMAN ISLAND,26/02/2020,2.4, , ,12.7,8.1,99,53,7.66,11.79
TASMAN ISLAND,27/02/2020,2.7,1.4, ,15.6,8.4,89,57,7.64,9.71
TASMAN ISLAND,28/02/2020,3.1,4.8, ,16.7,6.8,88,53,4.08,18.43
TASMAN ISLAND,29/02/2020,4.1,0.0, ,20.9,9.4,100,43,4.73,21.99
Totals:,,43.9,35.4, ,,,,,, 
