'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for March 2020,,,,,,,,,,
Issued at 22:32 GMT on Wednesday 01 April 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/03/2020,2.5,0.0, ,19.6,12.1,100,51,5.47,5.73
TASMAN ISLAND,02/03/2020,2.4,14.2, ,13.3,8.4,100,57,6.97,14.21
TASMAN ISLAND,03/03/2020,2.5,0.2, ,14.3,9.0,85,63,5.51,13.00
TASMAN ISLAND,04/03/2020,2.8,0.0, ,17.4,9.9,97,68,7.50,18.83
TASMAN ISLAND,05/03/2020,0.5,14.4, ,17.4,13.9,100,96,9.43,0.94
TASMAN ISLAND,06/03/2020,1.3,54.6, ,13.5,12.7,100,78,9.95,5.67
TASMAN ISLAND,07/03/2020,1.8,2.4, ,13.2,9.4,99,66,6.14,8.89
TASMAN ISLAND,08/03/2020,1.8,0.0, ,11.9,9.2,82,63,3.78,7.41
TASMAN ISLAND,09/03/2020,2.0,0.0, ,13.7,9.0,91,63,4.18,10.45
TASMAN ISLAND,10/03/2020,2.5,0.4, ,15.5,8.9,89,62,1.98,17.94
TASMAN ISLAND,11/03/2020,3.0,0.0, ,17.8,11.3,93,65,6.69,19.75
TASMAN ISLAND,12/03/2020,4.1,0.0, ,22.6,13.6,93,46,9.14,10.62
TASMAN ISLAND,13/03/2020,2.7,0.0, ,18.2,16.4,100,48,10.04,1.12
TASMAN ISLAND,14/03/2020,2.1,24.4, ,11.9,6.6,98,57,9.69,8.09
TASMAN ISLAND,15/03/2020,2.4,4.0, ,13.4,9.1,99,58,8.10,13.88
TASMAN ISLAND,16/03/2020,2.4,0.0, ,16.0,10.2,92,71,5.33,16.70
TASMAN ISLAND,17/03/2020,3.9,0.0, ,20.5,11.5,86,50,8.02,15.80
TASMAN ISLAND,18/03/2020,2.9,0.0, ,21.4,13.1,100,43,6.51,2.00
TASMAN ISLAND,19/03/2020,1.3,0.6, ,15.5,12.2,100,85,5.88,7.88
TASMAN ISLAND,20/03/2020,1.7,12.8, ,16.1,13.2,100,70,6.37,6.88
TASMAN ISLAND,21/03/2020,1.4,2.6, ,13.4,10.5,100,73,4.75,7.19
TASMAN ISLAND,22/03/2020,1.9,4.8, ,12.3,9.1,100,60,6.85,9.61
TASMAN ISLAND,23/03/2020,1.8,2.2, ,12.7,8.6,96,69,6.06,11.38
TASMAN ISLAND,24/03/2020,2.2,0.4, ,14.9,8.6,87,58,2.52,14.63
TASMAN ISLAND,25/03/2020,2.3,0.0, ,15.6,10.5,98,57,6.24,11.59
TASMAN ISLAND,26/03/2020,2.6,0.8, ,14.0,8.7,76,56,4.13,15.87
TASMAN ISLAND,27/03/2020,2.4,0.0, ,16.9,10.3,86,60,3.61,14.72
TASMAN ISLAND,28/03/2020,3.0,0.0, ,19.0,13.6,95,65,11.23,15.98
TASMAN ISLAND,29/03/2020,2.6,0.0, ,19.6,14.9,96,68,11.36,10.49
TASMAN ISLAND,30/03/2020,2.3,5.2, ,17.1,14.3,89,57,6.03,4.51
TASMAN ISLAND,31/03/2020,2.7,0.0, ,17.2,9.4,80,50,4.38,10.93
Totals:,,71.8,144, ,,,,,, 
