'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for April 2020,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 May 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/04/2020,1.6,0.0, ,17.1,11.8,97,60,2.01,8.43
TASMAN ISLAND,02/04/2020,0.7,7.2, ,16.0,12.8,100,89,5.32,1.30
TASMAN ISLAND,03/04/2020,2.5,28.6, ,18.2,13.5,100,59,6.56,13.60
TASMAN ISLAND,04/04/2020,1.4,2.8, ,13.7,12.7,99,67,7.33,2.26
TASMAN ISLAND,05/04/2020,1.9,7.0, ,9.6,5.2,80,60,6.18,8.61
TASMAN ISLAND,06/04/2020,1.7,1.0, ,12.1,5.9,95,59,4.55,8.54
TASMAN ISLAND,07/04/2020,1.8,0.0, ,14.7,8.9,97,65,5.11,9.44
TASMAN ISLAND,08/04/2020,1.8,0.0, ,12.6,9.1,89,58,4.34,8.30
TASMAN ISLAND,09/04/2020,2.0,0.0, ,16.4,7.4,88,60,3.24,13.51
TASMAN ISLAND,10/04/2020,4.0,0.0, ,19.6,12.2,69,47,8.91,7.27
TASMAN ISLAND,11/04/2020,1.4,8.2, ,12.2,8.8,100,69,8.02,6.82
TASMAN ISLAND,12/04/2020,1.4,1.2, ,12.0,8.1,99,68,8.90,2.01
TASMAN ISLAND,13/04/2020,1.7,2.4, ,14.3,9.4,87,67,4.71,7.54
TASMAN ISLAND,14/04/2020,2.0,0.0, ,18.6,11.1,85,57,2.78,11.47
TASMAN ISLAND,15/04/2020,1.1,0.0, ,15.7,12.0,100,72,4.21,1.93
TASMAN ISLAND,16/04/2020,2.2,4.0, ,14.2,12.4,98,51,7.50,7.28
TASMAN ISLAND,17/04/2020,1.8,1.0, ,9.9,6.7,84,59,5.53,11.01
TASMAN ISLAND,18/04/2020,1.6,3.2, ,10.4,6.3,97,59,8.22,6.40
TASMAN ISLAND,19/04/2020,1.1,14.8, ,12.0,6.9,100,74,3.85,7.02
TASMAN ISLAND,20/04/2020,2.0,0.8, ,14.1,8.5,93,58,8.15,2.64
TASMAN ISLAND,21/04/2020,2.6,1.6, ,16.1,8.5,73,53,6.08,9.94
TASMAN ISLAND,22/04/2020,1.7,1.8, ,12.4,9.3,98,54,4.94,9.09
TASMAN ISLAND,23/04/2020,2.1,0.0, ,15.6,8.4,84,57,5.01,10.65
TASMAN ISLAND,24/04/2020,1.9,0.4, ,15.4,10.7,99,47,4.85,6.05
TASMAN ISLAND,25/04/2020,2.0,0.0, ,15.5,12.6,83,63,6.10,3.30
TASMAN ISLAND,26/04/2020,2.5,0.0, ,13.4,12.1,81,47,6.77,8.16
TASMAN ISLAND,27/04/2020,2.4,0.2, ,16.2,8.5,70,57,6.00,6.59
TASMAN ISLAND,28/04/2020, ,0.0, , ,11.8,73,59,8.71,6.51
TASMAN ISLAND,29/04/2020,1.9, , ,16.2,11.8,100,60,7.82,9.38
TASMAN ISLAND,30/04/2020,0.8,15.6, ,11.1,8.5,100,79,3.14,6.27
Totals:,,53.6,101.8, ,,,,,, 
