'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for May 2020,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/05/2020,1.2,3.2, ,12.8,8.0,95,67,3.86,8.88
TASMAN ISLAND,02/05/2020,1.4,13.0, ,10.9,5.5,99,68,13.29,1.27
TASMAN ISLAND,03/05/2020,1.5,9.8, ,11.2,6.6,93,67,9.91,3.85
TASMAN ISLAND,04/05/2020,1.2,0.8, ,11.9,6.5,92,75,6.75,4.80
TASMAN ISLAND,05/05/2020,1.1,0.0, ,12.6,7.8,86,68,2.68,9.38
TASMAN ISLAND,06/05/2020,1.8,0.0, ,15.3,9.5,83,54,4.14,5.33
TASMAN ISLAND,07/05/2020,2.7,0.0, ,15.9,11.0,84,47,7.86,2.74
TASMAN ISLAND,08/05/2020,2.6,0.0, ,17.3,12.6,79,50,6.68,8.42
TASMAN ISLAND,09/05/2020,1.4,2.6, ,11.8,11.0,99,62,6.78,3.13
TASMAN ISLAND,10/05/2020,1.2,14.2, ,11.0,6.6,93,59,4.05,8.27
TASMAN ISLAND,11/05/2020,1.2,0.6, ,13.4,6.3,83,71,3.89,3.41
TASMAN ISLAND,12/05/2020,2.1,0.0, ,16.6,10.8,92,55,7.22,4.02
TASMAN ISLAND,13/05/2020,1.1,0.2, ,9.4,7.4,90,60,3.45,6.84
TASMAN ISLAND,14/05/2020,1.2,3.6, ,14.4,5.8,97,64,3.96,7.91
TASMAN ISLAND,15/05/2020,1.1,0.0, ,14.7,9.3,86,63,2.42,8.29
TASMAN ISLAND,16/05/2020,1.8,0.0, ,14.8,8.7,88,49,4.61,8.17
TASMAN ISLAND,17/05/2020,1.1,0.0, ,11.7,10.1,93,62,3.34,4.40
TASMAN ISLAND,18/05/2020,1.7,0.0, ,15.4,8.3,92,57,5.78,7.12
TASMAN ISLAND,19/05/2020,2.2,0.0, ,15.1,10.7,89,58,10.22,5.88
TASMAN ISLAND,20/05/2020,1.9,0.0, ,14.5,12.6,93,60,8.40,3.86
TASMAN ISLAND,21/05/2020,0.8,1.8, ,10.7,7.1,96,62,2.75,7.62
TASMAN ISLAND,22/05/2020,0.8,0.0, ,11.9,6.7,82,61,1.86,7.71
TASMAN ISLAND,23/05/2020,0.9,0.0, ,10.0,6.9,99,69,5.36,5.01
TASMAN ISLAND,24/05/2020,0.7,2.4, ,8.1,7.0,99,80,5.61,3.15
TASMAN ISLAND,25/05/2020,0.8,0.2, ,8.8,6.2,85,74,2.81,4.21
TASMAN ISLAND,26/05/2020,1.0,0.0, ,11.5,6.4,90,81,10.17,7.44
TASMAN ISLAND,27/05/2020,1.6,0.0, ,13.5,8.3,89,68,9.19,7.08
TASMAN ISLAND,28/05/2020,1.8,0.0, ,15.0,11.2,83,58,6.23,7.26
TASMAN ISLAND,29/05/2020,2.1,0.0, ,15.2,11.0,82,51,6.14,5.09
TASMAN ISLAND,30/05/2020,2.3,0.0, ,14.3,10.3,85,55,10.02,6.56
TASMAN ISLAND,31/05/2020,2.1,0.0, ,13.3,10.4,76,52,6.85,5.45
Totals:,,46.4,52.4, ,,,,,, 
