'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for June 2020,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 July 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/06/2020,1.3,0.0, ,14.4,9.0,98,56,4.87,6.63
TASMAN ISLAND,02/06/2020,1.6,0.0, ,14.1,7.3,92,60,6.67,5.25
TASMAN ISLAND,03/06/2020,1.5,5.4, ,8.5,3.6,96,58,11.69,4.96
TASMAN ISLAND,04/06/2020,1.0,0.6, ,11.3,5.4,81,59,3.02,6.99
TASMAN ISLAND,05/06/2020,1.2,0.0, ,11.1,7.4,98,63,5.81,2.75
TASMAN ISLAND,06/06/2020,0.6,2.2, ,7.8,4.7,91,63,2.57,6.41
TASMAN ISLAND,07/06/2020,0.6,0.0, ,9.7,5.2,85,66,2.37,6.72
TASMAN ISLAND,08/06/2020,0.9,0.0, ,10.5,6.6,78,64,2.95,6.39
TASMAN ISLAND,09/06/2020,1.1,0.0, ,11.4,6.8,77,60,3.47,6.85
TASMAN ISLAND,10/06/2020,1.9,0.0, ,10.9,7.0,75,57,6.87,3.18
TASMAN ISLAND,11/06/2020,1.3,3.2, ,9.1,7.2,97,47,5.75,5.40
TASMAN ISLAND,12/06/2020,1.2,0.0, ,11.4,5.7,99,64,6.86,3.93
TASMAN ISLAND,13/06/2020,1.3,9.2, ,13.0,7.5,100,65,9.44,5.57
TASMAN ISLAND,14/06/2020,2.0,0.0, ,12.7,10.3,80,56,7.69,4.55
TASMAN ISLAND,15/06/2020,2.1,0.0, ,14.4,10.0,76,60,7.77,3.36
TASMAN ISLAND,16/06/2020,2.2,0.0, ,13.5,11.1,83,55,9.00,4.70
TASMAN ISLAND,17/06/2020,1.0,4.8, ,9.5,3.6,78,61,3.65,6.46
TASMAN ISLAND,18/06/2020,1.3,0.0, ,10.5,5.2,82,61,5.85,6.14
TASMAN ISLAND,19/06/2020,1.0,0.0, ,12.7,7.0,99,66,5.31,5.49
TASMAN ISLAND,20/06/2020,0.7,0.0, ,13.7,10.3,100,80,5.47,4.45
TASMAN ISLAND,21/06/2020,0.5,6.0, ,11.9,9.6,100,89,3.48,2.46
TASMAN ISLAND,22/06/2020,0.2,33.0, ,11.9,9.1,100,100,7.49,1.86
TASMAN ISLAND,23/06/2020,0.2,16.0, ,10.9,10.6,100,100,7.78,2.59
TASMAN ISLAND,24/06/2020, ,3.0, , ,9.4,100,100,3.69,3.17
TASMAN ISLAND,25/06/2020, , , ,13.7, ,100,77,4.19,5.08
TASMAN ISLAND,26/06/2020,0.7,1.2, ,8.2,5.9,93,72,4.79,5.35
TASMAN ISLAND,27/06/2020,0.4,4.0, ,10.7,5.2,92,71,1.76,6.56
TASMAN ISLAND,28/06/2020,0.5,0.0, ,11.2,6.5,90,57,1.39,6.86
TASMAN ISLAND,29/06/2020,0.7,0.0, ,13.4,7.7,84,58,1.99,6.86
TASMAN ISLAND,30/06/2020,1.2,0.0, ,10.8,8.2,93,67,7.91,5.98
Totals:,,30.2,88.6, ,,,,,, 
