'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for July 2020,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 August 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/07/2020,1.4,0.0, ,12.5,8.7,91,67,8.64,6.58
TASMAN ISLAND,02/07/2020,1.4,4.4, ,11.4,8.4,98,60,8.83,4.69
TASMAN ISLAND,03/07/2020,1.0,0.4, ,8.1,6.0,94,62,4.89,4.65
TASMAN ISLAND,04/07/2020,1.0,1.6, ,9.3,5.7,100,74,9.87,2.11
TASMAN ISLAND,05/07/2020,0.7,7.0, ,9.3,6.1,100,82,10.01,3.05
TASMAN ISLAND,06/07/2020,1.3,4.0, ,10.7,7.2,99,58,7.26,3.70
TASMAN ISLAND,07/07/2020,1.1,3.6, ,7.8,5.0,96,59,6.40,3.96
TASMAN ISLAND,08/07/2020,0.6,0.0, ,8.3,3.3,89,67,2.28,6.80
TASMAN ISLAND,09/07/2020,0.7,0.2, ,11.6,4.6,83,54,1.83,7.19
TASMAN ISLAND,10/07/2020,1.1,0.0, ,12.5,6.9,87,59,3.70,6.09
TASMAN ISLAND,11/07/2020,0.8,0.0, ,11.5,7.4,92,61,2.19,5.15
TASMAN ISLAND,12/07/2020,0.7,3.2, ,10.5,7.4,99,68,3.25,6.06
TASMAN ISLAND,13/07/2020,0.5,0.2, ,10.7,6.8,89,67,1.08,5.27
TASMAN ISLAND,14/07/2020,0.6,0.0, ,9.3,7.1,88,70,1.59,4.03
TASMAN ISLAND,15/07/2020,0.6,0.0, ,10.1,7.2,97,71,2.10,5.12
TASMAN ISLAND,16/07/2020,0.3,2.8, ,8.6,6.5,100,90,1.81,5.59
TASMAN ISLAND,17/07/2020,0.8,0.8, ,10.0,6.4,96,72,4.00,5.79
TASMAN ISLAND,18/07/2020,1.6,0.0, ,10.8,6.3,82,65,7.79,4.75
TASMAN ISLAND,19/07/2020,1.8,0.0, ,13.5,7.7,85,61,7.53,6.41
TASMAN ISLAND,20/07/2020,1.3,10.2, ,9.0,4.5,97,63,9.13,3.89
TASMAN ISLAND,21/07/2020,0.8,12.0, ,9.7,4.3,100,76,6.73,5.08
TASMAN ISLAND,22/07/2020,0.8,1.6, ,9.9,6.8,90,70,2.96,6.80
TASMAN ISLAND,23/07/2020,0.9,0.0, ,10.8,7.2,90,63,2.68,7.64
TASMAN ISLAND,24/07/2020,1.0,0.0, ,11.1,6.7,77,61,2.50,8.33
TASMAN ISLAND,25/07/2020,1.1,0.0, ,11.6,7.2,72,61,2.43,6.93
TASMAN ISLAND,26/07/2020,1.6,0.0, ,12.2,7.7,87,52,5.14,8.56
TASMAN ISLAND,27/07/2020,1.2,0.0, ,10.3,8.7,93,67,6.07,6.07
TASMAN ISLAND,28/07/2020,0.6,0.6, ,10.9,7.4,98,84,1.66,6.07
TASMAN ISLAND,29/07/2020,1.4,0.0, ,13.9,7.1,98,43,3.24,7.73
TASMAN ISLAND,30/07/2020,1.3,1.8, ,11.2,7.0,79,55,3.08,8.86
TASMAN ISLAND,31/07/2020,1.5,0.0, ,13.4,6.6,82,61,4.36,8.26
Totals:,,31.5,54.4, ,,,,,, 
