'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for August 2020,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/08/2020,2.3,0.0, ,14.0,8.9,77,57,8.05,6.95
TASMAN ISLAND,02/08/2020,2.1,0.0, ,12.4,8.0,76,44,5.02,8.33
TASMAN ISLAND,03/08/2020,1.6,0.4, ,8.7,5.3,96,51,7.98,8.30
TASMAN ISLAND,04/08/2020,1.3,3.0, ,8.2,3.1,99,61,9.70,2.23
TASMAN ISLAND,05/08/2020,1.1,35.6, ,6.9,2.1,97,71,11.85,4.03
TASMAN ISLAND,06/08/2020,1.1,3.6, ,8.1,5.0,98,69,8.49,3.81
TASMAN ISLAND,07/08/2020,1.0,0.6, ,9.6,5.8,99,68,4.92,7.08
TASMAN ISLAND,08/08/2020,0.8,0.2, ,10.8,6.5,91,68,1.06,8.63
TASMAN ISLAND,09/08/2020,0.9,0.0, ,8.3,5.6,93,79,4.44,7.73
TASMAN ISLAND,10/08/2020,0.9,0.0, ,9.6,5.8,95,75,3.18,8.56
TASMAN ISLAND,11/08/2020,0.9,0.2, ,10.4,4.6,95,73,2.77,9.95
TASMAN ISLAND,12/08/2020,1.5,0.0, ,13.3,6.5,85,56,3.15,5.83
TASMAN ISLAND,13/08/2020,1.2,0.2, ,13.4,8.1,91,68,2.66,10.23
TASMAN ISLAND,14/08/2020,0.9,1.2, ,12.9,10.4,100,81,5.56,5.36
TASMAN ISLAND,15/08/2020,0.5,18.8, ,12.5,9.6,100,95,4.25,3.71
TASMAN ISLAND,16/08/2020,0.5,10.8, ,11.6,10.2,100,95,6.26,4.65
TASMAN ISLAND,17/08/2020,0.6,5.2, ,11.0,9.6,100,98,4.27,7.84
TASMAN ISLAND,18/08/2020,1.2,0.2, ,11.0,7.5,100,60,2.96,7.05
TASMAN ISLAND,19/08/2020,1.2,0.2, ,11.5,7.3,99,64,3.28,8.02
TASMAN ISLAND,20/08/2020,1.3,6.8, ,11.2,6.7,99,62,3.70,9.35
TASMAN ISLAND,21/08/2020,1.6,2.0, ,9.2,3.3,82,62,5.38,10.10
TASMAN ISLAND,22/08/2020,1.2,1.8, ,9.9,4.1,98,66,4.82,6.97
TASMAN ISLAND,23/08/2020,1.2,28.2, ,10.9,4.1,99,75,6.79,9.06
TASMAN ISLAND,24/08/2020,1.7,4.0, ,8.2,5.0,95,50,6.41,7.97
TASMAN ISLAND,25/08/2020,1.4,3.0, ,9.9,4.1,79,64,2.60,12.05
TASMAN ISLAND,26/08/2020,1.3,0.0, ,10.5,6.6,89,67,3.22,8.67
TASMAN ISLAND,27/08/2020,2.2,0.0, ,13.5,7.5,95,55,8.91,7.53
TASMAN ISLAND,28/08/2020,2.5,7.0, ,13.6,4.5,86,42,5.29,12.52
TASMAN ISLAND,29/08/2020,2.9,0.0, ,15.4,8.8,75,44,6.14,9.16
TASMAN ISLAND,30/08/2020,4.1,0.0, ,18.6,10.6,98,38,13.38,12.92
TASMAN ISLAND,31/08/2020,1.7,5.8, ,7.9,3.5,90,61,9.82,9.12
Totals:,,44.7,138.8, ,,,,,, 
