'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for September 2020,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/09/2020,2.0,0.2, ,10.9,3.9,81,54,4.52,13.31
TASMAN ISLAND,02/09/2020,2.8,0.0, ,14.6,6.3,87,48,8.73,10.05
TASMAN ISLAND,03/09/2020,2.7,0.0, ,14.3,8.9,79,56,7.87,12.46
TASMAN ISLAND,04/09/2020,2.7,0.0, ,13.5,7.3,81,48,6.77,12.25
TASMAN ISLAND,05/09/2020,1.7,1.2, ,12.2,6.9,97,65,5.00,13.10
TASMAN ISLAND,06/09/2020,2.6,0.0, ,15.0,7.7,87,52,5.65,14.48
TASMAN ISLAND,07/09/2020,4.1,0.0, ,17.8,9.6,80,45,12.64,10.79
TASMAN ISLAND,08/09/2020,3.2,0.0, ,16.9,11.8,94,38,8.25,6.34
TASMAN ISLAND,09/09/2020,1.4,0.6, ,9.9,7.5,97,67,4.62,9.27
TASMAN ISLAND,10/09/2020,2.1,2.2, ,13.1,6.0,87,70,6.83,15.53
TASMAN ISLAND,11/09/2020,2.3,0.0, ,16.1,8.1,99,57,8.41,6.71
TASMAN ISLAND,12/09/2020,1.6,8.0, ,11.8,7.7,99,67,4.09,12.65
TASMAN ISLAND,13/09/2020,2.6,0.0, ,13.4,6.7,91,48,6.79,12.43
TASMAN ISLAND,14/09/2020,2.3,1.0, ,11.4,5.2,86,50,5.39,12.76
TASMAN ISLAND,15/09/2020,2.5,0.8, ,14.8,5.5,74,52,4.25,13.03
TASMAN ISLAND,16/09/2020,2.4,0.0, ,15.2,8.6,98,52,6.39,9.20
TASMAN ISLAND,17/09/2020,2.1,5.0, ,8.7,4.1,99,48,7.77,13.20
TASMAN ISLAND,18/09/2020,2.0,0.0, ,11.3,4.1,88,60,2.78,17.14
TASMAN ISLAND,19/09/2020,1.6,0.0, ,13.2,6.8,100,77,12.46,14.29
TASMAN ISLAND,20/09/2020,2.0,0.4, ,15.8,10.0,100,70,11.37,10.04
TASMAN ISLAND,21/09/2020,3.5,0.0, ,17.9,12.0,96,40,6.98,13.89
TASMAN ISLAND,22/09/2020,2.2,2.0, ,14.9,9.3,96,60,6.03,11.50
TASMAN ISLAND,23/09/2020,1.5,6.4, ,9.9,7.7,99,68,9.79,7.17
TASMAN ISLAND,24/09/2020,1.9,4.2, ,10.2,4.7,94,63,3.27,15.53
TASMAN ISLAND,25/09/2020,1.7,0.8, ,11.8,5.8,96,75,3.04,13.88
TASMAN ISLAND,26/09/2020,1.7,2.4, ,8.1,5.4,98,62,9.33,10.53
TASMAN ISLAND,27/09/2020,2.2,6.6, ,8.9,3.0,84,61,10.80,14.13
TASMAN ISLAND,28/09/2020,1.7,0.4, ,9.8,5.2,94,69,7.96,10.65
TASMAN ISLAND,29/09/2020,2.2,0.0, ,11.9,6.9,95,71,6.12,19.53
TASMAN ISLAND,30/09/2020,2.3,0.8, ,13.6,9.1,90,64,11.12,7.48
Totals:,,67.6,43, ,,,,,, 
