'IDCKWCDE71,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TASMAN ISLAND Tasmania for October 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TASMAN ISLAND,01/10/2020,3.4,1.4, ,15.4,8.8,83,44,5.96,17.91
TASMAN ISLAND,02/10/2020,4.0,0.0, ,17.1,9.7,73,48,7.54,18.85
TASMAN ISLAND,03/10/2020,1.9,0.2, ,15.4,11.7,98,56,4.33,6.20
TASMAN ISLAND,04/10/2020,0.7,23.8, ,9.9,8.0,100,90,4.30,2.38
TASMAN ISLAND,05/10/2020,1.7,35.6, ,8.8,5.5,99,54,4.68,8.41
TASMAN ISLAND,06/10/2020,2.6,3.6, ,11.8,5.0,84,53,2.28,20.71
TASMAN ISLAND,07/10/2020,2.1,0.0, ,12.6,6.4,93,74,2.43,16.29
TASMAN ISLAND,08/10/2020,1.2,0.0, ,12.1,8.7,100,78,7.31,4.62
TASMAN ISLAND,09/10/2020,1.3,16.8, ,14.0,9.8,100,100,4.17,13.09
TASMAN ISLAND,10/10/2020,1.7,3.6, ,11.6,9.4,100,77,6.94,12.98
TASMAN ISLAND,11/10/2020,2.2,1.8, ,12.5,8.2,91,72,3.53,16.88
TASMAN ISLAND,12/10/2020,3.0,0.0, ,15.0,7.1,92,56,5.35,19.44
TASMAN ISLAND,13/10/2020,2.7,0.6, ,11.2,6.9,99,55,7.38,21.37
TASMAN ISLAND,14/10/2020,3.0,0.0, ,11.7,5.8,83,62,11.60,22.44
TASMAN ISLAND,15/10/2020,2.7,0.6, ,16.1,9.3,98,57,11.47,8.59
TASMAN ISLAND,16/10/2020,3.5,1.2, ,11.5,4.3,70,40,7.06,19.84
TASMAN ISLAND,17/10/2020,1.7,0.0, ,10.6,6.9,94,60,4.24,7.08
TASMAN ISLAND,18/10/2020,2.6,4.2, ,13.9,7.3,95,58,3.33,17.63
TASMAN ISLAND,19/10/2020,2.2,0.2, ,12.0,8.0,98,64,3.18,15.78
TASMAN ISLAND,20/10/2020,2.7,0.2, ,13.9,7.7,97,66,2.46,20.73
TASMAN ISLAND,21/10/2020,2.9,0.0, ,14.7,9.1,99,56,2.21,20.50
TASMAN ISLAND,22/10/2020,2.6,3.4, ,13.5,8.0,100,66,3.79,19.92
TASMAN ISLAND,23/10/2020,2.4,0.8, ,14.4,9.3,100,72,4.31,17.79
TASMAN ISLAND,24/10/2020,2.5,0.2, ,11.9,8.9,100,55,8.60,15.41
TASMAN ISLAND,25/10/2020,3.3,0.8, ,11.9,3.5,80,44,7.24,18.48
TASMAN ISLAND,26/10/2020,2.5,0.0, ,11.8,6.8,75,61,3.43,14.66
TASMAN ISLAND,27/10/2020,1.7,0.0, ,10.7,7.8,97,65,2.53,9.78
TASMAN ISLAND,28/10/2020,2.4,0.6, ,12.9,7.5,97,70,2.90,17.69
TASMAN ISLAND,29/10/2020,3.5,0.6, ,14.7,8.9,88,56,2.49,25.89
TASMAN ISLAND,30/10/2020,3.1,0.0, ,14.4,9.0,92,69,3.06,23.18
TASMAN ISLAND,31/10/2020,3.2,0.0, ,14.7,8.1,94,65,3.49,24.48
Totals:,,77,100.2, ,,,,,, 
